id,instance,notes,type,status,inputs (#post),outputs (#pre),gL(L) #post,gL(L) #pre,NO #post,NO #pre,#voxels
329566174,OA-VPM3(NO2/NO3)_R,,OA-VPM3,Traced,10075,8632,644,151,300,198,6917059458
519046655,FB1H(NO2/3)_L,CRENO23FB1-4,FB1H,Traced,7950,3818,28,1,809,341,3103732460
1047676850,CRE008(ADM02)_L,,CRE008,Traced,557,259,16,2,,1,552011293
1352077058,DSKMP1B_R,,DSKMP1B,Traced,2983,560,10,19,13,7,5492683352
5813061260,OA-VPM3(NO2/NO3)_L,,OA-VPM3,Traced,5122,4069,211,143,144,95,3486100136
