id,instance,notes,type,status,inputs (#post),outputs (#pre),gL(L) #post,gL(L) #pre,PB #post,PB #pre,#voxels
329566174,OA-VPM3(NO2/NO3)_R,,OA-VPM3,Traced,10075,8632,644,151,3,3,6917059458
577697202,ATL018(PDL20)_L,,ATL018,Traced,1003,569,1,,,1,822359476
1418618235,SIFa(PDM34),,SIFa,Traced,1592,935,19,7,1,1,6190229391
