id,instance,notes,type,status,inputs (#post),outputs (#pre),bL(L) #post,bL(L) #pre,#voxels
1512810999,,,,Traced,71,36,71,36,21829318
1512815418,,,,Traced,69,35,69,35,18008712
1512815472,,,,Traced,134,58,134,58,27943586
1513493071,,,,Assign,11,1,11,1,1448786
1514213821,,,,Assign,5,2,5,2,297720
1514227110,,,,Traced,16,5,16,5,1792582
1514563742,,,,Traced,21,4,21,4,1386453
1514568009,,,,Traced,13,1,13,1,1145657
1514568020,,,,Assign,7,2,7,2,561200
1514568173,,,,Traced,36,9,36,9,3316722
1514900350,,,,Traced,24,5,24,5,1870041
1514904656,,,,Traced,28,7,28,7,3765217
1515245768,,,,Traced,12,6,12,6,2831086
1515250095,,,,Traced,25,7,25,7,2856425
1542145056,,,,Orphan,18,5,18,5,4170160
1542477235,,,,Orphan,23,10,23,10,6113641
1542485939,,,,Traced,95,41,95,41,24390487
1542486124,,,,Assign,4,2,4,2,1177103
1542486197,,,,Orphan,14,7,14,7,2594826
1542490165,,,,Assign,2,3,2,3,603003
1542490323,,,,Assign,2,2,2,2,699357
1543142505,,,,Orphan,36,2,36,2,3381879
1543159347,,,,Traced,109,62,109,62,31112414
1543163664,,,,Traced,109,44,109,44,21511721
1543172713,,,,Assign,4,2,4,2,539422
1543172715,,,,Assign,3,2,3,2,343222
1543513606,,,,Assign,10,1,10,1,702190
1544182392,,,,Orphan,19,5,19,5,1926581
1544195754,,,,Assign,2,2,2,2,115556
1545261657,,,,Traced,12,1,12,1,939425
1545602931,,,,Traced,36,2,36,2,2669889
1545602934,,,,Traced,6,2,6,2,615233
1573516783,,,,Orphan,16,2,16,2,1185117
1573525200,,,,Assign,4,2,4,2,1206374
1574203025,,,,Assign,3,2,3,2,791154
1574207692,,,,Orphan,7,4,4,3,1769296
1574885213,,,,Assign,9,2,9,2,639476
1574889454,,,,Assign,4,2,4,2,1263875
1605237839,,,,Assign,5,2,3,2,316953
5812979602,,,,Traced,116,47,116,47,27535583
5812979616,,,,Traced,179,77,1,1,60815554
5812979789,,,,Traced,123,67,121,66,37393428
5812979802,,,,Traced,124,57,124,57,29960372
5812979821,,,,Orphan,21,3,21,3,3106494
5812979825,,,,Traced,102,31,102,31,21024541
5812979826,,,,Orphan,23,5,23,5,2329742
5812979835,,,,Traced,111,50,111,50,23268663
5812979836,,,,Traced,151,55,151,55,30525749
5812979839,,,,Traced,74,33,74,33,18175291
5812979847,,,,Traced,125,51,125,51,27184892
5812979850,,,,Traced,78,31,78,31,18912773
5812979851,,,,Traced,87,38,87,38,22481406
5812979852,,,,Traced,88,36,88,36,22540604
5812979854,,,,Traced,98,34,98,34,20007439
5812979855,,,,Traced,105,48,105,48,27805003
5812980567,PAM09(B1ped)_R,,PAM09,Traced,1252,241,55,30,431109241
5812981791,PPL108(PDL05)_L,,PPL108,Traced,5321,2389,1,1,2164861052
5812981865,,,,Traced,144,50,143,47,29883281
5812981867,,,,Traced,140,60,138,60,31273582
5812981868,,,,Traced,137,65,134,61,43086952
5812983418,PAM04_a(B2)_L,,PAM04_a,Traced,712,153,422,83,200836501
5812983533,PAM11(a1)_R,,PAM11,Traced,1022,216,2,4,502377982
5812989588,PAM03(B2B'2a)_R,,PAM03,Traced,373,91,70,11,151824685
5812992183,,,,Traced,95,47,95,47,20355317
5812992621,,,,Traced,74,32,74,32,18904353
5812996052,,,,Traced,609,368,197,63,688274394
5813021261,PAM11(a1)_L,,PAM11,Traced,395,160,5,2,248528210
5813022341,MBON02(B2B'2a)_L,,MBON02,Traced,17937,99,8835,81,3410455915
5813027450,,,,Traced,106,38,106,38,23184040
5813027452,,,,Traced,109,42,109,42,29522472
5813032593,,,,Traced,180,53,6,1,68630842
5813039870,,,,Traced,408,28,408,28,29490281
5813044655,,,,Traced,175,16,175,16,16665121
5813054270,,,,Traced,706,62,695,62,76294715
5813054382,,,,Traced,123,60,123,60,32453338
5813054422,,,,Traced,78,38,78,38,20696508
5813055720,,,,Traced,92,43,92,43,18471367
5813056221,,,,Traced,126,49,126,49,34774259
5813058050,PPL102(y1)_R,,PPL102,Traced,8002,2059,4,1,3343482793
5813061260,OA-VPM3(NO2/NO3)_L,,OA-VPM3,Traced,5122,4069,4,1,3486100136
5813061512,MBON06(B1>a)_R,,MBON06,Traced,12107,496,11148,221,2038784377
5813061635,,,,Traced,137,71,136,64,37576355
5813062604,,,,Traced,145,62,140,58,40821962
5813062688,,,,Traced,70,21,70,21,21821328
5813062827,,,,Traced,463,33,462,33,38582907
5813065911,,,,Traced,110,48,109,48,27699421
5813065956,,,,Traced,78,39,78,39,25627775
5813075810,,,,Traced,136,60,135,60,31389319
5813075824,PAM09(B1ped)_R,,PAM09,Traced,1685,293,276,74,547363626
5813076369,,,,Traced,115,55,115,55,25133938
5813082645,,,,Traced,156,59,156,59,35206777
5813082999,,,,Traced,100,41,100,41,27220167
5813083707,,,,Traced,143,54,143,54,26272230
5813087625,,,,Traced,951,208,943,196,126240451
5813088523,,,,Traced,117,51,117,51,21320604
5813091744,KCab-p_R,,KCab-p,Traced,635,285,44,19,392247819
5813093171,PAM04_a(B2)_L,,PAM04_a,Traced,1960,329,1283,208,324522133
5813095159,,,,Traced,117,56,115,54,28240494
5813101689,,,,Assign,6,2,6,2,258597
5813107321,,,,Assign,5,2,5,2,526262
5813107883,,,,Traced,134,54,133,54,26279302
5813133441,,,,Traced,83,34,83,34,18984007
5901193007,,,,Traced,126,56,125,55,31105317
5901193155,KC_L,,,Traced,132,57,132,56,38519410
5901195236,,,,Traced,83,37,83,37,21342400
5901198714,,,,Traced,144,54,144,54,26104586
5901199280,,,,Traced,99,42,99,42,21918658
5901200378,,,,Traced,67,36,67,36,16931807
5901202979,,,,Traced,98,45,98,45,23009757
5901203860,,,,Assign,2,2,2,2,411989
5901204846,,,,Traced,125,62,125,62,31132756
5901209100,,,,Orphan,7,4,4,3,9233201
5901210672,,,,Traced,86,43,86,43,24715226
5901210675,,,,Traced,98,40,98,40,22925471
