id,instance,notes,type,status,inputs (#post),outputs (#pre),aL(L) #post,aL(L) #pre,#voxels
364899392,,,,Traced,110,27,110,27,22727825
364903765,,,,Traced,87,37,87,37,19310060
364907885,,,,Traced,23,14,23,14,7572264
364908087,,,,Traced,13,6,13,6,2848339
364908098,,,,Traced,3,3,3,3,1745109
364911823,,,,Traced,28,15,28,15,8759371
364911957,,,,Traced,87,33,84,31,20946966
364911973,,,,Traced,11,3,11,3,2078878
364912017,,,,Traced,18,4,18,4,2305184
364912019,,,,Traced,81,35,75,33,20502877
364912060,,,,Traced,38,20,38,20,10455564
364912073,,,,Traced,16,10,16,10,8426296
364912074,,,,Traced,13,9,13,9,5322931
364912081,,,,Traced,19,9,19,9,4405841
364912130,,,,Traced,31,4,31,4,6996165
364912144,,,,Traced,13,9,13,9,4928587
365240050,,,,Traced,17,12,17,12,5317485
365244278,,,,Assign,10,1,10,1,84555
365244433,,,,Traced,7,5,7,5,2699157
365248580,,,,Traced,39,4,39,4,5566394
393887728,,,,Traced,79,27,63,22,23250068
393887940,,,,Traced,27,12,20,10,9260224
393887977,,,,Traced,34,12,23,9,8811204
393891936,,,,Traced,34,14,30,11,11022486
393892096,,,,Traced,30,16,25,13,10847212
393892199,,,,Traced,28,15,23,14,9690729
393892408,,,,Traced,17,13,15,9,7654862
393892668,,,,Traced,59,22,52,19,17154913
393896284,,,,Traced,34,15,30,13,8797280
394224301,,,,Traced,13,6,13,6,2622054
394224649,,,,Traced,48,17,43,14,11061277
394224837,,,,Traced,38,15,37,15,11177536
394224846,,,,Traced,78,29,70,26,18708493
394224933,,,,Traced,17,9,17,8,4275705
394225044,MBON14(a3)_L,,MBON14,Traced,5172,187,5143,185,359288547
394225136,,,,Traced,11,7,8,4,3549172
394228687,,,,Traced,90,45,89,43,22218036
394228960,,,,Traced,36,12,36,11,8481756
394229065,,,,Traced,66,43,59,41,27237099
394229089,,,,Traced,40,17,31,14,12429187
394229120,,,,Traced,247,36,244,36,43627974
394229208,,,,Orphan,72,2,70,2,1552076
394233055,,,,Traced,57,18,52,17,14475813
394237543,,,,Traced,7,2,7,2,1580163
394237668,,,,Assign,7,2,7,2,1609064
394565292,,,,Traced,11,7,11,7,3049184
394565411,,,,Traced,74,33,65,32,20265999
394565519,,,,Traced,6,2,6,2,268398
394565553,,,,Traced,71,22,59,20,17812686
394565622,,,,Traced,113,53,113,53,31273299
394565660,,,,Traced,8,5,8,5,2072391
394565682,,,,Orphan,16,1,15,1,212864
394565689,,,,Traced,42,21,38,17,16286491
394569793,,,,Traced,113,40,108,38,30083684
394569886,,,,Traced,134,54,130,53,33877208
394569917,,,,Traced,97,42,93,39,21524037
394569950,,,,Traced,10,6,10,6,2928498
394569965,,,,Traced,68,27,68,27,17496399
394569979,,,,Traced,57,23,55,23,11174201
394574530,,,,Traced,141,50,141,50,35903156
394574544,,,,Traced,72,28,66,25,15651209
394578352,,,,Traced,30,15,30,15,7556050
394578730,,,,Traced,8,3,8,3,2611765
394582572,,,,Traced,44,20,35,17,18275400
394582726,,,,Traced,3,2,3,2,514547
394582846,,,,Traced,54,20,52,19,13433621
394582867,,,,Traced,6,4,6,4,2117372
394582896,,,,Traced,41,14,36,11,14210117
394582919,,,,Traced,8,3,8,3,2027585
394582974,,,,Traced,13,4,13,4,2589000
394582981,,,,Traced,7,3,7,3,2914106
394582988,,,,Traced,77,30,66,28,20640037
394906410,,,,Traced,87,41,85,39,19937248
394906442,,,,Traced,42,3,42,3,1203324
394906444,,,,Traced,106,4,106,4,2639749
394906452,,,,Traced,8,3,8,3,2391990
394906472,,,,Traced,8,2,8,2,1656556
394906512,,,,Traced,45,17,38,16,11676588
394906586,,,,Traced,6,3,6,3,1615046
394906600,,,,Traced,97,29,97,29,23252631
394906673,,,,Traced,18,6,18,6,4093788
394906729,,,,Traced,55,33,55,33,16514710
394906737,,,,Traced,69,34,67,34,25462082
394915293,,,,Traced,110,41,110,41,16386302
394915412,,,,Traced,109,52,109,51,25659346
394919586,,,,Traced,4,6,4,6,2071770
394919729,,,,Traced,127,55,117,51,30998286
394923602,,,,Traced,171,69,171,68,49959380
394923804,,,,Traced,16,5,16,5,3357724
394923955,,,,Traced,17,8,14,8,5067268
394924083,,,,Traced,12,3,12,3,2764409
395247403,,,,Traced,87,28,82,26,17430029
395247442,,,,Traced,86,41,86,41,17530236
395247451,,,,Traced,103,32,102,32,22665514
395247616,,,,Traced,5,3,5,3,592304
395247617,,,,Traced,20,7,20,7,3179850
395247701,,,,Traced,124,53,124,52,32983079
395247731,,,,Traced,24,9,24,9,5344789
395247750,,,,Traced,54,18,52,17,13638442
395247798,,,,Traced,7,2,7,2,1320732
395247862,,,,Traced,16,5,16,5,2285504
395256435,,,,Traced,104,37,104,37,15204133
395256467,,,,Traced,72,27,72,27,13773314
395260510,,,,Assign,2,2,2,2,5720
395264643,,,,Traced,59,26,59,25,16818959
395264721,,,,Traced,5,3,5,3,1176533
395264725,,,,Traced,78,18,78,18,19113771
395264883,,,,Traced,12,4,12,4,1945322
395588463,,,,Traced,19,3,19,3,309258
395588587,,,,Traced,20,9,20,9,4386128
395588690,,,,Traced,41,18,41,18,13300226
395588709,,,,Orphan,7,2,7,2,40982
395588718,,,,Traced,4,2,4,2,269407
395588752,,,,Traced,22,1,22,1,4023518
395588834,,,,Traced,11,3,11,3,2407775
395588869,,,,Traced,86,33,80,32,21014388
395588901,,,,Traced,132,39,132,38,24497908
395592856,,,,Traced,87,28,87,28,14871733
395592938,,,,Traced,129,49,127,49,26807737
395593032,,,,Traced,57,24,57,24,10266014
395593086,,,,Traced,83,36,83,36,19079768
