id,instance,notes,type,status,inputs (#post),outputs (#pre),aL(R) #post,aL(R) #pre,b'L(R) #post,b'L(R) #pre,#voxels
611646147,KCab-p_R,,KCab-p,Traced,696,257,187,80,5,1,368031615
611974080,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,646,279,3,2,320,153,443217358
612323667,KCa'b'-m_R,,KCa'b'-m,Traced,706,224,27,14,324,103,405985069
612668833,KCab-s_R,,KCab-s,Traced,544,235,203,116,1,1,286463671
630373497,KCab-s_R,,KCab-s,Traced,575,248,204,111,1,1,302148793
632808044,KCg-m_R,,KCg-m,Traced,821,239,1,,1,2,391614106
633148704,KCg-m_R,,KCg-m,Traced,848,237,1,,5,3,360958036
641653381,KCa'b'-m_R,,KCa'b'-m,Traced,692,251,2,1,346,139,424988147
641688553,CRE042_R,,CRE042,Traced,6850,1277,1,,47,1,2405591250
642335523,KCab-p_R,,KCab-p,Traced,681,240,162,69,17,7,367954715
642335553,KCa'b'-m_R,,KCa'b'-m,Traced,722,286,14,9,354,162,440563976
642660081,LHAV9a1_b_R,,LHAV9a1_b,Traced,459,219,1,,3,5,362337911
642680826,KCab-p_R,,KCab-p,Traced,670,262,191,85,6,2,341818524
642680969,KCab-p_R,,KCab-p,Traced,699,264,220,84,11,3,398461486
661080007,KCa'b'-m_R,,KCa'b'-m,Traced,638,222,18,3,297,125,388134264
661407917,KCa'b'-m_R,,KCa'b'-m,Traced,648,243,14,7,272,117,368237390
662409505,KCa'b'-m_R,,KCa'b'-m,Traced,590,221,6,6,239,106,409839983
662409582,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,626,255,4,3,315,133,426186749
662452625,KCg-m_R,,KCg-m,Traced,855,287,6,3,4,2,420547401
663134970,KCg-m_R,,KCg-m,Traced,784,259,1,1,5,1,392525010
672352543,MBON10(B'1)_R,,MBON10,Traced,1347,214,4,,437,4,437971929
673029543,KCa'b'-m_R,,KCa'b'-m,Traced,611,225,6,4,275,111,383192868
673362451,CRE055_R,,CRE055,Traced,643,134,4,1,22,1,316250529
673366263,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,632,247,8,6,331,138,458158360
673370525,KCa'b'-m_R,,KCa'b'-m,Traced,568,209,14,7,287,106,362640450
674393414,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,650,238,1,1,336,130,436340617
675602461,PAM09(B1ped)_L,,PAM09,Traced,634,210,50,9,2,1,251389374
704409534,KCab-p_R,,KCab-p,Traced,685,243,204,82,4,1,354049999
704409742,KCab-s_R,,KCab-s,Traced,633,241,216,110,4,2,292719846
704466265,MBON12(y2a'1)_R,,MBON12,Traced,9126,1132,15,,306,1,1733289825
704742082,KCa'b'-m_R,,KCa'b'-m,Traced,637,239,13,6,306,129,354105707
704746449,KCab-p_R,,KCab-p,Traced,697,254,257,98,6,1,395383220
704746457,KCab-p_R,,KCab-p,Traced,741,247,209,77,20,9,389043123
705082892,KCa'b'-m_R,,KCa'b'-m,Traced,701,235,2,,392,132,398279539
735282133,PAM09(B1ped)_L,,PAM09,Traced,832,224,144,36,13,6,357006298
736117977,KCa'b'-m_R,,KCa'b'-m,Traced,635,252,11,4,334,145,435548368
736467526,KCab-m_R,,KCab-m,Traced,552,215,225,92,,1,302308178
737149820,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,652,243,1,1,260,113,442032641
766298734,PAM11(a1)_L,,PAM11,Traced,293,156,234,137,12,5,271683779
767494105,KCab-p_R,,KCab-p,Traced,633,218,154,62,5,1,365582357
767852204,KCa'b'-m_R,,KCa'b'-m,Traced,688,240,6,3,360,122,419723448
768184604,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,657,249,9,5,298,125,453806345
768184623,KCa'b'-m_R,,KCa'b'-m,Traced,624,240,1,,338,134,396386656
768525608,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,644,277,2,,314,170,459423549
768525647,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,709,261,1,,325,127,429009272
768555687,MBON10(B'1)_R,,MBON10,Traced,1537,170,4,,749,1,387649695
797187575,CRE055_R,,CRE055,Traced,652,169,7,1,5,2,333114208
798528850,KCa'b'-m_R,,KCa'b'-m,Traced,650,245,12,4,318,127,407487653
799586652,MBON05(y4>y1y2)(AVM07)_L,,MBON05,Traced,27110,1565,6,2,251,15,4762453854
799906141,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,618,245,6,1,297,141,406524522
815922095,KCab-s_R,,KCab-s,Traced,571,225,229,101,,1,291707344
816962833,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,571,235,2,2,245,107,383807289
817299301,KCa'b'-m_R,,KCa'b'-m,Traced,577,227,18,16,275,108,436705876
829235909,KCab-p_R,,KCab-p,Traced,756,257,185,81,3,1,370647687
861280857,KCab-p_R,,KCab-p,Traced,664,252,233,107,18,7,381165541
861285145,KCab-p_R,,KCab-p,Traced,735,266,249,96,2,2,376842335
861634934,KCa'b'-m_R,,KCa'b'-m,Traced,655,258,1,1,347,138,433333685
861665641,MBON12(y2a'1)_R,,MBON12,Traced,8766,1156,8,1,367,2,1813984393
878652627,KCa'b'-m_R,,KCa'b'-m,Traced,690,252,3,2,384,141,347955774
893347461,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,630,261,1,,292,138,446443832
894020730,MBON31(a'1a)_R,,MBON31,Traced,10753,1087,10,,734,3,2722993954
894702888,LAL013_R,,LAL013,Traced,2190,934,1,,1,1,1654988582
923700162,KCa'b'-m_R,,KCa'b'-m,Traced,660,241,7,3,313,115,409554421
924723528,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,635,272,3,,324,175,458805864
939733918,KCa'b'-m_R,,KCa'b'-m,Traced,632,240,27,11,285,117,426089124
940075056,KCab-p_R,,KCab-p,Traced,726,259,220,82,21,10,361940760
940420292,KCa'b'-m_R,,KCa'b'-m,Traced,618,245,7,3,314,132,428622683
1003474104,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,556,258,1,1,323,164,389074673
1016114585,PAM11(a1)_L,,PAM11,Traced,513,193,432,166,26,10,253818480
1016118449,PAM11(a1)_L,,PAM11,Traced,538,203,481,172,12,4,307010567
1016805008,KCab-p_R,,KCab-p,Traced,703,242,194,71,10,3,378892564
1017819398,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,650,256,3,1,335,135,411433282
1034198388,KCab-p_R,,KCab-p,Traced,733,260,201,85,31,11,361965654
1047489962,PAM11(a1)_L,,PAM11,Traced,658,200,551,166,7,6,327454873
1047835635,KCa'b'-m_R,,KCa'b'-m,Traced,666,240,27,7,303,118,437209470
1048172314,PPL103(y2a'1)(PDL05)_L,,PPL103,Traced,12116,3488,11,1,300,72,4211579375
1049549402,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,611,275,1,1,328,170,443024347
1064891781,KCab-p_R,,KCab-p,Traced,741,271,262,96,7,3,389121740
1077847238,PAM11(a1)_R,,PAM11,Traced,1325,226,676,193,7,4,551823489
1078874826,KCab-p_R,,KCab-p,Traced,586,221,166,80,7,2,360621538
1108545472,KCab-p_R,,KCab-p,Traced,628,250,206,79,6,2,345725929
1108545599,KCab-s_R,,KCab-s,Traced,608,251,193,119,2,1,315709589
1109568718,PAM11(a1)_L,,PAM11,Traced,706,219,555,195,5,3,339562986
1111947403,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,560,258,3,2,350,169,444926933
1140950118,KCg-m_R,,KCg-m,Traced,761,244,2,1,1,2,335259195
1141342299,KCg-m_R,,KCg-m,Traced,794,257,5,4,,1,402079101
1141972158,KCg-m_R,,KCg-m,Traced,746,224,4,2,,1,365560546
1141972202,KCg-m_R,,KCg-m,Traced,815,267,5,2,13,5,420915787
1169657925,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,565,226,1,,273,127,411320098
1169661785,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,637,254,4,4,350,147,448903191
1169999059,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,531,228,7,2,309,147,420909311
1170322501,PAM06_a(B'2m)_R,,PAM06_a,Traced,1190,304,1,,304,183,419481355
1170335262,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,565,222,7,5,309,134,393635014
1172665846,KCg-m_R,,KCg-m,Traced,895,281,3,3,18,3,308381801
1200351200,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,595,234,5,1,309,140,350624191
1200687913,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,630,238,2,1,308,132,451995760
1201032707,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,604,239,3,5,314,139,404305308
1202737975,KCg-m_R,,KCg-m,Traced,754,271,1,,8,3,371682997
1231299343,PAM11(a1)_R,,PAM11,Traced,1895,315,952,260,25,5,659070629
1294465669,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,673,249,7,3,330,143,446959185
1327831724,KCa'b'-m_R,,KCa'b'-m,Traced,630,233,35,16,299,113,429239588
1328505485,KCab-p_R,,KCab-p,Traced,723,261,219,85,6,1,394578410
1328513713,PAM10(B1)_L,,PAM10,Traced,1522,456,1,,28,14,513933742
1387575003,KCab-p_R,,KCab-p,Traced,706,261,194,88,6,1,398985389
1388585088,KCab-p_R,,KCab-p,Traced,635,220,192,76,2,1,352744706
1418273110,KCab-p_R,,KCab-p,Traced,608,250,194,97,4,2,278789370
1418618235,SIFa(PDM34),,SIFa,Traced,1592,935,83,23,17,7,6190229391
1450011431,KCab-c_R,,KCab-c,Traced,328,134,104,44,1,3,211232050
1515418525,KCa'b'-m_R,,KCa'b'-m,Traced,556,205,45,22,244,95,407157814
5812979326,KCg-m_R,,KCg-m,Traced,827,243,1,,,1,414682167
5812980425,KCab-s_R,,KCab-s,Traced,601,213,222,96,1,1,254520884
5812980567,PAM09(B1ped)_R,,PAM09,Traced,1252,241,128,46,15,5,431109241
5812980746,SIP087(PDM22)_L,,SIP087,Traced,7549,3221,1,1,10,6,3325948715
5812980792,KCab-p_R,,KCab-p,Traced,667,280,199,91,13,3,374117772
5812980938,KCab-p_R,,KCab-p,Traced,693,270,236,103,4,2,399456127
5812981068,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,659,260,9,5,317,147,420573073
5812981071,KCa'b'-m_R,,KCa'b'-m,Traced,672,225,12,5,301,105,385557469
5812981072,KCa'b'-m_R,,KCa'b'-m,Traced,649,226,20,10,322,114,393185864
5812981164,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,563,245,8,4,335,160,447193387
5812981274,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,566,235,3,1,260,114,383887653
5812981275,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,607,259,1,,308,123,487373247
5812981277,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,621,239,1,2,332,130,474294817
5812981290,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,580,240,1,1,305,122,451840346
5812981308,KCa'b'-m_R,,KCa'b'-m,Traced,571,190,19,10,243,76,390005539
5812981320,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,629,272,3,1,320,161,446321131
5812981327,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,754,256,2,,330,140,438108998
5812981340,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,636,258,2,3,404,186,446538834
5812981341,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,647,231,3,,344,122,457579684
5812981348,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,618,233,1,,346,151,441656257
5812981361,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,558,214,3,3,254,122,390359463
5812981379,KCab-s_R,,KCab-s,Traced,570,236,213,99,2,1,300101280
5812981399,KCa'b'-m_R,,KCa'b'-m,Traced,720,216,1,1,316,108,416667601
5812981400,KCa'b'-m_R,,KCa'b'-m,Traced,705,247,12,8,339,121,455420889
5812981401,KCa'b'-m_R,,KCa'b'-m,Traced,671,203,6,2,303,104,418827569
5812981563,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,661,224,5,7,356,130,453767469
5812981564,KCa'b'-m_R,,KCa'b'-m,Traced,642,232,7,3,329,122,391061782
5812981570,KCa'b'-m_R,,KCa'b'-m,Traced,642,249,5,2,312,128,449506766
5812981578,KCa'b'-m_R,,KCa'b'-m,Traced,620,237,1,,281,98,399710677
5812981582,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,688,233,14,4,329,117,413897094
5812981590,KCa'b'-m_R,,KCa'b'-m,Traced,622,196,6,7,313,82,404873540
5812981643,KCab-p_R,,KCab-p,Traced,682,252,199,75,8,3,374726947
5812981673,KCab-s_R,,KCab-s,Traced,594,236,208,101,,1,319135563
5812981680,KCab-p_R,,KCab-p,Traced,734,281,248,103,2,1,282267054
5812981689,KCa'b'-m_R,,KCa'b'-m,Traced,744,219,6,2,396,101,328939713
5812981796,KCa'b'-m_R,,KCa'b'-m,Traced,665,226,18,10,316,112,478708280
5812981797,KCa'b'-m_R,,KCa'b'-m,Traced,763,234,7,1,327,115,415406453
5812981800,KCa'b'-m_R,,KCa'b'-m,Traced,651,249,28,17,313,147,399866760
5812981816,KCa'b'-m_R,,KCa'b'-m,Traced,620,214,22,10,321,107,402147766
5812981960,KCa'b'-m_R,,KCa'b'-m,Traced,721,226,12,4,299,106,331043517
5812981961,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,637,239,1,1,270,119,464186591
5812981978,KCa'b'-m_R,,KCa'b'-m,Traced,574,237,14,5,240,124,405213419
5812982086,KCa'b'-m_R,,KCa'b'-m,Traced,649,253,1,,294,140,425938168
5812982087,KCa'b'-m_R,,KCa'b'-m,Traced,572,208,7,4,320,111,414845645
5812982088,KCa'b'-m_R,,KCa'b'-m,Traced,684,234,6,3,294,103,399100731
5812982145,KCa'b'-m_R,,KCa'b'-m,Traced,720,245,1,,326,126,417445903
5812982329,KCa'b'-m_R,,KCa'b'-m,Traced,677,234,25,9,295,114,365482537
5812982350,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,555,210,1,,329,121,408201604
5812982397,KCa'b'-m_R,,KCa'b'-m,Traced,603,223,21,9,306,123,419710605
5812982514,KCab-s_R,,KCab-s,Traced,589,237,224,117,1,1,363758686
5812982692,KCa'b'-m_R,,KCa'b'-m,Traced,591,226,3,3,286,114,295847214
5812982694,KCa'b'-m_R,,KCa'b'-m,Traced,684,207,2,1,347,101,430418695
5812982706,KCa'b'-m_R,,KCa'b'-m,Traced,672,231,7,4,315,119,418473741
5812982725,KCa'b'-m_R,,KCa'b'-m,Traced,635,230,3,1,338,120,409899062
5812982780,KCab-p_R,,KCab-p,Traced,700,235,192,78,4,1,384605451
5812982782,KCab-p_R,,KCab-p,Traced,677,228,193,82,14,4,389662255
5812983112,KCa'b'-m_R,,KCa'b'-m,Traced,647,251,1,,338,150,411342672
5812983174,KCa'b'-m_R,,KCa'b'-m,Traced,681,235,21,3,306,114,386511183
5812983451,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,634,262,4,1,300,124,436809854
5812983454,KCab-s_R,,KCab-s,Traced,498,215,216,106,,1,312078902
5812983533,PAM11(a1)_R,,PAM11,Traced,1022,216,513,176,18,8,502377982
5812983571,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,579,248,4,1,310,151,294590390
5812983645,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,651,257,7,2,395,153,449532868
5812983646,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,595,256,2,,353,176,453811862
5812983866,KCa'b'-m_R,,KCa'b'-m,Traced,596,208,2,,301,115,415440030
5812983869,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,606,213,6,2,256,79,436690709
5813010617,KCab-p_R,,KCab-p,Traced,675,277,169,87,19,4,391055197
5813020041,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,613,209,2,1,325,122,434014408
5813020057,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,658,256,1,1,285,133,441233004
5813020988,LHMB1_R,,LHMB1,Traced,6859,1312,13,3,38,14,2286240275
5813021033,KCab-p_R,,KCab-p,Traced,804,252,252,92,12,3,410859481
5813021174,KCa'b'-m_R,,KCa'b'-m,Traced,605,262,14,10,277,136,441153613
5813021261,PAM11(a1)_L,,PAM11,Traced,395,160,326,133,20,6,248528210
5813021642,KCa'b'-m_R,,KCa'b'-m,Traced,665,211,3,1,288,93,373756130
5813021645,KCa'b'-m_R,,KCa'b'-m,Traced,672,235,26,13,308,127,394108433
5813021736,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,605,219,3,,290,112,454869357
5813021766,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,649,240,2,,323,127,394506432
5813021772,KCa'b'-m_R,,KCa'b'-m,Traced,712,230,21,11,346,120,411808930
5813021786,KCa'b'-m_R,,KCa'b'-m,Traced,718,225,1,,332,108,428081193
5813021788,KCab-p_R,,KCab-p,Traced,713,247,223,84,12,3,417804388
5813021805,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,704,267,2,1,386,160,478993126
5813021808,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,591,274,5,2,331,167,455112693
5813021809,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,663,276,2,1,327,161,467946092
5813021832,KCa'b'-m_R,,KCa'b'-m,Traced,655,255,4,4,300,112,405326877
5813021856,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,668,254,1,1,346,154,485815034
5813022037,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,655,236,1,1,365,150,431474709
5813022117,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,659,215,10,4,332,124,434303309
5813022424,PPL103(y2a'1)_R,,PPL103,Traced,15227,3375,20,4,443,96,5444071374
5813032811,KCa'b'-m_R,,KCa'b'-m,Traced,616,210,13,6,311,94,388570181
5813032876,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,656,232,1,1,349,124,519684879
5813032943,KCab-p_R,,KCab-p,Traced,734,252,207,82,4,2,339903729
5813033127,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,616,243,4,1,341,135,486240013
5813035613,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,568,252,1,,318,148,463866310
5813047220,KCa'b'-m_R,,KCa'b'-m,Traced,683,245,20,5,265,120,427955175
5813047221,KCa'b'-m_R,,KCa'b'-m,Traced,631,224,37,13,308,121,437993906
5813047662,KCg-m_R,,KCg-m,Traced,764,261,4,3,,2,364278076
5813047790,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,580,209,1,,321,125,431318660
5813050765,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,702,265,8,4,337,142,452964728
5813055914,KCab-s_R,,KCab-s,Traced,650,235,260,115,1,1,322349102
5813056299,KCa'b'-m_R,,KCa'b'-m,Traced,714,228,20,5,322,110,424133459
5813056300,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,692,271,2,2,345,143,436927867
5813056307,KCa'b'-m_R,,KCa'b'-m,Traced,641,242,14,5,308,107,441207882
5813056309,KCg-m_R,,KCg-m,Traced,825,283,2,3,25,8,395923682
5813056313,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,653,200,5,1,321,102,403944266
5813056372,KCa'b'-m_R,,KCa'b'-m,Traced,651,228,25,7,281,110,396399147
5813056414,KCg-m_R,,KCg-m,Traced,673,211,1,1,29,8,349509259
5813057227,KCa'b'-m_R,,KCa'b'-m,Traced,621,239,1,,283,114,416212913
5813057239,KCa'b'-m_R,,KCa'b'-m,Traced,724,228,4,3,359,103,405376444
