id,instance,notes,type,status,inputs (#post),outputs (#pre),NO #post,NO #pre,gL(R) #post,gL(R) #pre,#voxels
329566174,OA-VPM3(NO2/NO3)_R,,OA-VPM3,Traced,10075,8632,300,198,424,316,6917059458
579268807,FB1C(NO1/NO3)_R,LALNOmFB1,FB1C,Traced,3282,1356,403,177,40,1,1823088730
1352077058,DSKMP1B_R,,DSKMP1B,Traced,2983,560,13,7,7,16,5492683352
1418618235,SIFa(PDM34),,SIFa,Traced,1592,935,1,,77,35,6190229391
1629383757,Ascending?,,,Traced,5797,1631,106,,1,1,3262430111
5813055913,FB1C(NO1/NO3)_R,LALNOmFB1,FB1C,Traced,2965,1290,449,170,16,1,1798572771
5813061260,OA-VPM3(NO2/NO3)_L,,OA-VPM3,Traced,5122,4069,144,95,84,55,3486100136
5813062858,FB1H(NO2/3)_R,CRENO23FB1-4,FB1H,Traced,9598,3733,770,331,55,1,3621432113
