id,instance,notes,type,status,inputs (#post),outputs (#pre),bL(R) #post,bL(R) #pre,#voxels
908690107,KCab-m_R,,KCab-m,Traced,556,202,127,56,270083602
908699052,KCab-m_R,,KCab-m,Traced,497,192,112,52,268368050
909026561,KCab-m_R,,KCab-m,Traced,616,221,178,80,250111858
909026992,KCab-m_R,,KCab-m,Traced,510,164,131,49,232684526
909368173,KCab-m_R,,KCab-m,Traced,593,189,156,66,272641756
909372586,KCab-m_R,,KCab-m,Traced,528,191,114,53,256311720
909372602,KCab-m_R,,KCab-m,Traced,516,196,133,64,296825364
909704857,KCab-c_R,,KCab-c,Traced,355,124,108,32,232054390
909730907,KCab-s_R,,KCab-s,Traced,698,241,200,89,308702323
909730911,KCab-m_R,,KCab-m,Traced,528,195,139,60,261739915
910063154,KCab-m_R,,KCab-m,Traced,541,179,134,55,256962721
910063307,KCab-s_R,,KCab-s,Traced,582,240,149,78,292757588
910386568,KCab-c_R,,KCab-c,Traced,380,155,97,38,229096420
910404284,KCab-m_R,,KCab-m,Traced,508,181,139,51,257009808
910412830,KCab-m_R,,KCab-m,Traced,609,224,170,76,297364193
911094343,KCab-m_R,,KCab-m,Traced,604,210,158,54,274888881
911400981,KCab-c_R,,KCab-c,Traced,411,165,109,57,227114944
922677093,KCab-c_R,,KCab-c,Traced,332,131,107,42,101853518
922677121,KCab-c_R,,KCab-c,Traced,300,122,73,36,236879854
923013923,KCab-c_R,,KCab-c,Traced,462,181,109,54,144580318
923018247,KCab-c_R,,KCab-c,Traced,403,147,109,46,210067973
923018290,KCab-m_R,,KCab-m,Traced,474,181,133,60,248557175
923359312,KCab-s_R,,KCab-s,Traced,558,224,175,83,298270022
923700162,KCa'b'-m_R,,KCa'b'-m,Traced,660,241,8,2,409554421
923726321,PAM04_a(B2)_R,,PAM04_a,Traced,2114,345,1055,205,486729507
923787513,FB4K_L,CRESMPFB4_3,FB4K,Traced,1756,470,5,1,1395825196
939030036,KCab-m_R,,KCab-m,Traced,538,195,130,57,255498861
939729237,KCab-s_R,,KCab-s,Traced,651,245,172,83,324312813
939729706,KCab-c_R,,KCab-c,Traced,439,155,117,49,232722025
939733452,KCab-s_R,,KCab-s,Traced,628,218,215,80,310965787
939734122,KCab-s_R,,KCab-s,Traced,570,244,174,83,311872898
939734266,KCab-m_R,,KCab-m,Traced,546,210,140,71,255999462
939738364,KCab-m_R,,KCab-m,Traced,576,196,126,58,277963058
939738376,KCab-s_R,,KCab-s,Traced,599,225,167,73,321765624
939738399,KCab-m_R,,KCab-m,Traced,568,222,153,58,311899338
939738424,KCab-c_R,,KCab-c,Traced,500,168,102,41,244127222
939738473,KCab-c_R,,KCab-c,Traced,492,147,141,47,234734513
939738477,KCab-m_R,,KCab-m,Traced,509,200,115,61,269034592
939742503,KCab-c_R,,KCab-c,Traced,386,155,84,44,155679853
939742609,KCab-c_R,,KCab-c,Traced,452,184,115,57,261660904
940070913,KCab-m_R,,KCab-m,Traced,521,190,141,56,274247055
940075056,KCab-p_R,,KCab-p,Traced,726,259,228,86,361940760
940075464,KCab-m_R,,KCab-m,Traced,557,191,146,53,274517279
940079170,KCab-s_R,,KCab-s,Traced,552,206,142,63,264703788
940079253,KCab-m_R,,KCab-m,Traced,498,183,147,63,266308208
940079513,KCab-m_R,,KCab-m,Traced,570,218,171,75,258361359
940079568,KCab-m_R,,KCab-m,Traced,541,192,160,60,267156454
940079657,KCab-m_R,,KCab-m,Traced,462,187,130,58,262865540
940079771,KCab-m_R,,KCab-m,Traced,543,198,148,59,278766658
940083749,KCab-c_R,,KCab-c,Traced,447,166,103,46,240054328
940084060,KCab-m_R,,KCab-m,Traced,472,173,113,52,261676977
940084095,KCab-c_R,,KCab-c,Traced,393,173,96,53,191379971
940084152,KCab-c_R,,KCab-c,Traced,430,140,127,41,235252289
940087822,KCab-c_R,,KCab-c,Traced,369,131,94,33,214739099
940425106,KCab-m_R,,KCab-m,Traced,567,177,119,50,271492588
940425171,KCab-s_R,,KCab-s,Traced,580,232,153,80,315400520
940425232,KCab-m_R,,KCab-m,Traced,499,214,113,63,283346192
940748411,KCab-m_R,,KCab-m,Traced,467,185,147,63,241288031
940752707,KCab-m_R,,KCab-m,Traced,547,217,156,71,294115741
940761352,KCab-c_R,,KCab-c,Traced,458,156,117,42,225466586
941102504,KCab-m_R,,KCab-m,Traced,493,187,143,62,280502988
941111195,KCab-m_R,,KCab-m,Traced,500,187,141,55,270329622
953029783,KCab-s_R,,KCab-s,Traced,610,227,193,79,308890771
953712141,KCab-m_R,,KCab-m,Traced,544,166,126,42,240676042
954053018,KCab-c_R,,KCab-c,Traced,468,158,112,39,241045676
954053251,KCab-c_R,,KCab-c,Traced,512,185,123,52,163873661
954053261,KCab-m_R,,KCab-m,Traced,381,176,117,54,116165520
954730964,KCab-s_R,,KCab-s,Traced,581,235,168,82,291727874
970772961,KCab-c_R,,KCab-c,Traced,498,161,124,43,248922598
970777114,KCab-c_R,,KCab-c,Traced,419,162,111,50,194125746
970777224,KCab-c_R,,KCab-c,Traced,351,140,90,39,230838292
971113967,KCab-c_R,,KCab-c,Traced,510,174,136,57,269876301
971118202,KCab-m_R,,KCab-m,Traced,489,177,87,36,250353021
971118588,KCab-c_R,,KCab-c,Traced,447,151,109,36,248004580
971118724,KCab-c_R,,KCab-c,Traced,497,167,95,38,253383175
971459227,KCab-m_R,,KCab-m,Traced,539,181,110,48,244540270
972080542,KCab-c_R,,KCab-c,Traced,324,138,94,38,94802526
984405805,KCab-m_R,,KCab-m,Traced,575,228,172,83,300863454
984746802,KCab-m_R,,KCab-m,Traced,515,190,118,50,227942299
985429128,KCab-m_R,,KCab-m,Traced,558,199,129,60,172732500
1016118651,KCab-c_R,,KCab-c,Traced,414,163,151,58,164392426
1016122913,KCab-c_R,,KCab-c,Traced,357,146,104,44,128303063
