id,instance,notes,type,status,inputs (#post),outputs (#pre),b'L(R) #post,b'L(R) #pre,LAL(R) #post,LAL(R) #pre,#voxels
1015484487,,,,Traced,623,710,5,3,13,6,523595977
1016166622,CRE067_R,,CRE067,Traced,1039,396,3,,147,3,735317516
1016506999,LAL198_R,,LAL198,Traced,2427,780,3,1,1858,58,1609357758
1045832508,LAL075(AVM07)_L,L-LC(c)2,LAL075,Traced,1095,596,1,1,164,237,760736824
1049247113,LAL160_R,CL-LC(c),LAL160,Traced,2653,450,1,,1178,131,959950008
1051980223,FB4F_a_R,CRELALFB4_2,FB4F_a,Traced,1815,401,1,,484,8,724270517
1078693835,MBON09(y3B'1)_R,,MBON09,Traced,23111,1297,10,,1,1,2791162363
1109599486,FB4J_R,CRELALFB4_5,FB4J,Traced,1881,314,1,,148,2,736167505
1110640084,CRE067_R,,CRE067,Traced,1342,370,1,,311,5,763267727
1111947403,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,560,258,350,169,,1,444926933
1131822592,FB4I_R,LALCREFB4,FB4I,Traced,1868,335,2,,713,16,1015553194
1131840673,FB4R_R,CREFB4,FB4R,Traced,1345,426,1,,33,2,853725137
1140996390,PAM04_a(B2)_R,,PAM04_a,Traced,2268,365,19,2,,1,498035936
1141687128,PAM07(y4<y1y2)_R,,PAM07,Traced,1417,168,5,,45,2,394678553
1141972202,KCg-m_R,,KCg-m,Traced,815,267,13,5,1,2,420915787
1173045815,PAM12(y3)_R,,PAM12,Traced,1080,172,2,1,62,1,396639821
1198330286,ExR2(PPM3-EB-DAN/ring)_R,,ExR2,Traced,2590,1152,1,,804,144,1472264855
1204391417,PAM13(B'1ap)_R,,PAM13,Traced,1004,243,299,141,27,3,366409907
1261773286,ER3a_d(ring)_R,,ER3a_d,Traced,752,248,1,,17,1,462734560
1326264840,LNO3(LAL-NO2bilateral)_R,LNO3,LNO3,Traced,2082,502,6,5,594,1,1389645128
1418618235,SIFa(PDM34),,SIFa,Traced,1592,935,17,7,3,2,6190229391
5812980666,FB5K_R,CREFB5,FB5K,Traced,4136,627,6,,12,3,1601760267
5812980746,SIP087(PDM22)_L,,SIP087,Traced,7549,3221,10,6,638,442,3325948715
5812981381,PPL102(y1)(PDL05)_L,,PPL102,Traced,9198,2830,2,2,86,42,3349981626
5813019850,CRE048_R,,CRE048,Traced,5674,1107,3,,208,19,2306300526
5813020846,CL021_R,,CL021,Traced,1847,532,1,,151,184,1380885839
5813020996,SMP384(PDM09)_L,,SMP384,Traced,4802,2862,3,2,1,2,2685199565
5813021602,SMP198_R,,SMP198,Traced,5509,1065,10,,77,1,2907484791
5813022163,SMP148(ADM10)_L,,SMP148,Traced,2308,543,1,,418,477,1378985998
5813022234,MBON30(y1y2y3)_R,,MBON30,Traced,13786,1430,4,,75,13,2864745122
5813022259,ATL034_R,,ATL034,Traced,1456,558,1,,343,27,1594567956
5813022759,CRE059_R,,CRE059,Traced,1452,568,1,,273,24,1127295229
5813022811,CRE080_R,pMP6b candidates,CRE080,Traced,1131,236,10,2,37,6,1038235689
5813022896,MBON21(y4y5)_R,,MBON21,Traced,12515,1168,44,2,83,70,3288021127
5813032771,KCg-s2(super)_R,,KCg-s2,Traced,1845,589,54,44,4,6,975624467
5813056183,KCg-d_R,,KCg-d,Traced,600,223,16,9,,1,360853469
5813057956,KCg-m_R,,KCg-m,Traced,772,230,2,,1,1,356908730
5813058048,MBON29(y4y5)_R,,MBON29,Traced,8512,761,14,1,47,2,2345461437
5813060787,FB2B_a_R,LALCREFB2_1; Tdc2 (TA)-ASM candidates,FB2B_a,Traced,2265,794,13,1,147,1,1042477121
5813061260,OA-VPM3(NO2/NO3)_L,,OA-VPM3,Traced,5122,4069,12,10,1,7,3486100136
5813062858,FB1H(NO2/3)_R,CRENO23FB1-4,FB1H,Traced,9598,3733,1,,165,21,3621432113
5813079425,LAL079_R,,LAL079,Traced,512,167,4,,102,125,400424983
5813083779,CRE022_R,,CRE022,Traced,8464,1155,5,,85,78,2658194530
5813090253,LAL033_R,,LAL033,Traced,1156,191,2,,770,115,327180537
5813117385,MBON27(y5d)_R,,MBON27,Traced,8021,668,58,,175,14,1674077310
5901193671,CRE080_R,pMP6b candidates,CRE080,Traced,1561,277,16,1,106,13,1200274635
5901213440,CRE011_R,,CRE011,Traced,19674,2149,7,,1724,648,5844952800
5901221584,LAL137_R,VeLC-(LC)(c)Sm(b),LAL137,Traced,4244,1427,1,,2640,172,2323051347
