id,instance,notes,type,status,inputs (#post),outputs (#pre),NO #post,NO #pre,#voxels
1410451120,PFNp_c(PB01c)_R6_C5,PFNp_c,PFNp_c,Traced,429,82,271,37,206071298
1410451151,PFNp_b(PB01b)_R6_C5,PFNp_b,PFNp_b,Traced,176,43,90,19,133385361
1410472719,PFNp_c(PB01c)_L6_C5,PFNp_c,PFNp_c,Traced,422,81,305,32,202552831
1410801066,PFNp_d(PB01a)_R5_C6,PFNp_d,PFNp_d,Traced,159,33,75,4,120213107
1410813978,PFNp_b(PB01b)_L6_C5,PFNp_b,PFNp_b,Traced,141,38,98,19,113474514
1411862814,PFNa(PB03)_R4_C7,PFNa,PFNa,Traced,542,110,257,37,297901324
1412164346,PFNm_b(PB02b)_L5_C4,PFNm_b,PFNm_b,Traced,470,122,183,38,269470639
1412238418,PFNa(PB03)_L8_C7,PFNa,PFNa,Traced,499,122,279,40,293819301
1441144493,PFNp_c(PB01c)_R4_C7,PFNp_c,PFNp_c,Traced,420,80,256,38,220073717
1441481281,PFNm_a(PB02a)_R4_C7,PFNm_a,PFNm_a,Traced,628,111,391,49,272518264
1441485388,PFNp_a(PB01a)_R4_C7,PFNp_a,PFNp_a,Traced,186,44,81,19,126265270
1441485464,PFNp_e(PB01a)_R6_C5,PFNp_e,PFNp_e,Traced,345,61,191,33,200205040
1441485633,PFNp_c(PB01c)_R4_C7,PFNp_c,PFNp_c,Traced,355,68,221,32,197085606
1441485832,PFNp_c(PB01c)_R4_C7,PFNp_c,PFNp_c,Traced,457,94,321,38,253913577
1441485942,PFNp_c(PB01c)_R4_C7,PFNp_c,PFNp_c,Traced,401,88,272,36,241584337
1441486002,PFNp_e(PB01a)_R4_C7,PFNp_e,PFNp_e,Traced,241,57,147,22,161955424
1441498763,PFNp_b(PB01b)_L6_C5,PFNp_b,PFNp_b,Traced,124,44,88,28,128861177
1441499171,PFNp_b(PB01b)_L6_C5,PFNp_b,PFNp_b,Traced,124,41,96,24,123344847
1441499284,PFNp_b(PB01b)_L6_C5,PFNp_b,PFNp_b,Traced,134,44,100,18,128766829
1441503403,PFNp_b(PB01b)_L6_C5,PFNp_b,PFNp_b,Traced,151,55,103,29,130308290
1441503748,PFNp_c(PB01c)_L6_C5,PFNp_c,PFNp_c,Traced,350,89,264,34,237030936
1441848753,PFNp_b(PB01b)_L6_C5,PFNp_b,PFNp_b,Traced,153,44,102,21,113419994
1442556708,PFNp_d(PB01a)_L7_C6,PFNp_d,PFNp_d,Traced,150,32,31,1,114358250
1442931671,PFNp_d(PB01a)_L_C7_irreg,PFNp_d,PFNp_d,Traced,90,25,47,1,95504211
1442931758,PFNp_d(PB01a)_L8_C7,PFNp_d,PFNp_d,Traced,141,23,71,6,92793700
1443268440,PFNa(PB03)_L8_C7,PFNa,PFNa,Traced,565,138,314,60,288035778
1443579770,PFNa(PB03)_R4_C7,PFNa,PFNa,Traced,586,114,311,48,323082717
1448575109,LNO2(LAL-NO2a)_R,,LNO2,Traced,8560,939,2695,931,3621306261
1450318227,LNO1(LAL-NO2b)_R,,LNO1,Traced,1867,464,1119,459,1156622360
1472205673,PFNa(PB03)_R2_C9,PFNa,PFNa,Traced,608,128,330,51,329289610
1472520245,PFNp_d(PB01a)_R4_C7,PFNp_d,PFNp_d,Traced,111,19,54,2,105055774
1472537557,PFNp_e(PB01a)_L6_C5,PFNp_e,PFNp_e,Traced,189,60,110,26,119345306
1472542572,PFNp_a(PB01a)_L6_C5,PFNp_a,PFNp_a,Traced,155,47,120,23,138376894
1472546868,PFNp_a(PB01a)_L6_C5,PFNp_a,PFNp_a,Traced,127,37,106,19,118217156
1472866173,PFNp_b(PB01b)_R7_C4,PFNp_b,PFNp_b,Traced,248,59,142,29,169702183
1473202957,PFNm_a(PB02a)_R7_C4,PFNm_a,PFNm_a,Traced,680,122,446,47,307056607
1473207713,PFNp_c(PB01c)_R7_C4,PFNp_c,PFNp_c,Traced,450,94,284,42,249239486
1480084038,LNO1(LAL-NO2b)_L,,LNO1,Traced,1391,502,1382,502,597456784
1480084042,LNO1(LAL-NO2b)_L,,LNO1,Traced,1337,462,1332,462,576390069
1503581177,PFNp_b(PB01b)_R2_C9,PFNp_b,PFNp_b,Traced,143,39,95,11,111052665
1503581412,PFNp_b(PB01b)_R2_C9,PFNp_b,PFNp_b,Traced,164,51,139,30,156770287
1503896377,PFNp_b(PB01b)_R5_C6,PFNp_b,PFNp_b,Traced,166,28,93,15,136237574
1503922566,PFNp_b(PB01b)_L4_C3,PFNp_b,PFNp_b,Traced,198,61,109,39,160206746
1504268020,PFNm_a(PB02a)_L7_C6,PFNm_a,PFNm_a,Traced,411,114,292,40,201619972
1504582746,PFNp_b(PB01b)_R7_C4,PFNp_b,PFNp_b,Traced,234,59,100,23,97753775
1504924440,PFNm_a(PB02a)_R7_C4,PFNm_a,PFNm_a,Traced,677,130,431,42,312385916
1508334312,PEN_a(PB06a)_L3,PEN1,PEN_a(PEN1),Traced,1937,604,567,121,945241267
1508956088,LNOa(LAL-NO3a)_R,LNa,LNOa,Traced,1938,546,1091,534,1488500482
1509098829,GLNO(LAL-NO1)_L,LGNO,GLNO,Traced,811,447,805,439,406877798
1509435552,LNO2(LAL-NO2a)_L,,LNO2,Traced,3120,959,3116,953,1221278913
1509439784,GLNO(LAL-NO1)_L,LGNO,GLNO,Traced,901,475,894,474,401598108
1511032500,LNO1(LAL-NO2b)_R,,LNO1,Traced,2043,469,1221,462,1168699761
1513363614,LCNOpm(LAL-NO3pm)_R,LCNpm,LCNOpm,Traced,6501,858,2291,810,2388661962
1534616158,PFNp_d(PB01a)_R2_C9,PFNp_d,PFNp_d,Traced,158,26,80,2,108758119
1534616361,PFNp_b(PB01b)_R2_C9,PFNp_b,PFNp_b,Traced,178,51,106,23,147308921
1535298439,PFNp_b(PB01b)_R4_C7,PFNp_b,PFNp_b,Traced,209,45,121,25,123385803
1535298460,PFNp_b(PB01b)_R4_C7,PFNp_b,PFNp_b,Traced,195,53,114,29,139280020
1535652862,PFNm_a(PB02a)_R4_C7,PFNm_a,PFNm_a,Traced,575,103,377,41,253886838
1536006733,PFNm_b(PB02b)_L8_C7,PFNm_b,PFNm_b,Traced,448,114,211,37,203606131
1536326457,PFNp_b(PB01b)_R4_C7,PFNp_b,PFNp_b,Traced,171,34,63,10,118546130
1537634396,PFNa(PB03)_L3_C2,PFNa,PFNa,Traced,902,187,426,56,505576414
1539788837,LNOa(LAL-NO3a)_L,LNa,LNOa,Traced,1206,541,1204,541,645821004
1539994995,GLNO(LAL-NO1)_R,LGNO,GLNO,Traced,1585,469,800,461,725035559
1540129092,LCNOpm(LAL-NO3pm)_L,LCNpm,LCNOpm,Traced,2711,862,2689,855,1286666680
1566333075,PFNp_b(PB01b)_R4_C7,PFNp_b,PFNp_b,Traced,202,49,129,24,141172075
1566644645,PFNa(PB03)_R8_C3,PFNa,PFNa,Traced,701,145,332,48,391422300
1567020107,PFNp_b(PB01b)_R4_C7,PFNp_b,PFNp_b,Traced,158,31,92,11,109321887
1567028669,PFNp_b(PB01b)_L8_C7,PFNp_b,PFNp_b,Traced,150,51,113,23,138155182
1567382512,PFNp_a(PB01a)_L8_C7,PFNp_a,PFNp_a,Traced,119,39,96,17,98135066
1567728102,PFNp_a(PB01a)_L8_C7,PFNp_a,PFNp_a,Traced,108,42,84,19,102928213
1568047319,PFNm_a(PB02a)_R3_C8,PFNm_a,PFNm_a,Traced,856,139,500,44,296164753
1568711739,LCNOp(LAL-NO3p)_L,LCNp,LCNOp,Traced,2262,384,781,373,968794750
1597683387,PFNm_a(PB02a)_R8_C3,PFNm_a,PFNm_a,Traced,565,102,374,47,262180032
1598067695,PFNp_a(PB01a)_R3_C8,PFNp_a,PFNp_a,Traced,180,51,98,21,152877171
1598382541,PFNp_b(PB01b)_L7_C6,PFNp_b,PFNp_b,Traced,198,63,146,30,140325507
1599069164,PFNm_a(PB02a)_L8_C7,PFNm_a,PFNm_a,Traced,488,107,344,49,240044244
1599410380,PFNp_c(PB01c)_L8_C7,PFNp_c,PFNp_c,Traced,422,100,306,40,214370701
1599431888,PFNp_c(PB01c)_R3_C8,PFNp_c,PFNp_c,Traced,752,139,529,63,341634908
1599436552,PFNp_c(PB01c)_R3_C8,PFNp_c,PFNp_c,Traced,628,115,403,45,328505069
1599747200,PFNp_c(PB01c)_L9_C9,PFNp_c,PFNp_c,Traced,479,96,317,38,210163048
1599772916,PFNp_b(PB01b)_R3_C8,PFNp_b,PFNp_b,Traced,246,58,110,20,165987725
1599773239,PFNp_b(PB01b)_L9_C9,PFNp_b,PFNp_b,Traced,150,61,97,27,122231439
1600079770,PFNv(PB05)_L9_C9,PFNv,PFNv,Traced,864,336,516,137,532651939
1600083889,PEN_b(PB06b)_L9,PEN2,PEN_b(PEN2),Traced,1513,328,524,97,535483990
1600420555,GLNO(LAL-NO1)_R,LGNO,GLNO,Traced,1806,481,904,475,787489080
1601771527,PEN_b(PB06b)_R9,PEN2,PEN_b(PEN2),Traced,1585,330,383,79,695171696
1628743785,PFNp_a(PB01a)_R3_C8,PFNp_a,PFNp_a,Traced,252,64,112,24,167605436
1628744095,PFNp_e(PB01a)_R3_C8,PFNp_e,PFNp_e,Traced,466,97,266,48,280875421
1629085008,PFNp_c(PB01c)_R5_C6,PFNp_c,PFNp_c,Traced,656,124,459,41,331263439
1629093706,PFNp_e(PB01a)_R2_C9,PFNp_e,PFNp_e,Traced,350,72,244,31,204894048
1629426306,PFNp_a(PB01a)_R5_C6,PFNp_a,PFNp_a,Traced,241,72,142,36,156111033
1630462217,PFNp_b(PB01b)_L9_C9,PFNp_b,PFNp_b,Traced,99,46,54,14,105277069
1630765418,PFNp_b(PB01b)_R9_C1,PFNp_b,PFNp_b,Traced,180,33,78,9,130690698
1631131487,PFNm_a(PB02a)_R9_C1,PFNm_a,PFNm_a,Traced,674,123,415,49,288470315
1631450739,PEN_b(PB06b)_L5,PEN2,PEN_b(PEN2),Traced,1969,454,450,112,883989562
1631486122,PFNp_a(PB01a)_R2_C9,PFNp_a,PFNp_a,Traced,217,50,138,28,162685111
1631784107,,,,Orphan,8,2,8,2,672096
1631813361,,,,Assign,4,2,4,2,415112
1631813407,,,,Assign,2,2,2,2,209945
1631813821,,,,Assign,1,2,1,2,768218
1632124604,,,,Orphan,4,3,4,3,2174892
1632124703,,,,Orphan,1,5,1,5,428802
1632491335,,,,Assign,5,2,5,2,686079
1632495532,,,,Assign,6,2,6,2,669589
1632495585,,,,Orphan,3,3,3,3,195167
1632495754,,,,Assign,5,2,5,2,582916
1632836800,,,,Orphan,1,2,1,2,1247245
1660776511,PFNp_e(PB01a)_L3_C2,PFNp_e,PFNp_e,Traced,437,88,249,43,276339951
1660789784,PFNp_d(PB01a)_L8_C7,PFNp_d,PFNp_d,Traced,103,22,59,3,94494479
1661121263,PFNp_b(PB01b)_L8_C7,PFNp_b,PFNp_b,Traced,128,42,108,22,124330307
1661122416,PFNp_e(PB01a)_L5_C4,PFNp_e,PFNp_e,Traced,387,84,218,39,219305166
1661458144,PFNa(PB03)_L2_C1,PFNa,PFNa,Traced,670,139,319,52,412398787
1661458883,PFNp_c(PB01c)_L9_C9,PFNp_c,PFNp_c,Traced,333,83,215,37,174136721
1661484582,,,,Assign,1,2,1,2,223838
1661484819,,,,Assign,10,1,10,1,1973427
1661799601,PFNm_a(PB02a)_L3_C2,PFNm_a,PFNm_a,Traced,635,118,376,46,280208936
1661825048,,,,Assign,2,2,2,2,1162969
1661825800,,,,Orphan,17,7,17,7,3059200
1662166202,PFNa(PB03)_R2_C9,PFNa,PFNa,Traced,643,128,361,52,357462658
1662844351,,,,Assign,5,2,5,2,856703
1663181180,,,,Assign,4,2,4,2,280925
1663500095,,,,Orphan,4,2,4,2,693958
1663530424,,,,Orphan,1,3,1,3,217109
1663538970,,,,Assign,5,2,5,2,521889
1666561406,LAL015_R,,LAL015,Traced,2467,821,106,1,1689810440
1692173819,,,,Assign,3,2,3,2,659438
1692864308,,,,Assign,4,2,4,2,194753
1693201006,,,,Orphan,11,9,11,9,4328827
1693541998,,,,Orphan,2,3,2,3,947183
1693542854,,,,Assign,1,2,1,2,328291
1693865978,,,,Orphan,9,2,9,2,580442
1693883286,,,,Assign,6,2,6,2,855546
1694544202,,,,Orphan,11,2,11,2,1186817
1723208990,,,,Orphan,9,3,9,3,1951315
1723869231,,,,Orphan,22,1,22,1,2809510
1724214768,,,,Orphan,13,1,13,1,534277
1724240781,,,,Assign,4,2,4,2,530867
1724245220,,,,Assign,6,2,6,2,1346514
1724547094,,,,Orphan,2,2,2,2,1839453
1724551684,,,,Orphan,10,1,10,1,828367
1724551751,,,,Orphan,1,2,1,2,677895
1724581908,,,,Orphan,7,4,7,4,1278132
1724888975,,,,Orphan,24,2,24,2,2085890
1725255556,,,,Assign,6,2,6,2,1493011
1753902961,,,,Assign,10,1,10,1,829417
1753907186,,,,Orphan,7,2,7,2,1987985
1753907229,,,,Assign,1,2,1,2,358841
1754558815,,,,Orphan,9,3,9,3,1772373
1754900536,,,,Orphan,5,3,5,3,2197115
1754926334,,,,Assign,5,2,5,2,1000625
1755953801,,,,Assign,1,2,1,2,349973
1755970661,,,,Assign,3,2,3,2,426562
1756263997,,,,Orphan,8,2,2,1,529627
1756264339,,,,Orphan,4,3,4,3,530826
1756605721,,,,Orphan,7,3,4,1,1219517
1784941472,,,,Assign,1,2,1,2,709752
1784942075,,,,Orphan,3,2,3,2,585822
1785623645,,,,Assign,4,2,4,2,963618
1785964817,,,,Assign,6,2,6,2,1336673
1786306004,,,,Assign,2,2,2,2,1491085
1786306549,,,,Assign,1,2,1,2,1093587
1786634082,,,,Orphan,12,1,12,1,1785515
1786966344,,,,Orphan,2,2,2,2,814790
5812987321,PFNp_b(PB01b)_R8_C3,PFNp_b,PFNp_b,Traced,184,47,114,26,156819058
5812987327,PFNp_c(PB01c)_R8_C3,PFNp_c,PFNp_c,Traced,509,115,344,42,298644545
5812987334,PFNp_b(PB01b)_R8_C3,PFNp_b,PFNp_b,Traced,223,52,104,24,160166182
5812987339,PFNp_a(PB01a)_R8_C3,PFNp_a,PFNp_a,Traced,181,46,92,22,134167203
5812987803,PFNv(PB05)_R9_C1,PFNv,PFNv,Traced,1222,322,745,163,474139473
5812988707,PFNp_b(PB01b)_R9_C1,PFNp_b,PFNp_b,Traced,259,59,118,29,109100056
5812991545,PFNp_d(PB01a)_R4_C7,PFNp_d,PFNp_d,Traced,157,34,74,3,113834107
5812991632,PFNp_b(PB01b)_R5_C6,PFNp_b,PFNp_b,Traced,197,49,116,21,137725873
5812994148,PFNm_a(PB02a)_L9_C9,PFNm_a,PFNm_a,Traced,428,86,286,35,218173027
5812994149,PFNp_c(PB01c)_L3_C2,PFNp_c,PFNp_c,Traced,627,122,407,44,293427757
5813012311,PFNp_b(PB01b)_L6_C5,PFNp_b,PFNp_b,Traced,144,41,79,17,129936927
5813014062,PFNd(PB04)_R2_C8,,PFNd,Traced,1159,247,510,90,524009057
5813014505,PFNv(PB05)_L7_C7,PFNv,PFNv,Traced,1009,326,662,154,508396228
5813014573,PFNp_a(PB01a)_L3_C2,PFNp_a,PFNp_a,Traced,213,71,76,24,143082748
5813014859,PFNp_b(PB01b)_R6_C5,PFNp_b,PFNp_b,Traced,140,23,61,5,116924312
5813015999,PFNa(PB03)_L8_C8,PFNa,PFNa,Traced,486,128,289,46,325456392
5813016167,PFNp_b(PB01b)_R2_C9,PFNp_b,PFNp_b,Traced,152,48,89,18,60654937
5813023615,PFNp_b(PB01b)_R9_C1,PFNp_b,PFNp_b,Traced,197,44,98,10,128844580
5813026993,PFNp_a(PB01a)_R2_C9,PFNp_a,PFNp_a,Traced,133,37,83,17,153566491
5813027016,FB4Y(EB/NO1)_R,EBCREFB45,FB4Y,Traced,6508,1720,449,62,2846693400
5813031591,,,,Orphan,6,3,6,3,1755578
5813037879,PFNp_d(PB01a)_L7_C6,PFNp_d,PFNp_d,Traced,102,21,80,1,99971345
5813040300,PFNp_b(PB01b)_R7_C4,PFNp_b,PFNp_b,Traced,183,44,115,12,136684038
5813041556,PFNp_c(PB01c)_L2_C1,PFNp_c,PFNp_c,Traced,439,85,284,35,260268918
5813044670,PFNv(PB05)_L8_C7,PFNv,PFNv,Traced,853,335,584,154,481368357
5813047157,PEN_b(PB06b)_L2,PEN2,PEN_b(PEN2),Traced,1966,434,524,116,809851972
5813047453,LAL001_R,,LAL001,Traced,2867,943,16,1,1709019324
5813050000,PFNa(PB03)_R3_C8,PFNa,PFNa,Traced,939,161,394,44,445076007
5813054646,,,,Assign,10,1,10,1,1364384
5813054853,,,,Traced,1761,1410,1,1,2421300138
5813055913,FB1C(NO1/NO3)_R,LALNOmFB1,FB1C,Traced,2965,1290,449,170,1798572771
5813056012,PFNp_b(PB01b)_L7_C6,PFNp_b,PFNp_b,Traced,165,32,103,8,109796673
5813056934,PFNa(PB03)_R3_C8,PFNa,PFNa,Traced,1087,193,472,71,498402908
5813056953,PEN_a(PB06a)_R4,PEN1,PEN_a(PEN1),Traced,1497,424,436,108,766389254
5813057274,FB4Y(EB/NO1)_L,EBCREFB45,FB4Y,Traced,5089,2001,323,56,2082213746
5813057608,,,,Orphan,5,6,5,6,1847154
5813061260,OA-VPM3(NO2/NO3)_L,,OA-VPM3,Traced,5122,4069,144,95,3486100136
5813062858,FB1H(NO2/3)_R,CRENO23FB1-4,FB1H,Traced,9598,3733,770,331,3621432113
5813070464,PFNp_b(PB01b)_R6_C5,PFNp_b,PFNp_b,Traced,181,57,114,29,165182721
5813070465,PEN_b(PB06b)_L3,PEN2,PEN_b(PEN2),Traced,2254,425,499,101,904493834
5813077698,PFNp_b(PB01b)_L7_C6,PFNp_b,PFNp_b,Traced,125,47,68,11,126224096
5813078368,,,,Orphan,5,3,5,3,1357450
5813080979,PEN_a(PB06a)_L5,PEN1,PEN_a(PEN1),Traced,1655,544,451,105,931602278
5813081686,PFNa(PB03)_L8_C7,PFNa,PFNa,Traced,510,121,304,44,284299919
5813095667,PFNm_a(PB02a)_L8_C7,PFNm_a,PFNm_a,Traced,499,117,325,47,217483754
5813105884,,,,Orphan,1,2,1,2,746039
5813122799,PFNp_b(PB01b)_L6_C5,PFNp_b,PFNp_b,Traced,115,24,58,5,101041151
5813123911,,,,Orphan,3,3,3,3,1096063
5813127522,PFNp_d(PB01a)_L9_C8,PFNp_d,PFNp_d,Traced,141,38,71,4,100805069
5813127525,PFNp_b(PB01b)_L5_C4,PFNp_b,PFNp_b,Traced,198,61,108,27,163818262
5813127581,PFNp_a(PB01a)_L8_C7,PFNp_a,PFNp_a,Traced,130,53,86,24,64677170
5813128200,,,,Orphan,4,2,4,2,819498
5813128240,PFNp_b(PB01b)_L5_C4,PFNp_b,PFNp_b,Traced,168,42,110,18,128117994
5813128308,PFNp_a(PB01a)_L7_C6,PFNp_a,PFNp_a,Traced,310,71,107,27,187284000
5813128416,PFNp_b(PB01b)_L6_C5_irreg,PFNp_b,PFNp_b,Traced,188,44,93,17,134233317
5813128537,PFNm_b(PB02b)_L6_C5,PFNm_b,PFNm_b,Traced,326,82,187,37,187604491
5813128638,,,,Unimportant,3,2,3,2,449490
5813128690,,,,Assign,6,2,6,2,441215
5813130241,,,,Orphan,2,2,2,2,310187
5813131082,,,,Orphan,3,2,3,2,1113118
5901201089,,,,Assign,3,2,3,2,1081783
5901205179,,,,Assign,2,2,2,2,829933
5901219912,,,,Assign,4,2,4,2,1062155
