id,instance,notes,type,status,inputs (#post),outputs (#pre),NO #post,NO #pre,#voxels
909877092,PFNd(PB04)_L7_C6,,PFNd,Traced,1160,278,646,108,552082947
910447075,PEN_a(PB06a)_R5,PEN1,PEN_a(PEN1),Traced,1847,575,462,103,1015212407
910447220,PFNd(PB04)_R5_C5,,PFNd,Traced,1405,282,550,97,658312304
910473088,PFNp_b(PB01b)_R5_C6,PFNp_b,PFNp_b,Traced,194,61,127,34,154340514
910878587,PFNp_a(PB01a)_L5_C4,PFNp_a,PFNp_a,Traced,176,50,100,23,136279137
911215499,PFNp_c(PB01c)_L4_C3,PFNp_c,PFNp_c,Traced,403,78,239,31,219384807
911219981,PFNp_d(PB01a)_L4_C3,PFNp_d,PFNp_d,Traced,138,24,63,3,106419834
911220325,PFNp_d(PB01a)_L4_C3,PFNp_d,PFNp_d,Traced,112,19,72,5,54851035
911220331,PFNp_b(PB01b)_L4_C3,PFNp_b,PFNp_b,Traced,163,46,82,21,143137002
911500529,PFNp_c(PB01c)_R2_C9,PFNp_c,PFNp_c,Traced,342,71,228,31,201548057
911504643,PFNd(PB04)_R2_C8,,PFNd,Traced,1031,227,440,79,478031684
911504689,PFNv(PB05)_R3_C8,PFNv,PFNv,Traced,1576,330,817,188,526575662
911560974,PFNd(PB04)_L4_C3,PFNd,PFNd,Traced,1076,185,378,76,469089516
911823931,PFNp_a(PB01a)_R4_C7,PFNp_a,PFNp_a,Traced,136,39,78,17,127899766
911897818,PFNv(PB05)_L4_C3,PFNv,PFNv,Traced,957,214,393,103,419349386
911897964,PFNv(PB05)_L4_C3,PFNv,PFNv,Traced,824,190,367,94,382389771
912238927,PFNp_e(PB01a)_L4_C3,PFNp_e,PFNp_e,Traced,313,68,153,28,187390993
912558136,PFNp_b(PB01b)_L2_C1,PFNp_b,PFNp_b,Traced,132,38,81,15,109033536
912894972,PFNp_a(PB01a)_L2_C1,PFNp_a,PFNp_a,Traced,223,54,114,22,74353202
912894991,PFNv(PB05)_L3_C2,PFNv,PFNv,Traced,1524,325,628,120,631785776
912898873,PFNp_d(PB01a)_L2_C1,PFNp_d,PFNp_d,Traced,124,16,53,1,95689834
913235746,PFNp_e(PB01a)_L2_C1,PFNp_e,PFNp_e,Traced,316,72,181,40,209241742
916974420,PFNa(PB03)_L6_C5,PFNa,PFNa,Traced,475,96,278,37,262883335
940791092,PFNp_b(PB01b)_R6_C5,PFNp_b,PFNp_b,Traced,172,37,70,11,119275043
940791093,PFNp_b(PB01b)_R6_C5,PFNp_b,PFNp_b,Traced,207,42,100,13,124953130
940791115,PFNp_b(PB01b)_R6_C5,PFNp_b,PFNp_b,Traced,179,52,87,21,146076844
940791123,PFNp_b(PB01b)_R6_C5,PFNp_b,PFNp_b,Traced,178,39,98,17,135021179
940791383,PFNd(PB04)_R6_C4,PFNd,PFNd,Traced,991,183,354,64,408413149
940808800,PFNp_e(PB01a)_R7_C4,PFNp_e,PFNp_e,Traced,380,84,226,41,237152945
941123755,PEN_b(PB06b)_R6,PEN2,PEN_b(PEN2),Traced,1592,330,252,77,658115021
941132270,PFNa(PB03)_R6_C5,PFNa,PFNa,Traced,560,112,227,42,333056544
941244280,PFNa(PB03)_L7_C6,PFNa,PFNa,Traced,530,135,359,61,348045050
942172462,PFNp_b(PB01b)_R4_C7,PFNp_b,PFNp_b,Traced,180,34,112,13,121738737
942254492,PFNp_e(PB01a)_L4_C3,PFNp_e,PFNp_e,Traced,212,56,112,21,169830327
942254554,PFNa(PB03)_L4_C3,PFNa,PFNa,Traced,530,86,244,35,276831339
942535218,PFNp_b(PB01b)_R3_C8,PFNp_b,PFNp_b,Traced,240,45,99,15,127512872
943226223,PFNp_b(PB01b)_R3_C8,PFNp_b,PFNp_b,Traced,288,67,148,30,189657430
943592738,PFNp_b(PB01b)_L2_C1,PFNp_b,PFNp_b,Traced,213,50,103,21,139934401
943592989,PFNp_b(PB01b)_L2_C1,PFNp_b,PFNp_b,Traced,142,33,77,7,115633533
943921248,PFNa(PB03)_L2_C1,PFNa,PFNa,Traced,645,147,332,58,379312942
971506655,PFNa(PB03)_R7_C4,PFNa,PFNa,Traced,864,188,435,74,481997001
971817401,PFNp_a(PB01a)_R6_C5,PFNp_a,PFNp_a,Traced,159,35,83,18,122675710
971817711,PFNv(PB05)_R7_C3,PFNv,PFNv,Traced,1415,342,799,172,589230506
972624772,PFNm_a(PB02a)_L7_C6,PFNm_a,PFNm_a,Traced,642,126,452,58,293734760
972871918,PFNa(PB03)_R4_C7,PFNa,PFNa,Traced,561,102,279,39,303243486
972892437,PEN_a(PB06a)_R2,PEN1,PEN_a(PEN1),Traced,1676,513,462,106,848941665
973566036,PEN_b(PB06b)_R3,PEN2,PEN_b(PEN2),Traced,2101,410,317,87,832431327
974627674,PFNd(PB04)_L2_C1,PFNd,PFNd,Traced,1139,250,449,87,513924971
974968796,PFNm_a(PB02a)_L2_C1,PFNm_a,PFNm_a,Traced,548,115,341,49,279350363
1002507131,PEN_a(PB06a)_R7,PEN1,PEN_a(PEN1),Traced,1917,612,560,148,1065119131
1002848124,PFNd(PB04)_R7_C3,PFNd,PFNd,Traced,1443,299,542,89,682555606
1003318634,PFNd(PB04)_L7_C6,,PFNd,Traced,1336,307,624,110,637846497
