id,instance,notes,type,status,inputs (#post),outputs (#pre),aL(L) #post,aL(L) #pre,bL(L) #post,bL(L) #pre,#voxels
424767514,MBON11(y1pedc>a/B)_R,,MBON11,Traced,27642,1646,27,8,248,35,5265462913
425276848,DPM_L,,DPM,Traced,30007,7088,1,,5333,1048,6483095365
517518166,MBON11(y1pedc>a/B)(ADM05)_L,,MBON11,Traced,1160,1378,131,51,239,48,1964048244
1015622418,,,,Traced,809,407,3,2,,2,235779801
1328522741,PAM10(B1)_L,,PAM10,Traced,1027,321,1,,218,67,355086914
5813061512,MBON06(B1>a)_R,,MBON06,Traced,12107,496,289,106,11148,221,2038784377
