id,instance,notes,type,status,inputs (#post),outputs (#pre),aL(R) #post,aL(R) #pre,a'L(L) #post,a'L(L) #pre,#voxels
331662710,PPL106(a3)_R,,PPL106,Traced,9962,1814,4477,1042,,2,2855596370
424767514,MBON11(y1pedc>a/B)_R,,MBON11,Traced,27642,1646,651,177,1,2,5265462913
517514142,PPL104(a'3)_R,,PPL104,Traced,5012,1563,17,7,82,36,1948744287
517518166,MBON11(y1pedc>a/B)(ADM05)_L,,MBON11,Traced,1160,1378,119,30,3,2,1964048244
642516892,PPL105(a'2a2)(PDL05)_L,,PPL105,Traced,4363,1434,2497,816,372,121,1095641228
5813019513,PPL105(a'2a2)_R,,PPL105,Traced,7639,1726,2662,731,82,32,2064191600
5813019607,PPL106(a3)(PDL05)_L,,PPL106,Traced,6476,1564,3696,923,3,4,1814973075
5813019976,PPL104(a'3)(PDL05)_L,,PPL104,Traced,2138,770,3,1,30,15,869209965
