id,instance,notes,type,status,inputs (#post),outputs (#pre),a'L(R) #post,a'L(R) #pre,aL(L) #post,aL(L) #pre,#voxels
331662710,PPL106(a3)_R,,PPL106,Traced,9962,1814,15,3,2375,468,2855596370
424767514,MBON11(y1pedc>a/B)_R,,MBON11,Traced,27642,1646,33,31,27,8,5265462913
457196444,MBON18(a2sc)(PDL05)_L,,MBON18,Traced,2723,522,5,,2274,53,848699136
517518166,MBON11(y1pedc>a/B)(ADM05)_L,,MBON11,Traced,1160,1378,14,20,131,51,1964048244
642516892,PPL105(a'2a2)(PDL05)_L,,PPL105,Traced,4363,1434,693,291,438,96,1095641228
5813019513,PPL105(a'2a2)_R,,PPL105,Traced,7639,1726,1956,640,565,115,2064191600
5813019607,PPL106(a3)(PDL05)_L,,PPL106,Traced,6476,1564,3,5,2070,464,1814973075
5813019976,PPL104(a'3)(PDL05)_L,,PPL104,Traced,2138,770,785,344,3,1,869209965
