id,instance,notes,type,status,inputs (#post),outputs (#pre),a'L(R) #post,a'L(R) #pre,bL(R) #post,bL(R) #pre,#voxels
817299301,KCa'b'-m_R,,KCa'b'-m,Traced,577,227,161,69,12,5,436705876
847293869,KCab-s_R,,KCab-s,Traced,577,243,4,1,186,102,297735426
848666776,KCab-m_R,,KCab-m,Traced,587,233,1,,155,66,299380743
861280857,KCab-p_R,,KCab-p,Traced,664,252,1,,202,84,381165541
861285145,KCab-p_R,,KCab-p,Traced,735,266,6,2,215,83,376842335
861630613,KCa'b'-m_R,,KCa'b'-m,Traced,662,275,191,98,3,3,433072770
877659583,KCab-m_R,,KCab-m,Traced,509,214,1,1,120,65,266281376
878337317,KCab-m_R,,KCab-m,Traced,579,205,2,,163,67,295111316
878652627,KCa'b'-m_R,,KCa'b'-m,Traced,690,252,160,79,1,1,347955774
893347461,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,630,261,167,104,3,1,446443832
923700162,KCa'b'-m_R,,KCa'b'-m,Traced,660,241,189,88,8,2,409554421
939729237,KCab-s_R,,KCab-s,Traced,651,245,2,1,172,83,324312813
940075056,KCab-p_R,,KCab-p,Traced,726,259,11,1,228,86,361940760
1016805008,KCab-p_R,,KCab-p,Traced,703,242,2,,228,80,378892564
1034198388,KCab-p_R,,KCab-p,Traced,733,260,6,,219,79,361965654
1064891781,KCab-p_R,,KCab-p,Traced,741,271,6,1,178,79,389121740
1078874826,KCab-p_R,,KCab-p,Traced,586,221,1,,215,75,360621538
1110972158,PAM10(B1)_R,,PAM10,Traced,2803,504,6,,1243,291,720192159
1201032707,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,604,239,116,62,,1,404305308
1203709763,KCa'b'-m_R,,KCa'b'-m,Traced,512,234,162,92,2,1,411264180
1261989183,KCab-s_R,,KCab-s,Traced,617,232,1,1,172,85,230223045
1327831724,KCa'b'-m_R,,KCa'b'-m,Traced,630,233,121,63,12,4,429239588
1359553384,KCab-s_R,,KCab-s,Traced,599,259,1,2,167,91,330140818
1515418525,KCa'b'-m_R,,KCa'b'-m,Traced,556,205,117,55,14,8,407157814
5812980209,KCab-m_R,,KCab-m,Traced,544,211,2,1,174,73,263690557
5812980624,KCab-m_R,,KCab-m,Traced,588,205,1,,165,61,284274933
5812980811,KCab-s_R,,KCab-s,Traced,540,213,1,,137,71,295334622
5812980931,KCab-s_R,,KCab-s,Traced,673,279,3,3,208,109,312733936
5812980938,KCab-p_R,,KCab-p,Traced,693,270,1,,231,95,399456127
5812980940,KCab-p_R,,KCab-p,Traced,655,260,1,1,179,77,352333297
5812981071,KCa'b'-m_R,,KCa'b'-m,Traced,672,225,180,86,7,1,385557469
5812981275,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,607,259,215,126,3,1,487373247
5812981308,KCa'b'-m_R,,KCa'b'-m,Traced,571,190,155,69,17,5,390005539
5812981340,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,636,258,97,49,2,1,446538834
5812981379,KCab-s_R,,KCab-s,Traced,570,236,1,1,161,89,300101280
5812981381,PPL102(y1)(PDL05)_L,,PPL102,Traced,9198,2830,2,,,2,3349981626
5812981563,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,661,224,132,66,,1,453767469
5812981673,KCab-s_R,,KCab-s,Traced,594,236,2,1,168,93,319135563
5812981796,KCa'b'-m_R,,KCa'b'-m,Traced,665,226,172,72,4,1,478708280
5812981816,KCa'b'-m_R,,KCa'b'-m,Traced,620,214,139,64,4,1,402147766
5812981944,KCab-s_R,,KCab-s,Traced,550,251,1,,166,91,311706172
5812981960,KCa'b'-m_R,,KCa'b'-m,Traced,721,226,196,71,3,1,331043517
5812981978,KCa'b'-m_R,,KCa'b'-m,Traced,574,237,162,85,5,1,405213419
5812982086,KCa'b'-m_R,,KCa'b'-m,Traced,649,253,168,80,5,2,425938168
5812982329,KCa'b'-m_R,,KCa'b'-m,Traced,677,234,181,72,7,3,365482537
5812982397,KCa'b'-m_R,,KCa'b'-m,Traced,603,223,144,58,8,4,419710605
5812982514,KCab-s_R,,KCab-s,Traced,589,237,1,1,155,62,363758686
5812982706,KCa'b'-m_R,,KCa'b'-m,Traced,672,231,168,67,13,4,418473741
5812982725,KCa'b'-m_R,,KCa'b'-m,Traced,635,230,169,85,6,1,409899062
5812982780,KCab-p_R,,KCab-p,Traced,700,235,12,1,225,78,384605451
5812982782,KCab-p_R,,KCab-p,Traced,677,228,5,,190,66,389662255
5812983114,KCab-s_R,,KCab-s,Traced,573,208,2,,163,83,306169257
5812983174,KCa'b'-m_R,,KCa'b'-m,Traced,681,235,141,73,12,6,386511183
5812983345,KCab-m_R,,KCab-m,Traced,561,213,1,,137,66,262203729
5813010617,KCab-p_R,,KCab-p,Traced,675,277,7,2,219,90,391055197
5813019609,KCab-s_R,,KCab-s,Traced,620,266,3,2,187,102,318658265
5813020274,KCab-m_R,,KCab-m,Traced,561,219,1,1,125,64,266628780
5813021033,KCab-p_R,,KCab-p,Traced,804,252,4,2,284,97,410859481
5813021301,KCab-s_R,,KCab-s,Traced,565,224,2,1,140,68,323412120
5813021788,KCab-p_R,,KCab-p,Traced,713,247,2,1,261,95,417804388
5813021799,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,703,254,194,100,1,1,454399393
5813021809,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,663,276,174,91,,3,467946092
5813022234,MBON30(y1y2y3)_R,,MBON30,Traced,13786,1430,52,1,3,3,2864745122
5813032900,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,692,249,201,95,,1,435011106
5813032943,KCab-p_R,,KCab-p,Traced,734,252,8,2,263,78,339903729
5813047221,KCa'b'-m_R,,KCa'b'-m,Traced,631,224,148,59,18,4,437993906
5813049834,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,516,228,123,66,,1,420504766
5813055914,KCab-s_R,,KCab-s,Traced,650,235,3,2,162,72,322349102
5813057187,KCab-s_R,,KCab-s,Traced,610,239,5,1,164,85,318293689
5813060643,KCab-p_R,,KCab-p,Traced,681,264,1,1,243,87,369871738
5813060774,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,685,266,230,108,6,2,436369804
5813063140,KCa'b'-m_R,,KCa'b'-m,Traced,581,199,125,55,7,1,391939830
5813067858,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,593,225,130,76,4,3,440340877
5813077589,KCab-p_R,,KCab-p,Traced,726,262,2,1,240,85,394045820
5813078499,KCa'b'-m_R,,KCa'b'-m,Traced,634,218,195,93,8,3,373028028
5813091744,KCab-p_R,,KCab-p,Traced,635,285,3,1,174,77,392247819
5813092931,KCab-p_R,,KCab-p,Traced,767,244,10,5,259,82,375350336
5813105172,DPM_R,,DPM,Traced,77269,17628,9585,2307,8630,1738,15191654896
5813114700,KCab-p_R,,KCab-p,Traced,746,234,7,4,261,80,347875742
5813114971,KCab-p_R,,KCab-p,Traced,653,258,35,13,186,79,368295685
5901205770,KCab-s_R,,KCab-s,Traced,586,238,1,1,175,76,309316800
