id,instance,notes,type,status,inputs (#post),outputs (#pre),aL(R) #post,aL(R) #pre,NO #post,NO #pre,#voxels
329566174,OA-VPM3(NO2/NO3)_R,,OA-VPM3,Traced,10075,8632,18,17,300,198,6917059458
1666561406,LAL015_R,,LAL015,Traced,2467,821,1,,106,1,1689810440
5813062858,FB1H(NO2/3)_R,CRENO23FB1-4,FB1H,Traced,9598,3733,4,,770,331,3621432113
