id,instance,notes,type,status,inputs (#post),outputs (#pre),gL(R) #post,gL(R) #pre,LAL(L) #post,LAL(L) #pre,#voxels
1015484487,,,,Traced,623,710,1,2,30,18,523595977
1016506999,LAL198_R,,LAL198,Traced,2427,780,23,1,1,8,1609357758
1017880794,,,,Traced,269,499,41,,9,38,582186870
1048172314,PPL103(y2a'1)(PDL05)_L,,PPL103,Traced,12116,3488,5046,2005,79,2,4211579375
1048250312,LAL155_R,,LAL155,Traced,2385,591,2,,26,46,1317529596
1049247113,LAL160_R,CL-LC(c),LAL160,Traced,2653,450,3,1,409,260,959950008
1081957306,CRE041_R,CL-L(c)2,CRE041,Traced,9609,533,14,,255,287,2917394941
1111757266,LAL155(PVM03)_L,,LAL155,Traced,1444,567,10,1,526,56,1054960124
1112443807,LAL129(PDM13)_L,,LAL129,Traced,2988,1085,10,,1426,252,1382344571
1138579549,LAL040_R,VeLC-LVe(c),LAL040,Traced,9571,916,8,5,223,260,3708849906
1167304403,ER4d(ring)_R,,ER4d,Traced,2039,552,1,,1,2,1166760517
1170352367,LAL008_R,,LAL008,Traced,1897,388,2,,312,195,1094926658
1170935308,AOTU004_R,,AOTU004,Traced,440,189,1,,69,108,370783828
1171785552,PAM13(B'1ap)_L,,PAM13,Traced,662,221,2,,31,1,282949058
1172796014,PAM08_a(y4)_L,,PAM08_a,Traced,825,209,160,48,,1,259656990
1173814525,MBON34(y2)_L,,MBON34,Traced,933,204,294,12,6,9,547627159
1252966452,LAL199(PVM14)_L,,LAL199,Traced,434,418,2,,52,124,622234921
1300276335,LAL159_R,VeLC-L(c),LAL159,Traced,6693,950,113,,213,399,2323036998
1352077058,DSKMP1B_R,,DSKMP1B,Traced,2983,560,7,16,5,9,5492683352
1418618235,SIFa(PDM34),,SIFa,Traced,1592,935,77,35,,1,6190229391
1465630554,LAL161_R,CL-L(c)1,LAL161,Traced,2216,269,7,1,87,62,911168646
1504207129,LAL199_R,,LAL199,Traced,458,471,1,,32,46,987660334
1629383757,Ascending?,,,Traced,5797,1631,1,1,29,25,3262430111
1633411858,LAL085_R,,LAL085,Traced,852,9,1,,3,7,566210396
1817712927,SMP148_R,,SMP148,Traced,5243,358,16,,228,328,1602010559
1914460817,VES079_R,,VES079,Traced,1323,550,1,,12,9,1108172940
5812981381,PPL102(y1)(PDL05)_L,,PPL102,Traced,9198,2830,1851,299,17,1,3349981626
5812981791,PPL108(PDL05)_L,,PPL108,Traced,5321,2389,1,,777,576,2164861052
5812982125,CRE032_R,,CRE032,Traced,600,223,14,8,1,8,547536751
5812983110,CL326(PVM03)_L,,CL326,Traced,518,408,2,,2,2,781063806
5812983831,AVLP562_R,,AVLP562,Traced,5984,1288,9,1,92,115,3369272816
5813009620,SMP109_R,,SMP109,Traced,6129,1399,1,,12,22,2742026328
5813011074,LAL007(ADM01)_L,,LAL007,Traced,679,633,1,,257,75,1535044331
5813022199,CRE029_a_R,,CRE029_a,Traced,1027,313,9,16,2,4,775964720
5813022341,MBON02(B2B'2a)_L,,MBON02,Traced,17937,99,14,,6,1,3410455915
5813022419,CRE038_R,,CRE038,Traced,275,132,19,3,6,6,360831607
5813022759,CRE059_R,,CRE059,Traced,1452,568,3,,56,45,1127295229
5813022896,MBON21(y4y5)_R,,MBON21,Traced,12515,1168,10458,28,19,57,3288021127
5813022976,CL265(PVL06)_L,pIP6 candidates,CL265,Traced,332,470,9,,9,14,903566720
5813032485,,,,Traced,237,381,2,,69,137,405363154
5813033000,MBON34(y2)_R,,MBON34,Traced,604,202,13,1,16,30,485802384
5813033033,CRE031_L,,CRE031,Traced,1260,220,131,3,58,45,766024070
5813040205,MBON30(y1y2y3)(AVM07)_L,,MBON30,Traced,5829,1215,162,27,80,40,1631233720
5813057461,AVLP563(PVL15)_L,,AVLP563,Traced,1138,890,16,1,3,15,1021556858
5813058050,PPL102(y1)_R,,PPL102,Traced,8002,2059,23,4,59,38,3343482793
5813058319,CRE012_R,,CRE012,Traced,4120,938,17,1,277,268,2243348099
5813058320,CRE005_R,,CRE005,Traced,1881,887,12,,36,65,1495874790
5813061260,OA-VPM3(NO2/NO3)_L,,OA-VPM3,Traced,5122,4069,84,55,14,8,3486100136
5813062838,CRE022_L,,CRE022,Traced,5859,1060,37,,204,151,2547121426
5813068769,CRE004_R,,CRE004,Traced,4808,1432,53,1,153,126,4486456977
5813080769,CRE031_R,,CRE031,Traced,720,230,10,,23,23,681827294
5813082175,PAM12(y3)_L,,PAM12,Traced,694,134,101,24,31,1,167259973
5813083779,CRE022_R,,CRE022,Traced,8464,1155,370,3,142,136,2658194530
5813083780,SMP385_R,,SMP385,Traced,6235,2678,3,,203,135,2659884367
5813105778,LAL100(AVM14)_L,,LAL100,Traced,971,815,25,4,72,60,799850664
5813117385,MBON27(y5d)_R,,MBON27,Traced,8021,668,4012,8,332,313,1674077310
5813123042,CRE039_R,,CRE039,Traced,614,176,1,,76,3,498065951
5901213440,CRE011_R,,CRE011,Traced,19674,2149,193,8,35,85,5844952800
7112622044,LAL137(PVL05)_L,VeLC-(LC)(c)Sm(b),LAL137,Traced,2087,1376,1,,709,96,1529252938
