id,instance,notes,type,status,inputs (#post),outputs (#pre),gL(L) #post,gL(L) #pre,LAL(R) #post,LAL(R) #pre,#voxels
1015570297,CRE059(AVM13)_L,,CRE059,Traced,667,563,6,,66,37,593637995
1016166622,CRE067_R,,CRE067,Traced,1039,396,43,15,147,3,735317516
1016506999,LAL198_R,,LAL198,Traced,2427,780,39,,1858,58,1609357758
1047676850,CRE008(ADM02)_L,,CRE008,Traced,557,259,16,2,57,16,552011293
1047887562,CRE068_R,,CRE068,Traced,594,325,31,11,238,15,562548941
1048250312,LAL155_R,,LAL155,Traced,2385,591,2,1,1485,104,1317529596
1078693835,MBON09(y3B'1)_R,,MBON09,Traced,23111,1297,47,1,1,1,2791162363
1110640084,CRE067_R,,CRE067,Traced,1342,370,25,11,311,5,763267727
1112436285,,,,Traced,376,677,1,,6,18,490334249
1141687128,PAM07(y4<y1y2)_R,,PAM07,Traced,1417,168,67,24,45,2,394678553
1143167974,SMP370(PDM08)_L,,SMP370,Traced,301,467,3,1,99,129,606324377
1144761556,LAL129_R,,LAL129,Traced,4068,1156,15,,1836,242,1629782018
1173045815,PAM12(y3)_R,,PAM12,Traced,1080,172,132,38,62,1,396639821
1173814525,MBON34(y2)_L,,MBON34,Traced,933,204,13,1,22,4,547627159
1202677966,,,,Traced,112,224,3,,59,110,300144230
1202704262,CRE037_R,,CRE037,Traced,249,131,1,,8,9,411785071
1204391417,PAM13(B'1ap)_R,,PAM13,Traced,1004,243,10,1,27,3,366409907
1252966452,LAL199(PVM14)_L,,LAL199,Traced,434,418,3,,57,89,622234921
1352077058,DSKMP1B_R,,DSKMP1B,Traced,2983,560,10,19,6,11,5492683352
1386512867,MBON05(y4>y1y2)_R,,MBON05,Traced,20098,1073,19394,483,20,4,3823216871
1418618235,SIFa(PDM34),,SIFa,Traced,1592,935,19,7,3,2,6190229391
1450016008,AVLP562(PVL15)_L,,AVLP562,Traced,1058,1169,1,,80,68,1538240069
1504207129,LAL199_R,,LAL199,Traced,458,471,4,,148,293,987660334
1543138040,LAL042(ADM10)_L,,LAL042,Traced,1706,670,17,,890,536,985951206
1576815601,LAL177(PVM03)_L,,LAL177,Traced,857,445,4,,588,405,538993825
1600489166,LAL160(PVM03)_L,CL-LC(c),LAL160,Traced,2056,863,7,,1130,692,1046665841
1605181883,LAL008(ADM02)_L,,LAL008,Traced,1754,717,8,,923,576,1138502686
1605518663,AOTU019(ADM10)_L,AoSiLVe-LVeSpIp(c),AOTU019,Traced,3228,2111,16,7,160,771,6781032290
1605842920,LAL159(PVM03)_L,VeLC-L(c),LAL159,Traced,3109,1107,67,,423,736,1843324783
1637512099,LAL176(PVM03)_L,,LAL176,Traced,928,454,3,,626,432,830466507
1669255212,LAL161(PVM03)_L,CL-L(c)1,LAL161,Traced,2086,865,8,,1041,662,867144227
5812980743,SMP151(ADM10)_L,,SMP151,Traced,331,572,9,2,19,24,654233320
5812981381,PPL102(y1)(PDL05)_L,,PPL102,Traced,9198,2830,38,2,86,42,3349981626
5812981791,PPL108(PDL05)_L,,PPL108,Traced,5321,2389,15,2,753,671,2164861052
5812982125,CRE032_R,,CRE032,Traced,600,223,74,4,1,6,547536751
5812983831,AVLP562_R,,AVLP562,Traced,5984,1288,1,1,71,113,3369272816
5813011074,LAL007(ADM01)_L,,LAL007,Traced,679,633,5,,38,118,1535044331
5813020996,SMP384(PDM09)_L,,SMP384,Traced,4802,2862,3,8,1,2,2685199565
5813022163,SMP148(ADM10)_L,,SMP148,Traced,2308,543,30,1,418,477,1378985998
5813022234,MBON30(y1y2y3)_R,,MBON30,Traced,13786,1430,351,92,75,13,2864745122
5813022257,CL303_R,,CL303,Traced,3911,1278,7,,138,134,3010762247
5813022419,CRE038_R,,CRE038,Traced,275,132,8,,6,7,360831607
5813022759,CRE059_R,,CRE059,Traced,1452,568,1,,273,24,1127295229
5813022896,MBON21(y4y5)_R,,MBON21,Traced,12515,1168,82,18,83,70,3288021127
5813022976,CL265(PVL06)_L,pIP6 candidates,CL265,Traced,332,470,21,3,23,32,903566720
5813033033,CRE031_L,,CRE031,Traced,1260,220,7,,34,14,766024070
5813058048,MBON29(y4y5)_R,,MBON29,Traced,8512,761,443,21,47,2,2345461437
5813061260,OA-VPM3(NO2/NO3)_L,,OA-VPM3,Traced,5122,4069,211,143,1,7,3486100136
5813061538,MBON27(y5d)(PVM03)_L,,MBON27,Traced,5898,795,3315,4,572,486,1596324019
5813062838,CRE022_L,,CRE022,Traced,5859,1060,172,,154,140,2547121426
5813063137,SMP577(PVL06)_L,,SMP577,Traced,1468,778,22,,10,9,1253278210
5813068769,CRE004_R,,CRE004,Traced,4808,1432,1,,749,161,4486456977
5813069497,SMP254_R,,SMP254,Traced,2270,1002,1,,454,20,1927416274
5813080769,CRE031_R,,CRE031,Traced,720,230,5,,18,23,681827294
5813083779,CRE022_R,,CRE022,Traced,8464,1155,21,,85,78,2658194530
5813083780,SMP385_R,,SMP385,Traced,6235,2678,4,,19,1,2659884367
5813088921,LAL175(PVM03)_L,,LAL175,Traced,1111,551,1,,725,462,807022585
5813105778,LAL100(AVM14)_L,,LAL100,Traced,971,815,2,,66,62,799850664
