id,instance,notes,type,status,inputs (#post),outputs (#pre),bL(R) #post,bL(R) #pre,bL(L) #post,bL(L) #pre,#voxels
693927941,ALIN1_R,,ALIN1,Traced,1553,406,138,37,147,37,2113783525
707647321,PAM04_a(B2)_L,,PAM04_a,Traced,650,142,256,59,364,75,188620262
707660374,PAM04_a(B2)_L,,PAM04_a,Traced,1650,313,624,125,997,184,311089027
735282133,PAM09(B1ped)_L,,PAM09,Traced,832,224,291,108,97,35,357006298
767494105,KCab-p_R,,KCab-p,Traced,633,218,157,56,57,26,365582357
800264315,PAM04_a(B2)_R,,PAM04_a,Traced,1548,268,849,182,379,73,456132824
800743420,PAM04_a(B2)_L,,PAM04_a,Traced,546,156,191,55,303,82,135248805
858725815,PAM03(B2B'2a)_L,,PAM03,Traced,445,109,107,36,141,30,159577026
893158121,PAM04_a(B2)_L,,PAM04_a,Traced,220,59,134,35,37,9,104991789
923726321,PAM04_a(B2)_R,,PAM04_a,Traced,2114,345,1055,205,776,135,486729507
1016805008,KCab-p_R,,KCab-p,Traced,703,242,228,80,81,37,378892564
1016835041,MBON09(y3B'1)(AVM17)_L,,MBON09,Traced,20281,1291,1,,84,2,2083130629
1047183897,PAM04_a(B2)_R,,PAM04_a,Traced,3253,456,1616,276,1163,173,656674162
1047489962,PAM11(a1)_L,,PAM11,Traced,658,200,9,4,2,1,327454873
1048004460,PAM09(B1ped)_L,,PAM09,Traced,743,225,220,79,465,136,233922701
1048207713,PAM09(B1ped)_R,,PAM09,Traced,938,203,451,131,230,61,430816435
1077847238,PAM11(a1)_R,,PAM11,Traced,1325,226,17,4,,2,551823489
1078007730,PAM04_a(B2)_L,,PAM04_a,Traced,2210,396,953,186,1226,206,367958807
1078572735,PAM04_a(B2)_R,,PAM04_a,Traced,338,71,155,42,98,24,135784276
1079707882,PAM04_a(B2)_L,,PAM04_a,Traced,289,75,133,41,94,24,96768615
1109568718,PAM11(a1)_L,,PAM11,Traced,706,219,9,2,5,1,339562986
1110972158,PAM10(B1)_R,,PAM10,Traced,2803,504,1243,291,812,203,720192159
1140750808,PAM04_a(B2)_L,,PAM04_a,Traced,1220,221,458,92,728,126,258964557
1140996390,PAM04_a(B2)_R,,PAM04_a,Traced,2268,365,1273,219,647,130,498035936
1141328881,PAM04_a(B2)_R,,PAM04_a,Traced,1492,265,695,173,391,77,474678964
1141329053,PAM04_a(B2)_R,,PAM04_a,Traced,1824,278,847,155,598,114,408798680
1198931241,ER4d(ring)_R,,ER4d,Traced,2230,596,1,,2,1,1174302319
1203066222,PAM04_a(B2)_R,,PAM04_a,Traced,2490,381,1307,236,743,137,515766690
1203066401,PAM04_a(B2)_R,,PAM04_a,Traced,2309,357,1230,239,690,113,444720536
1231299343,PAM11(a1)_R,,PAM11,Traced,1895,315,52,9,2,2,659070629
1233436426,PAM03(B2B'2a)_R,,PAM03,Traced,703,144,241,53,180,59,239327987
1263832477,PAM03(B2B'2a)_L,,PAM03,Traced,571,107,176,42,239,47,145351462
1293524890,KCa'B'_L?,,,Traced,248,95,1,,2,1,101623491
1295225451,PAM04_b(B2)(ADM02)_L,,PAM04_b,Traced,545,134,67,16,184,48,225739136
1297815807,PAM10(B1)_L,,PAM10,Traced,1604,427,1015,286,535,136,472380184
1328513713,PAM10(B1)_L,,PAM10,Traced,1522,456,955,290,502,146,513933742
1328522741,PAM10(B1)_L,,PAM10,Traced,1027,321,765,239,218,67,355086914
1387583729,PAM03(B2B'2a)_L,,PAM03,Traced,338,90,109,36,175,48,119268985
1387583807,PAM03(B2B'2a)_R,,PAM03,Traced,538,121,107,35,228,59,193662875
1418351262,PAM04_a(B2)_R,,PAM04_a,Traced,555,137,183,65,226,61,239134628
1418618235,SIFa(PDM34),,SIFa,Traced,1592,935,48,28,88,29,6190229391
1419019956,PAM04_a(B2)_R,,PAM04_a,Traced,1655,255,828,157,570,92,383407340
5812980567,PAM09(B1ped)_R,,PAM09,Traced,1252,241,142,53,55,30,431109241
5812983418,PAM04_a(B2)_L,,PAM04_a,Traced,712,153,257,61,422,83,200836501
5812983533,PAM11(a1)_R,,PAM11,Traced,1022,216,1,1,2,4,502377982
5812989588,PAM03(B2B'2a)_R,,PAM03,Traced,373,91,105,32,70,11,151824685
5812996052,,,,Traced,609,368,102,36,197,63,688274394
5813022341,MBON02(B2B'2a)_L,,MBON02,Traced,17937,99,7725,12,8835,81,3410455915
5813075824,PAM09(B1ped)_R,,PAM09,Traced,1685,293,329,94,276,74,547363626
5813091744,KCab-p_R,,KCab-p,Traced,635,285,174,77,44,19,392247819
5813093171,PAM04_a(B2)_L,,PAM04_a,Traced,1960,329,648,118,1283,208,324522133
