id,instance,notes,type,status,inputs (#post),outputs (#pre),a'L(R) #post,a'L(R) #pre,b'L(R) #post,b'L(R) #pre,#voxels
5812981796,KCa'b'-m_R,,KCa'b'-m,Traced,665,226,172,72,316,112,478708280
5812981797,KCa'b'-m_R,,KCa'b'-m,Traced,763,234,210,91,327,115,415406453
5812981800,KCa'b'-m_R,,KCa'b'-m,Traced,651,249,135,68,313,147,399866760
5812981816,KCa'b'-m_R,,KCa'b'-m,Traced,620,214,139,64,321,107,402147766
5812981858,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,651,261,174,89,323,158,481499224
5812981960,KCa'b'-m_R,,KCa'b'-m,Traced,721,226,196,71,299,106,331043517
5812981961,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,637,239,179,96,270,119,464186591
5812981978,KCa'b'-m_R,,KCa'b'-m,Traced,574,237,162,85,240,124,405213419
5812982086,KCa'b'-m_R,,KCa'b'-m,Traced,649,253,168,80,294,140,425938168
5812982087,KCa'b'-m_R,,KCa'b'-m,Traced,572,208,120,63,320,111,414845645
5812982088,KCa'b'-m_R,,KCa'b'-m,Traced,684,234,222,101,294,103,399100731
5812982145,KCa'b'-m_R,,KCa'b'-m,Traced,720,245,204,90,326,126,417445903
5812982149,KCa'b'-m_R,,KCa'b'-m,Traced,707,234,218,97,279,111,412946042
5812982329,KCa'b'-m_R,,KCa'b'-m,Traced,677,234,181,72,295,114,365482537
5812982350,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,555,210,97,64,329,121,408201604
5812982397,KCa'b'-m_R,,KCa'b'-m,Traced,603,223,144,58,306,123,419710605
5812982429,KCa'b'-m_R,,KCa'b'-m,Traced,682,214,189,92,325,105,423231483
5812982436,KCg-m_R,,KCg-m,Traced,779,249,3,1,8,5,354659380
5812982442,KCg-m_R,,KCg-m,Traced,828,258,7,6,6,1,382934901
5812982514,KCab-s_R,,KCab-s,Traced,589,237,1,1,1,1,363758686
5812982579,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,492,173,37,22,322,125,410959307
5812982692,KCa'b'-m_R,,KCa'b'-m,Traced,591,226,172,79,286,114,295847214
5812982694,KCa'b'-m_R,,KCa'b'-m,Traced,684,207,180,74,347,101,430418695
5812982706,KCa'b'-m_R,,KCa'b'-m,Traced,672,231,168,67,315,119,418473741
5812982725,KCa'b'-m_R,,KCa'b'-m,Traced,635,230,169,85,338,120,409899062
5812982780,KCab-p_R,,KCab-p,Traced,700,235,12,1,4,1,384605451
5812982782,KCab-p_R,,KCab-p,Traced,677,228,5,,14,4,389662255
5812982823,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,568,212,113,65,316,126,396676348
5812982925,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,694,292,196,122,362,150,491654910
5812983112,KCa'b'-m_R,,KCa'b'-m,Traced,647,251,186,81,338,150,411342672
5812983174,KCa'b'-m_R,,KCa'b'-m,Traced,681,235,141,73,306,114,386511183
5812983451,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,634,262,200,114,300,124,436809854
5812983544,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,675,237,153,88,335,128,426100093
5812983569,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,559,251,161,86,305,138,392759583
5812983571,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,579,248,114,66,310,151,294590390
5812983645,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,651,257,143,82,395,153,449532868
5812983646,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,595,256,131,62,353,176,453811862
5812983866,KCa'b'-m_R,,KCa'b'-m,Traced,596,208,179,75,301,115,415440030
5812983869,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,606,213,223,116,256,79,436690709
5812983871,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,603,209,168,77,320,111,408605251
5812983898,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,585,191,162,75,304,105,420362398
5812983899,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,641,216,169,75,331,106,347569779
5812983903,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,554,225,123,88,308,110,444087728
5812984045,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,679,240,177,94,319,119,439989491
5813010617,KCab-p_R,,KCab-p,Traced,675,277,7,2,19,4,391055197
5813020041,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,613,209,124,66,325,122,434014408
5813020046,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,666,246,205,104,325,125,437866399
5813020047,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,607,259,170,103,305,138,437076621
5813020052,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,579,223,181,100,321,112,437468051
5813020057,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,658,256,225,104,285,133,441233004
5813020061,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,656,278,155,80,356,169,472995790
5813020271,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,710,232,213,99,318,122,452528827
5813020988,LHMB1_R,,LHMB1,Traced,6859,1312,795,286,38,14,2286240275
5813021033,KCab-p_R,,KCab-p,Traced,804,252,4,2,12,3,410859481
5813021174,KCa'b'-m_R,,KCa'b'-m,Traced,605,262,167,91,277,136,441153613
5813021642,KCa'b'-m_R,,KCa'b'-m,Traced,665,211,193,83,288,93,373756130
5813021645,KCa'b'-m_R,,KCa'b'-m,Traced,672,235,152,65,308,127,394108433
5813021736,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,605,219,187,86,290,112,454869357
5813021748,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,644,195,162,80,326,99,447453187
5813021766,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,649,240,178,94,323,127,394506432
5813021772,KCa'b'-m_R,,KCa'b'-m,Traced,712,230,143,69,346,120,411808930
5813021778,KCa'b'-m_R,,KCa'b'-m,Traced,597,227,155,86,305,104,437684352
5813021779,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,700,263,207,101,367,145,457074069
5813021781,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,662,259,186,106,318,131,419729763
5813021786,KCa'b'-m_R,,KCa'b'-m,Traced,718,225,204,93,332,108,428081193
5813021788,KCab-p_R,,KCab-p,Traced,713,247,2,1,12,3,417804388
5813021792,KCa'b'-m_R,,KCa'b'-m,Traced,577,226,199,94,251,117,402507757
5813021799,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,703,254,194,100,353,137,454399393
5813021805,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,704,267,163,92,386,160,478993126
5813021806,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,627,237,141,79,343,143,475435410
5813021808,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,591,274,137,88,331,167,455112693
5813021809,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,663,276,174,91,327,161,467946092
5813021812,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,594,252,153,83,307,154,464717750
5813021822,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,663,265,165,91,372,153,482821942
5813021832,KCa'b'-m_R,,KCa'b'-m,Traced,655,255,166,98,300,112,405326877
5813021848,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,575,201,173,79,282,115,424646555
5813021856,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,668,254,150,82,346,154,485815034
5813021865,KCg-m_R,,KCg-m,Traced,911,250,17,9,15,4,390695586
5813022037,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,655,236,134,64,365,150,431474709
5813022117,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,659,215,177,80,332,124,434303309
5813022424,PPL103(y2a'1)_R,,PPL103,Traced,15227,3375,2837,682,443,96,5444071374
5813032811,KCa'b'-m_R,,KCa'b'-m,Traced,616,210,148,82,311,94,388570181
5813032868,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,606,223,186,80,296,127,431022127
5813032874,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,585,223,156,87,326,120,455255692
5813032876,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,656,232,173,91,349,124,519684879
5813032887,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,598,197,139,60,296,113,419825635
5813032896,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,689,216,156,70,377,117,404784077
5813032900,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,692,249,201,95,321,126,435011106
5813032943,KCab-p_R,,KCab-p,Traced,734,252,8,2,4,2,339903729
5813033127,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,616,243,161,89,341,135,486240013
5813033208,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,704,219,152,84,380,107,435229410
5813035267,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,644,259,171,85,319,157,511057661
5813035613,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,568,252,106,75,318,148,463866310
5813047220,KCa'b'-m_R,,KCa'b'-m,Traced,683,245,134,59,265,120,427955175
5813047221,KCa'b'-m_R,,KCa'b'-m,Traced,631,224,148,59,308,121,437993906
5813047676,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,567,231,175,95,285,123,418921494
5813047790,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,580,209,126,73,321,125,431318660
5813049834,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,516,228,123,66,292,145,420504766
5813050765,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,702,265,175,92,337,142,452964728
5813055914,KCab-s_R,,KCab-s,Traced,650,235,3,2,1,1,322349102
5813056299,KCa'b'-m_R,,KCa'b'-m,Traced,714,228,182,85,322,110,424133459
5813056300,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,692,271,202,108,345,143,436927867
5813056305,KCa'b'-m_R,,KCa'b'-m,Traced,672,241,194,96,324,123,401460811
5813056307,KCa'b'-m_R,,KCa'b'-m,Traced,641,242,190,102,308,107,441207882
5813056309,KCg-m_R,,KCg-m,Traced,825,283,6,4,25,8,395923682
5813056313,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,653,200,140,71,321,102,403944266
5813056327,KCa'b'-m_R,,KCa'b'-m,Traced,700,236,192,90,357,122,422840976
5813056372,KCa'b'-m_R,,KCa'b'-m,Traced,651,228,172,83,281,110,396399147
5813056390,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,583,234,174,96,301,126,413226879
5813057227,KCa'b'-m_R,,KCa'b'-m,Traced,621,239,203,101,283,114,416212913
5813057239,KCa'b'-m_R,,KCa'b'-m,Traced,724,228,193,91,359,103,405376444
5813057867,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,587,246,105,67,349,171,399817341
5813057942,KCa'b'-m_R,,KCa'b'-m,Traced,759,278,172,80,412,162,450117799
5813058163,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,686,258,192,110,323,131,423518090
5813058215,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,642,248,176,92,341,129,430406202
5813059951,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,579,240,169,99,250,107,422392882
5813060643,KCab-p_R,,KCab-p,Traced,681,264,1,1,7,2,369871738
5813060774,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,685,266,230,108,280,132,436369804
5813060776,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,652,229,215,93,284,121,333533652
5813061260,OA-VPM3(NO2/NO3)_L,,OA-VPM3,Traced,5122,4069,9,10,12,10,3486100136
5813061597,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,640,250,162,85,342,148,475789178
5813062565,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,590,257,146,76,333,167,425676562
5813062842,KCa'b'-m_R,,KCa'b'-m,Traced,707,248,216,100,359,123,425529161
5813063140,KCa'b'-m_R,,KCa'b'-m,Traced,581,199,125,55,294,101,391939830
5813063224,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,611,232,190,78,314,127,445344768
5813063527,KCa'b'-m_R,,KCa'b'-m,Traced,634,267,178,90,300,145,436486264
5813064427,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,652,297,135,76,356,187,430438345
5813067858,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,593,225,130,76,311,124,440340877
5813068687,KCa'b'-m_R,,KCa'b'-m,Traced,653,228,195,98,323,107,400089032
5813068690,KCa'b'-m_R,,KCa'b'-m,Traced,698,233,174,79,315,116,402291796
5813068692,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,682,233,217,103,328,113,431484345
5813068752,KCa'b'-m_R,,KCa'b'-m,Traced,692,252,198,89,318,142,429764535
5813068984,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,583,252,149,88,293,140,437165853
5813069379,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,616,253,184,102,303,138,422706616
5813069385,KCa'b'-m_R,,KCa'b'-m,Traced,605,229,129,73,331,116,364741205
5813070672,KCg-m_R,,KCg-m,Traced,719,237,12,5,21,3,398858277
5813077579,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,619,235,214,90,308,127,446715176
5813077582,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,707,254,191,99,349,138,431316160
5813077583,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,661,230,165,82,337,124,453604666
5813078064,KCa'b'-m_R,,KCa'b'-m,Traced,764,264,194,96,333,126,442358082
5813078179,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,628,267,193,107,331,129,438465584
5813078323,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,509,224,133,89,276,117,472655195
5813078499,KCa'b'-m_R,,KCa'b'-m,Traced,634,218,195,93,287,94,373028028
5813078679,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,697,252,153,81,364,150,446899629
5813084505,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,463,222,127,76,241,140,360084803
5813085240,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,630,232,191,95,298,119,444478363
5813091021,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,574,258,120,79,330,158,416182724
5813091744,KCab-p_R,,KCab-p,Traced,635,285,3,1,12,6,392247819
5813092931,KCab-p_R,,KCab-p,Traced,767,244,10,5,24,6,375350336
5813093111,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,607,266,177,106,298,140,432015379
5813095018,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,672,243,182,91,323,133,432250715
5813095472,KCa'b'-m_R,,KCa'b'-m,Traced,658,235,161,79,291,123,412868274
5813096260,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,561,238,136,83,300,135,434717676
5813105172,DPM_R,,DPM,Traced,77269,17628,9585,2307,13555,3386,15191654896
5813110459,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,606,264,153,81,284,149,432471519
5813111042,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,501,225,134,81,287,131,388725384
5813112511,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,592,268,110,64,349,186,434542432
5813114700,KCab-p_R,,KCab-p,Traced,746,234,7,4,16,1,347875742
