id,instance,notes,type,status,inputs (#post),outputs (#pre),a'L(R) #post,a'L(R) #pre,b'L(R) #post,b'L(R) #pre,#voxels
548894251,KCa'b'-m_R,,KCa'b'-m,Traced,667,257,200,92,316,135,432164604
548898403,KCa'b'-m_R,,KCa'b'-m,Traced,782,286,213,107,388,157,439619060
548898520,KCa'b'-m_R,,KCa'b'-m,Traced,652,213,168,61,308,103,370237636
549222167,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,712,278,219,120,313,137,454928374
549226277,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,603,272,127,84,348,157,387491401
549230949,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,578,243,164,88,289,129,415488258
549567614,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,652,250,204,103,338,131,430799378
549571627,KCab-p_R,,KCab-p,Traced,742,260,4,1,,1,368796696
549899821,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,590,254,121,81,331,157,438957339
549904227,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,569,272,155,106,308,154,459101009
549904387,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,654,291,150,81,369,189,489427720
549908737,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,687,227,206,99,318,108,433385122
550245056,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,542,242,131,74,320,156,424536592
570314896,KCa'b'-m_R,,KCa'b'-m,Traced,753,268,168,78,379,154,452328772
573065577,KCab-p_R,,KCab-p,Traced,669,256,10,7,6,3,379155378
576502536,LHPD2c7_R,,LHPD2c7,Traced,2004,450,1,,10,2,1038566176
579234980,LHPD2c7_R,,LHPD2c7,Traced,2130,509,3,,10,2,1175740809
579583329,KCa'b'-m_R,,KCa'b'-m,Traced,608,236,191,92,281,124,382209820
579587796,KCa'b'-m_R,,KCa'b'-m,Traced,683,260,188,94,319,132,292206525
579592279,KCa'b'-m_R,,KCa'b'-m,Traced,661,247,143,75,329,136,293023586
579592619,KCa'b'-m_R,,KCa'b'-m,Traced,696,239,137,57,348,136,417324948
579924731,KCa'b'-m_R,,KCa'b'-m,Traced,610,245,197,106,302,126,407203929
579928928,KCa'b'-m_R,,KCa'b'-m,Traced,574,233,141,77,306,125,391955328
580598373,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,586,268,144,102,320,146,427496011
580934661,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,657,275,134,81,357,171,452235552
580947602,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,631,253,124,69,345,155,470261330
600365719,KCab-p_R,,KCab-p,Traced,657,271,2,2,1,1,366582664
601725442,KC(incomplete?),,,Traced,611,242,29,21,64,34,428233069
602808843,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,687,248,200,107,359,124,433657854
610618198,KCa'b'-m_R,,KCa'b'-m,Traced,690,239,163,76,339,135,404899542
610968248,KCa'b'-m_R,,KCa'b'-m,Traced,728,241,239,121,304,95,425258436
611300533,KCa'b'-m_R,,KCa'b'-m,Traced,598,260,143,83,356,151,427745414
611304789,KCab-s_R,,KCab-s,Traced,587,240,2,1,2,1,304981734
611305085,KCa'b'-m_R,,KCa'b'-m,Traced,667,246,179,86,343,131,406286707
611646050,KCab-p_R,,KCab-p,Traced,697,263,6,2,11,2,346062859
611646147,KCab-p_R,,KCab-p,Traced,696,257,5,3,5,1,368031615
611974080,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,646,279,161,94,320,153,443217358
612323667,KCa'b'-m_R,,KCa'b'-m,Traced,706,224,161,68,324,103,405985069
613083375,CRE032_L,,CRE032,Traced,918,233,52,1,18,1,653637060
613719036,MBON10(B'1)_R,,MBON10,Traced,1254,198,3,,378,4,380870360
630373497,KCab-s_R,,KCab-s,Traced,575,248,1,,1,1,302148793
630748479,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,601,250,146,85,303,134,456227034
637540087,SLP242_R,,SLP242,Traced,520,271,1,,3,2,448759211
641653381,KCa'b'-m_R,,KCa'b'-m,Traced,692,251,164,83,346,139,424988147
641688553,CRE042_R,,CRE042,Traced,6850,1277,20,,47,1,2405591250
642335523,KCab-p_R,,KCab-p,Traced,681,240,10,5,17,7,367954715
642335553,KCa'b'-m_R,,KCa'b'-m,Traced,722,286,157,85,354,162,440563976
642660081,LHAV9a1_b_R,,LHAV9a1_b,Traced,459,219,1,,3,5,362337911
642680826,KCab-p_R,,KCab-p,Traced,670,262,4,2,6,2,341818524
642680969,KCab-p_R,,KCab-p,Traced,699,264,10,5,11,3,398461486
642702809,CRE050_R,not yet identified MBON candidates,CRE050,Traced,4620,620,11,,28,1,2023774583
661080007,KCa'b'-m_R,,KCa'b'-m,Traced,638,222,136,66,297,125,388134264
661407917,KCa'b'-m_R,,KCa'b'-m,Traced,648,243,158,84,272,117,368237390
662107551,KCg-m_R,,KCg-m,Traced,747,238,21,8,3,1,322816525
662409505,KCa'b'-m_R,,KCa'b'-m,Traced,590,221,102,47,239,106,409839983
662409582,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,626,255,147,91,315,133,426186749
662461539,KCg-m_R,,KCg-m,Traced,793,285,34,15,14,8,406055113
663134970,KCg-m_R,,KCg-m,Traced,784,259,9,2,5,1,392525010
673029543,KCa'b'-m_R,,KCa'b'-m,Traced,611,225,161,67,275,111,383192868
673366263,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,632,247,160,89,331,138,458158360
673370525,KCa'b'-m_R,,KCa'b'-m,Traced,568,209,118,63,287,106,362640450
674393414,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,650,238,176,93,336,130,436340617
674738872,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,596,264,149,91,318,145,452846628
675451588,PAM14(B'1m)_R,,PAM14,Traced,606,207,4,,247,121,279502184
675468771,PAM13(B'1ap)_R,,PAM13,Traced,775,227,6,,225,109,318884796
704409534,KCab-p_R,,KCab-p,Traced,685,243,2,,4,1,354049999
704466265,MBON12(y2a'1)_R,,MBON12,Traced,9126,1132,2914,18,306,1,1733289825
704742082,KCa'b'-m_R,,KCa'b'-m,Traced,637,239,103,57,306,129,354105707
704746457,KCab-p_R,,KCab-p,Traced,741,247,2,1,20,9,389043123
704759205,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,668,247,212,104,351,133,423151400
705082892,KCa'b'-m_R,,KCa'b'-m,Traced,701,235,177,83,392,132,398279539
706819341,PAM13(B'1ap)_R,,PAM13,Traced,754,215,3,1,187,99,296744630
723508068,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,570,217,62,27,355,144,372966329
724142845,KCg-m_R,,KCg-m,Traced,734,247,14,9,30,17,371756429
735112319,PAM14(B'1m)_R,,PAM14,Traced,539,174,3,1,266,118,293613873
736117977,KCa'b'-m_R,,KCa'b'-m,Traced,635,252,130,73,334,145,435548368
736808522,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,585,223,175,91,265,114,462910829
737149820,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,652,243,221,113,260,113,442032641
737149964,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,712,263,154,72,415,174,505631206
737150041,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,603,272,139,80,309,163,430026335
737491062,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,628,267,155,92,341,158,433911426
754525744,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,603,244,190,97,295,123,440292610
754893183,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,648,230,192,95,306,111,374622528
755851102,KCg-m_R,,KCg-m,Traced,648,254,11,6,6,4,231680764
765457262,PAM06_a(B'2m)_R,,PAM06_a,Traced,1430,310,1,,457,187,389761769
767494105,KCab-p_R,,KCab-p,Traced,633,218,6,2,5,1,365582357
767852204,KCa'b'-m_R,,KCa'b'-m,Traced,688,240,185,88,360,122,419723448
768184496,KCa'b'-m_R,,KCa'b'-m,Traced,609,215,188,88,320,113,410130754
768184604,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,657,249,179,97,298,125,453806345
768184623,KCa'b'-m_R,,KCa'b'-m,Traced,624,240,173,86,338,134,396386656
768525593,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,586,262,156,96,332,163,414304618
768525608,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,644,277,157,87,314,170,459423549
768525647,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,709,261,201,106,325,127,429009272
797187575,CRE055_R,,CRE055,Traced,652,169,9,1,5,2,333114208
797687628,PAM14(B'1m)_L,,PAM14,Traced,297,107,8,2,176,84,122502582
798528850,KCa'b'-m_R,,KCa'b'-m,Traced,650,245,204,85,318,127,407487653
798892246,CRE058_R,,CRE058,Traced,338,167,1,,,2,404837069
799219511,KCa'b'-m_R,,KCa'b'-m,Traced,722,253,186,95,328,135,416375679
799560834,KCa'b'-m_R,,KCa'b'-m,Traced,661,265,184,104,325,143,446272112
799586652,MBON05(y4>y1y2)(AVM07)_L,,MBON05,Traced,27110,1565,50,36,251,15,4762453854
799901370,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,629,268,137,80,335,161,442840883
799906141,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,618,245,172,79,297,141,406524522
799919294,PAM14(B'1m)_R,,PAM14,Traced,544,185,3,,240,113,305810666
816613438,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,558,231,111,58,297,152,375502650
816962833,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,571,235,218,112,245,107,383807289
817294806,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,543,237,126,79,301,128,440837776
817299301,KCa'b'-m_R,,KCa'b'-m,Traced,577,227,161,69,275,108,436705876
830586919,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,647,249,185,111,320,123,452127041
831273286,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,588,247,63,41,375,177,425970435
859265651,PPL107_R,,PPL107,Traced,12366,5040,4,2,20,4,3767188818
861280857,KCab-p_R,,KCab-p,Traced,664,252,1,,18,7,381165541
861285145,KCab-p_R,,KCab-p,Traced,735,266,6,2,2,2,376842335
861630613,KCa'b'-m_R,,KCa'b'-m,Traced,662,275,191,98,310,148,433072770
861634934,KCa'b'-m_R,,KCa'b'-m,Traced,655,258,162,88,347,138,433333685
861665641,MBON12(y2a'1)_R,,MBON12,Traced,8766,1156,3287,23,367,2,1813984393
862312670,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,543,257,142,88,289,160,387383456
878652627,KCa'b'-m_R,,KCa'b'-m,Traced,690,252,160,79,384,141,347955774
893347461,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,630,261,167,104,292,138,446443832
893688605,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,599,278,125,79,325,170,474136121
894020730,MBON31(a'1a)_R,,MBON31,Traced,10753,1087,4979,43,734,3,2722993954
923700162,KCa'b'-m_R,,KCa'b'-m,Traced,660,241,189,88,313,115,409554421
924723528,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,635,272,149,83,324,175,458805864
939733918,KCa'b'-m_R,,KCa'b'-m,Traced,632,240,171,80,285,117,426089124
940075056,KCab-p_R,,KCab-p,Traced,726,259,11,1,21,10,361940760
940420292,KCa'b'-m_R,,KCa'b'-m,Traced,618,245,167,88,314,132,428622683
955591114,PAM14(B'1m)_L,,PAM14,Traced,362,178,1,2,187,102,192486246
986793149,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,723,243,150,84,398,133,434247761
1001453586,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,500,226,107,60,290,144,415416436
1003474104,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,556,258,116,69,323,164,389074673
1016805008,KCab-p_R,,KCab-p,Traced,703,242,2,,10,3,378892564
1016835041,MBON09(y3B'1)(AVM17)_L,,MBON09,Traced,20281,1291,9,,5817,59,2083130629
1016839809,PAM06_a(B'2m)_R,,PAM06_a,Traced,1467,301,4,,380,189,442006674
1017819398,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,650,256,180,95,335,135,411433282
1018164997,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,609,262,174,95,310,150,420995644
1018510191,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,561,241,100,68,321,149,376534767
1034198388,KCab-p_R,,KCab-p,Traced,733,260,6,,31,11,361965654
1036563762,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,576,266,134,87,323,167,419805354
1047835635,KCa'b'-m_R,,KCa'b'-m,Traced,666,240,149,82,303,118,437209470
1048172314,PPL103(y2a'1)(PDL05)_L,,PPL103,Traced,12116,3488,2886,850,300,72,4211579375
1048215779,MBON09(y3B'1)(AVM17)_L,,MBON09,Traced,20255,1451,18,,6260,92,2226046804
1048517845,KCa'b'-m_R,,KCa'b'-m,Traced,689,244,178,79,365,131,408966176
1048854479,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,658,262,174,98,327,143,408398286
1049549402,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,611,275,134,81,328,170,443024347
