id,instance,notes,type,status,inputs (#post),outputs (#pre),gL(L) #post,gL(L) #pre,LAL(L) #post,LAL(L) #pre,#voxels
799279899,LAL154(PVM03)_L,,LAL154,Traced,1229,794,13,,25,1,1511191160
800212579,SMP148_R,,SMP148,Traced,5367,438,2,,333,402,1733121170
800743420,PAM04_a(B2)_L,,PAM04_a,Traced,546,156,4,1,4,3,135248805
819725372,CL199_R,,CL199,Traced,3265,863,3,,6,26,2739280146
826957102,CRE028_R,,CRE028,Traced,746,214,6,2,94,68,748610617
826969429,CRE045(ADM10)_L,,CRE045,Traced,389,133,5,,15,12,324531965
829050526,CRE080(PDM13)_L,pMP6b candidates,CRE080,Traced,512,113,37,1,29,4,656343401
829059301,CRE080(PDM13)_L,pMP6b candidates,CRE080,Traced,582,199,26,3,4,1,697448888
829693574,SMP273(PDL21)_L,,SMP273,Traced,1289,901,51,1,78,4,1300546786
829697614,CRE043_a(ADM10)_L,,CRE043_a,Traced,789,168,50,,52,19,531820622
831394580,(PVL05)_L,,,Traced,67,80,2,1,,2,82375180
832789228,,,,Traced,592,136,16,,399,129,293550875
859735285,CRE105(PVL06)_L,,CRE105,Traced,1589,470,71,8,24,3,710680979
861073717,CRE012(ADM05)_L,,CRE012,Traced,3864,1148,12,,662,63,1872147154
862787861,CRE037_R,,CRE037,Traced,247,130,2,,3,4,379708980
862792304,(PDM13)_L,,,Traced,536,106,38,2,18,11,766883149
863698974,LAL155(PVM03)_L,,LAL155,Traced,1494,548,5,,326,36,1064408131
864156049,CRE047(ADM10)_L,,CRE047,Traced,660,119,14,,183,32,393708474
882235460,ATL026(PDM13)_L,,ATL026,Traced,1537,600,2,,320,3,1258028663
882580620,CL199(PDM12)_L,,CL199,Traced,724,858,1,,9,40,1896030360
891111303,CRE096(PDM13)_L,,CRE096,Traced,654,162,4,,8,1,566828528
891771553,CRE100(PDM27)_L,CL-VeSp,CRE100,Traced,2897,96,172,1,795,10,1561570718
893754136,(MBDLaxon2),,,Traced,2509,1179,21,1,390,178,3754329882
894168625,FB4P_b_L,CRESMPFB4_4,FB4P_b,Traced,1693,686,14,1,19,2,732988105
894500674,,,,Traced,61,273,2,,11,56,265222820
895191674,,,,Traced,473,153,22,,366,146,277405605
912951014,MBON26(B'2d)(PDM28)_L,,MBON26,Traced,6395,1588,288,1,915,208,2272675577
922810839,SMP152(ADM11)_L,,SMP152,Traced,507,669,57,13,23,19,604703882
925241334,LAL155_R,,LAL155,Traced,3211,604,7,4,29,38,1395981955
925811326,,,,Traced,838,1189,1,,153,163,1225284890
952166828,FB5K_L,CREFB5,FB5K,Traced,3583,610,5,2,31,5,1132282137
984536209,LAL100_R,,LAL100,Traced,3609,1173,13,3,58,62,2063807718
984540390,CRE059(AVM13)_L,,CRE059,Traced,622,538,18,2,29,31,540136093
