id,instance,notes,type,status,inputs (#post),outputs (#pre),LAL(R) #post,LAL(R) #pre,FB #post,FB #pre,#voxels
832016427,FB4F_a_R,CRELALFB4_2,FB4F_a,Traced,1757,377,24,1,895,372,805737583
850194651,PFL2(PB12b)_L4_C8,PB1-4FB1245LAL,PFL2,Traced,2910,381,51,176,1711,4,1049700272
850855138,PFL3(PB12c)_L3_C5,PB1-7FB1245LAL,PFL3,Traced,2495,440,93,433,1758,6,1238365051
851493896,PFL3(PB12c)_L1_C3,PB1-7FB1245LAL,PFL3,Traced,3272,336,99,331,2887,3,981759380
858604252,FB2C_R,SMPCREFB2_1,FB2C,Traced,1526,268,46,,671,261,537542259
858937324,FB4D_R,CRESMPFB4_2,FB4D,Traced,1784,335,1,1,1069,299,650269006
859174595,AVLP444_R,,AVLP444,Traced,1210,681,1,,1,1,1377146385
859618655,FB4D_R,CRESMPFB4_2,FB4D,Traced,1648,336,1,,1102,308,692407236
859977121,FB4Q_a_R,CRESMPFB4_5,FB4Q_a,Traced,1811,619,18,,1060,617,985860348
860305498,FB6N_R,CRESMPFB6_1,FB6N,Traced,2372,599,39,2,1804,583,1360706288
862036858,FB4P_b_R,CRESMPFB4_4,FB4P_b,Traced,2133,770,67,3,857,711,1334560758
864073833,FB5V_R,CRELALFB5,FB5V,Traced,1389,217,803,11,127,197,679341918
880538997,PFNd(PB04)_L6_C5,,PFNd,Traced,963,203,1,,199,128,387127398
880875840,PFL2(PB12b)_L5_C9,PB1-4FB1245LAL,PFL2,Traced,2712,398,81,186,1748,10,1069803729
880875861,PEG(PB07)_L5,PEG,PEG,Traced,1246,237,149,101,3,1,708615708
880875927,PFL3(PB12c)_L5_C7,PB1-7FB1245LAL,PFL3,Traced,2110,307,71,304,1609,1,707899812
881889906,FC3(FQ8)_C4_L,FB2356CRE; Tdc2-PB1/2 candidates,FC3,Traced,522,155,1,,514,155,304910800
881898734,PEG(PB07)_L6,PEG,PEG,Traced,1094,236,179,108,16,1,720534350
882200934,PFR_a(PB11a)_R1_C1_irreg,,PFR_a,Traced,1797,550,1,2,1667,491,575096041
882239837,PFL2(PB12b)_L3_C7,PB1-4FB1245LAL,PFL2,Traced,3466,366,62,155,2694,14,1151779323
882533209,PFL1(PB12a)_R1_C2_irreg,PFLC,PFL1,Traced,1547,341,56,296,970,7,1432354774
885253534,FC2C(FQ7)_C4_L,FB1d367CRE,FC2C,Traced,1209,131,8,6,1165,87,346770605
885262118,FC2C(FQ7)_C6_L,FB1d367CRE,FC2C,Traced,1065,147,1,,1025,101,228163513
890671753,FB5D_R,CRESMPFB5_1,FB5D,Traced,3018,613,40,3,1802,461,1019105034
893741163,FB4P_a_R,CRESMPFB4_4,FB4P_a,Traced,2736,597,71,4,1775,522,1011252039
911565319,PFL1(PB12a)_L5_C6,PFLC,PFL1,Traced,1636,297,55,259,946,6,1118569527
911569552,PFL3(PB12c)_L5_C7,PB1-7FB1245LAL,PFL3,Traced,2113,338,81,328,1722,8,860588162
911578483,PFL1(PB12a)_L6_C7,PFLC,PFL1,Traced,1306,282,50,254,824,2,1241067076
911897964,PFNv(PB05)_L4_C3,PFNv,PFNv,Traced,824,190,2,1,92,62,382389771
912596952,EL(EQ5)_L,EBGAs,EL,Traced,4195,919,190,48,36,9,1264795351
912894991,PFNv(PB05)_L3_C2,PFNv,PFNv,Traced,1524,325,14,5,115,146,631785776
912925080,PFL3(PB12c)_L3_C5,PB1-7FB1245LAL,PFL3,Traced,2624,442,112,435,1871,6,1310859231
915605802,FC2C(FQ7)_C4_L,FB1d367CRE,FC2C,Traced,1153,137,4,,1108,97,325199908
915605943,FB6P_R,SMPCREFB6_1,FB6P,Traced,1994,241,8,,1432,227,593506244
915623395,FC2B(FQ7)_C5_L,FB1d356CRE,FC2B,Traced,1419,154,7,7,1375,109,255657566
915946994,FC2C(FQ7)_C3_L,FB1d367CRE,FC2C,Traced,1413,145,1,,1375,108,318754979
915960293,FB6V_R,SMPCREFB6_3,FB6V,Traced,2761,558,1,,1767,431,1066156982
916284630,PFL2(PB12b)_R2_C4,PB1-4FB1245LAL,PFL2,Traced,2791,419,50,207,2118,10,1366489368
916628962,FB1I_R,SMPSIPFB1d7,FB1I,Traced,1812,394,1,1,1732,391,1060563413
917647959,ExR1(ring)_L,,ExR1,Traced,10018,1583,535,40,695,90,3151242119
918334668,ExR1(ring)_L,,ExR1,Traced,9714,1379,403,31,649,90,2637843316
919763043,ExR3(ring)_L,5-HTPMPD candidates,ExR3,Traced,7694,4294,13,7,3695,1698,4148353890
922069357,FB5W_R,SMPCREFB5_7,FB5W,Traced,966,256,6,,502,238,741165063
923787513,FB4K_L,CRESMPFB4_3,FB4K,Traced,1756,470,16,,1096,463,1395825196
923809011,FB4K_R,CRESMPFB4_3,FB4K,Traced,1752,403,2,,1023,402,1255531817
926490072,FB5V_R,CRELALFB5,FB5V,Traced,1779,303,387,17,455,226,726427285
941939879,PFL3(PB12c)_L6_C8,PB1-7FB1245LAL,PFL3,Traced,2359,485,106,477,1872,6,1137135613
942587380,PEG(PB07)_L4,PEG,PEG,Traced,1528,253,163,108,6,1,737594409
943955813,PFR_b(PB11b)_L3_C3,PFR_b,PFR_b,Traced,1910,324,17,4,1382,167,666717755
944262351,PFL3(PB12c)_L1_C3,PB1-7FB1245LAL,PFL3,Traced,2736,332,110,329,2389,3,948535579
948333783,PFL2(PB12b)_R3_C3,PB1-4FB1245LAL,PFL2,Traced,3219,320,60,155,2584,16,1090467478
948709216,ExR1(ring)_R,,ExR1,Traced,10008,1519,795,40,612,82,3591373150
949710555,ExR1(ring)_R,,ExR1,Traced,10306,1447,707,42,841,83,3339909507
953414780,FB4H_R,CRELALFB4_4,FB4H,Traced,4189,875,397,28,1926,759,2648335537
973954598,PFR_a(PB11a)_L3_C3,PFR_a,PFR_a,Traced,1987,576,8,7,1857,530,608509959
974300015,PEG(PB07)_L3,PEG,PEG,Traced,1396,268,158,116,7,1,785035775
974645472,PFR_a(PB11a)_L3_C3,PFR_a,PFR_a,Traced,1829,589,11,3,1675,541,523810983
