id,instance,notes,type,status,inputs (#post),outputs (#pre),LAL(R) #post,LAL(R) #pre,FB #post,FB #pre,#voxels
5813057963,FB3B(EB)_R,EBCREFB3,FB3B,Traced,838,222,111,5,198,122,521205033
5813058333,FB2K_R,LALSMPFB2,FB2K,Traced,1322,158,394,,681,158,358424567
5813060726,ExR5(ring)_R,,ExR5,Traced,2822,985,11,7,622,485,1931391198
5813060787,FB2B_a_R,LALCREFB2_1; Tdc2 (TA)-ASM candidates,FB2B_a,Traced,2265,794,147,1,1798,783,1042477121
5813061260,OA-VPM3(NO2/NO3)_L,,OA-VPM3,Traced,5122,4069,1,7,3071,1745,3486100136
5813062805,PFR_a(PB11a)_L7_C7,PFR_a,PFR_a,Traced,1191,380,5,5,1040,310,333743157
5813062858,FB1H(NO2/3)_R,CRENO23FB1-4,FB1H,Traced,9598,3733,165,21,3717,2821,3621432113
5813065004,FB4F_a_R,CRELALFB4_2,FB4F_a,Traced,1740,390,275,2,898,382,952024963
5813071320,AOTU046_R,,AOTU046,Traced,2410,743,11,3,191,40,1770276774
5813075748,FB4P_b_R,CRESMPFB4_4,FB4P_b,Traced,1946,665,61,,1002,651,1194734460
5813079193,FB4P_b_R,CRESMPFB4_4,FB4P_b,Traced,2052,712,27,,887,632,1072415389
5813081864,FC2B(FQ7)_C9_L,FB1d356CRE,FC2B,Traced,1632,181,3,2,1579,127,238566314
5813087837,FB4A_R,CRESMPFB4_1,FB4A,Traced,1033,129,4,,649,129,364187718
5813088420,VES038_R,,VES038,Traced,361,256,2,2,,2,496057603
5813103626,FC2C(FQ7)_C8_L,FB1d367CRE,FC2C,Traced,1096,144,4,4,1054,102,217353516
5813129271,FC2C(FQ7)_C8_L,FB1d367CRE,FC2C,Traced,738,148,1,1,693,102,184248820
