id,instance,notes,type,status,inputs (#post),outputs (#pre),LAL(L) #post,LAL(L) #pre,LAL(R) #post,LAL(R) #pre,#voxels
1510652444,,,,Traced,201,704,3,,196,692,458450048
1510653932,LAL196(PVM09)_L,,LAL196,Traced,775,294,242,1,499,293,425712903
1510653964,LAL093_R,,LAL093,Traced,358,64,26,60,273,2,263791284
1510662269,LAL090_R,L-Lic(c),LAL090,Traced,912,87,86,65,749,1,389230945
1534124048,H2 LPTC_R,,H2,Traced,1219,46,1,2,3,6,7354238815
1534270924,VES041_R,IbSpVeL-(LIb)(c)Sm(b),VES041,Traced,6988,2517,509,521,1115,603,4897186673
1541001122,,,,Traced,98,157,37,63,61,94,142262104
1541001128,LAL089_R,,LAL089,Traced,435,81,49,60,258,4,400182665
1541333248,LAL087(AVM09)_L,L-L(c)1,LAL087,Traced,104,119,1,,101,115,182037724
1541338954,LAL087(AVM09)_L,L-L(c)1,LAL087,Traced,57,85,1,,52,72,135102991
1541359136,LAL122_R,,LAL122,Traced,3545,214,83,209,3324,5,1266959466
1541684136,LAL086(AVM09)_L,AoL-L(c),LAL086,Traced,81,99,20,,58,90,172286895
1541701033,LAL092_R,,LAL092,Traced,352,59,33,54,311,2,223080566
1541701145,VES057(PDM28)_L,,VES057,Traced,568,510,183,2,109,260,950127863
1542033633,LAL120_R,,LAL120,Traced,7808,573,145,537,7312,19,2275597100
1542042403,(AVM09)_L,,,Traced,199,67,103,,80,65,133694733
1543138040,LAL042(ADM10)_L,,LAL042,Traced,1706,670,421,60,890,536,985951206
1543410489,LAL126_R,VeL-X(c)3,LAL126,Traced,2989,15,1,1,1869,6,1155427462
1543747434,LAL126_R,VeL-X(c)3,LAL126,Traced,2821,6,1,1,1732,3,1156230051
1546099433,LAL095_R,,LAL095,Traced,295,47,48,42,181,1,217571919
1560419886,LAL123(AVM20)_L,,LAL123,Traced,1388,1418,992,,215,684,1818172023
1560734467,PLP078_R,,PLP078,Traced,2846,13,1,3,515,2,2382678905
1566524544,LPTC contra2_R,,,Traced,2255,55,1,1,5,9,2902800575
1571345230,LAL117_R,,LAL117,Traced,450,91,33,29,328,35,502886266
1571371076,,,,Traced,44,117,21,43,22,74,113949496
1571371086,,,,Traced,109,180,41,79,68,101,136741011
1571371141,,,,Traced,137,153,40,56,97,94,116862889
1571371226,LAL091_R,,LAL091,Traced,384,55,52,50,219,1,232249033
1571708235,,,,Traced,142,144,43,40,98,103,149116997
1571855124,(AVM09)_L,,,Traced,260,109,108,12,135,84,240488450
1572036642,LAL095_R,,LAL095,Traced,275,55,62,52,130,1,198994569
1572373099,LAL194_R,VeL-X(c)2,LAL194,Traced,1618,350,3,4,821,165,905377964
1572520204,LAL005_R,,LAL005,Traced,474,126,108,93,57,33,402431356
1572744091,LAL073_R,VeL-LVe(c)2,LAL073,Traced,8343,473,78,459,7495,6,2372092630
1572744753,,,,Traced,236,117,115,5,92,74,245179881
1572873534,LAL090(AVM09)_L,,LAL090,Traced,218,137,154,,17,56,272974083
1573045882,LAL096_R,,LAL096,Traced,96,32,2,3,38,1,226282925
1573551885,LAL120(AVM20)_L,,LAL120,Traced,900,832,564,1,335,830,1108817545
1573758787,(AVM09)_L,,,Traced,253,103,41,,77,34,168787940
1574164489,LAL104_R,,LAL104,Traced,1347,358,382,174,878,170,869511446
1576815601,LAL177(PVM03)_L,,LAL177,Traced,857,445,87,8,588,405,538993825
1576941160,LAL116_R,,LAL116,Traced,915,520,324,347,446,86,869168111
1577151903,(AVM15)_R,,,Traced,6,1,5,,,1,285872146
1598663076,LAL170_R,,LAL170,Traced,1332,366,65,43,948,219,1222848175
1600489166,LAL160(PVM03)_L,CL-LC(c),LAL160,Traced,2056,863,337,70,1130,692,1046665841
1602194826,,,,Traced,42,110,26,64,16,46,108914072
1602195074,,,,Traced,89,161,43,86,38,60,127980033
1602376300,,,,Traced,233,347,170,101,31,226,480472850
1602536144,,,,Traced,303,91,156,,76,64,180231649
1602743551,LAL090(AVM09)_L,L-Lic(c),LAL090,Traced,64,90,20,,41,70,147442253
1602751898,LAL090(AVM09)_L,L-Lic(c),LAL090,Traced,170,128,124,2,18,51,247066722
1602885929,(AVM09)_L,,,Traced,198,73,112,,81,73,143069724
1604141359,,,,Traced,995,668,24,9,924,596,557475903
1604452991,(AVM09)_L,,,Traced,183,73,58,,96,66,116874856
1604788947,(AVM09)_L,,,Traced,245,94,55,1,101,50,151680649
1605138727,,,,Traced,116,256,7,11,58,104,221083203
1605156604,,,,Traced,364,712,67,157,192,340,654267799
1605181883,LAL008(ADM02)_L,,LAL008,Traced,1754,717,376,61,923,576,1138502686
1605455071,LAL171_R,,LAL171,Traced,1617,167,62,66,1414,26,824507555
1605518663,AOTU019(ADM10)_L,AoSiLVe-LVeSpIp(c),AOTU019,Traced,3228,2111,2428,8,160,771,6781032290
1605791755,(PVM09)_L?,,,Traced,134,676,2,,96,467,868000953
1605842920,LAL159(PVM03)_L,VeLC-L(c),LAL159,Traced,3109,1107,1361,142,423,736,1843324783
1606131544,(PVM09)_L,,,Traced,764,1292,21,2,731,1244,912608427
1622134757,PS099(AVM20)_L,,PS099,Traced,394,706,52,1,129,264,1013560409
1622139666,PS099_R,,PS099,Traced,1219,83,31,80,315,1,1374167340
1628062270,LAL135(PDM27)_L,,LAL135,Traced,559,425,144,94,43,13,926258846
1629383757,Ascending?,,,Traced,5797,1631,29,25,1368,62,3262430111
1632361781,LAL167_R,,LAL167,Traced,532,231,8,21,302,115,783807325
1632409111,LAL194_R,VeL-X(c)2,LAL194,Traced,1884,348,2,1,926,188,953021784
1633078450,,,,Traced,74,192,10,19,63,165,259543483
1633411652,PLP078(AVM20)_L,,PLP078,Traced,138,1296,2,1,62,529,1672701183
1633411858,LAL085_R,,LAL085,Traced,852,9,3,7,828,2,566210396
1633445474,,,,Traced,102,203,1,,61,104,256000354
1634140805,,,,Traced,70,187,23,59,16,33,165100349
1634140995,,,,Traced,57,119,14,43,5,19,112288703
1634141042,,,,Traced,99,223,11,35,59,96,194598990
1634477964,,,,Traced,214,326,165,94,40,213,483018463
1634805202,LAL108_R,,LAL108,Traced,3945,6,1,,2853,4,1339195288
1636195409,(PVM01)_L,,,Traced,251,581,3,,237,570,623364986
1637171546,LAL201(SCB023)_R,,LAL201,Traced,4432,631,3,16,2963,283,2240787872
1637512099,LAL176(PVM03)_L,,LAL176,Traced,928,454,81,4,626,432,830466507
1637844473,LAL153_R,,LAL153,Traced,722,8,2,1,681,3,794097266
1637870763,LAL105_R,,LAL105,Traced,897,218,61,51,736,143,607606028
1657551275,LAL156_R,,LAL156,Traced,1909,182,12,32,936,46,1918479787
1664178250,,,,Traced,224,1116,15,39,63,270,996810759
1664843299,,,,Traced,132,279,1,,70,138,301945859
1665507756,(AVM09)_L,,,Traced,253,123,31,,81,45,167851976
1666910636,ORN_DP1m_R,,ORN_DP1m,Traced,572,427,1,3,1,2,432419850
1668529983,,,,Traced,76,451,22,1,54,450,490959313
1669255212,LAL161(PVM03)_L,CL-L(c)1,LAL161,Traced,2086,865,378,93,1041,662,867144227
1693802425,(AVM09)_L,,,Traced,161,103,4,,8,9,142014199
1693802528,,,,Traced,190,116,26,1,43,25,167185397
1694471261,(PVM09)_L,,,Traced,160,322,1,,130,244,285630762
1694496394,,,,Traced,152,90,17,,27,19,137680115
1695143944,LAL166_R,,LAL166,Traced,517,635,1,3,332,200,1028593021
1695187208,,,,Traced,119,595,3,1,20,99,681733934
1695506907,,,,Traced,196,441,26,,94,146,438212038
1695533211,(AVM09)_L,,,Traced,289,115,49,,66,30,171590813
1695533265,,,,Traced,174,102,27,,29,25,169433781
1697600363,ORN_DP1m_R,,ORN_DP1m,Traced,589,438,3,,6,1,403092302
1698537086,,,,Traced,81,460,7,,72,459,443352332
1698883154,(PVM09)_L?,,,Traced,309,785,4,1,304,773,615553602
1699582872,(PVM09)_L,,,Traced,1533,1003,198,57,1192,888,909112575
1723597944,(AVM18)_R,,,Traced,53,2,7,,1,2,442146673
1723852574,VES057_R,,VES057,Traced,1524,274,64,212,727,1,988971873
1725497333,(PVM09)_L,,,Traced,159,342,1,,134,310,270998952
1725839022,(PVM09)_L,,,Traced,129,403,14,,30,65,411380533
1727945284,,,,Traced,691,415,2,,688,414,376769729
1728281815,,,,Traced,641,380,3,,634,380,394303119
1729637685,LAL171(PVM03)_L,,LAL171,Traced,1568,850,73,,1483,848,1006894516
1729935421,LAL172(PVM03)_L,,LAL172,Traced,1573,856,135,4,1411,850,774767517
1730315051,ORN_DP1m_R,,ORN_DP1m,Traced,590,426,2,,,1,406648765
1730957703,mALC5_L,,mALC5,Traced,1825,166,2,,22,1,3521838249
1755860078,LAL124_R,,LAL124,Traced,2434,332,18,56,1363,138,1320886997
1756531702,PS099(AVM20)_L,,PS099,Traced,143,703,12,,21,133,855208641
1756869802,LAL117_R,,LAL117,Traced,389,81,23,37,273,25,477662707
1760318324,LAL173_R,,LAL173,Traced,1594,176,28,20,1400,122,581733341
1760662977,,,,Traced,90,416,3,19,67,330,354022217
1761328259,,,,Traced,462,288,10,10,246,133,326715837
1779343124,PLP230(PVM03)_L,,PLP230,Traced,271,1014,1,,8,13,1895766474
1779696775,LAL084(AVM09)_L,SpVeL-LSpIp(c)2,LAL084,Traced,515,990,342,1,28,167,1622938985
1783923422,VES074(PVM01)_L,,VES074,Traced,413,405,5,,,18,799802584
1787571502,(PVM09)_L,,,Traced,234,254,4,,23,46,293294432
1787657447,,,,Traced,180,242,19,14,39,80,341534275
1787727412,,,,Traced,95,131,90,120,3,2,76377992
1787998190,PS232(PVM03)_L,,PS232,Traced,693,748,181,1,37,113,1014751524
1788974593,LAL196_R,,LAL196,Traced,670,27,2,,538,12,459427840
1788983330,LAL174_R,,LAL174,Traced,1514,183,25,21,1263,114,591951947
1789613296,LAL074(AVM07)_L,SpVeL-LSpIp(c)1,LAL074,Traced,835,996,453,10,27,151,1959631131
1790675377,LAL162(PVM03)_L,,LAL162,Traced,1324,770,407,,554,763,907820197
1791996293,,,,Traced,225,240,6,10,142,130,235118352
1819102805,LAL180_R,,LAL180,Traced,114,56,22,55,46,1,348368213
1847984002,,,,Traced,247,638,1,12,17,13,815802551
1851730931,,,,Traced,359,738,197,,25,148,1012801836
1871446097,(PVM03)_L,,,Traced,300,454,25,3,79,141,478376201
1871778911,,,,Traced,36,478,2,,2,112,725123768
1875625119,VES027_R,,VES027,Traced,860,413,8,8,85,76,1224409175
1879095788,,,,Traced,128,234,18,26,11,43,361603980
1879385017,,,,Traced,192,324,19,31,29,60,695802278
1882053559,,,,Traced,255,438,1,,155,190,384590207
1905572376,,,,Traced,175,98,10,,34,27,154910529
1914460817,VES079_R,,VES079,Traced,1323,550,12,9,446,195,1108172940
1942806972,LAL173(PVM03)_L,,LAL173,Traced,462,554,141,40,124,75,502844378
1943147567,LAL174(PVM03)_L,,LAL174,Traced,811,604,288,57,174,75,749589650
1967637295,,,,Traced,322,972,2,,201,575,837027353
1978209738,ORN_VL2a_L,,ORN_VL2a,Traced,32,35,1,,1,3,35749217
2003495133,,,,Traced,161,932,18,96,43,191,1036682838
2005877512,,,,Traced,327,245,14,21,199,117,297603840
2008571631,,,,Traced,29,76,3,1,7,21,86922535
2057996241,(PVM09)_L,,,Traced,346,407,11,2,96,131,421757113
2096914187,WED004_R,,WED004,Traced,264,74,4,6,2,8,367154696
2099327277,,,,Traced,25,74,1,,,2,74431249
2124762952,mALC2_L,,mALC2,Traced,20985,7281,2,,4,1,12642223789
5812979148,LAL120(AVM20)_L,,LAL120,Traced,1015,1297,638,1,369,1250,1376775527
5812980743,SMP151(ADM10)_L,,SMP151,Traced,331,572,24,35,19,24,654233320
5812980746,SIP087(PDM22)_L,,SIP087,Traced,7549,3221,61,44,638,442,3325948715
5812980915,CRE003_b_R,aSP14b candidates,CRE003_b,Traced,582,253,10,12,197,41,545599281
5812981381,PPL102(y1)(PDL05)_L,,PPL102,Traced,9198,2830,17,1,86,42,3349981626
5812981791,PPL108(PDL05)_L,,PPL108,Traced,5321,2389,777,576,753,671,2164861052
5812982125,CRE032_R,,CRE032,Traced,600,223,1,8,1,6,547536751
5812982960,CRE028_L,,CRE028,Traced,968,219,27,22,78,21,829384672
5812983128,LAL005_R,,LAL005,Traced,372,119,66,57,70,61,334671584
5812983825,LAL101_R,VeLC-CLVe(c),LAL101,Traced,3027,873,167,209,1819,360,2116201166
5812983831,AVLP562_R,,AVLP562,Traced,5984,1288,92,115,71,113,3369272816
5812988178,LAL087_R,L-L(c)1,LAL087,Traced,502,62,43,61,400,1,361278942
5812989441,(AVM09)_L,,,Traced,130,110,1,,6,2,190620091
5812990776,(AVM09)_L,,,Traced,607,501,34,,,1,751992195
5812990778,(AVM09)_L,,,Traced,169,132,12,,10,5,219216213
5812990780,(AVM09)_L,,,Traced,64,61,9,,,1,162995444
5812991349,PS196_R,,PS196,Traced,1376,308,1,7,459,108,1659568119
5812992272,(AVM09)_L,,,Traced,100,69,3,,10,6,173600400
5812992612,LAL089_R,,LAL089,Traced,410,79,59,51,221,8,376967017
5812992618,,,,Traced,197,91,6,,7,5,133649857
5812993825,,,,Traced,152,135,57,3,47,40,265078129
5812994338,(AVM20)_L,,,Traced,190,613,3,8,6,32,872950016
5812999580,,,,Traced,468,743,282,1,35,137,1150229880
5813009620,SMP109_R,,SMP109,Traced,6129,1399,12,22,111,172,2742026328
5813011074,LAL007(ADM01)_L,,LAL007,Traced,679,633,257,75,38,118,1535044331
5813013339,PLP222_R,,PLP222,Traced,327,99,32,28,4,3,521250198
5813014616,(AVM09)_L,,,Traced,184,116,1,,4,1,199349677
5813016625,,,,Traced,63,106,4,4,28,69,106144113
5813021075,MDN_R,,MDN,Traced,1384,8,64,,750,1,1483577812
5813021122,LAL143_R,,LAL143,Traced,1205,443,11,29,129,391,1629835995
5813022257,CL303_R,,CL303,Traced,3911,1278,134,139,138,134,3010762247
5813022375,IB017_R,,IB017,Traced,2840,1169,63,59,32,52,2913680919
5813022419,CRE038_R,,CRE038,Traced,275,132,6,6,6,7,360831607
5813022759,CRE059_R,,CRE059,Traced,1452,568,56,45,273,24,1127295229
5813022896,MBON21(y4y5)_R,,MBON21,Traced,12515,1168,19,57,83,70,3288021127
5813022976,CL265(PVL06)_L,pIP6 candidates,CL265,Traced,332,470,9,14,23,32,903566720
5813023089,AVLP577_R,,AVLP577,Traced,1782,453,1,,4,10,1418450189
5813024852,,,,Traced,342,674,40,6,115,242,1083452374
5813032485,,,,Traced,237,381,69,137,76,118,405363154
5813033033,CRE031_L,,CRE031,Traced,1260,220,58,45,34,14,766024070
5813035477,LAL175(PVM03)_L,,LAL175,Traced,992,366,179,54,504,257,648122118
5813038109,(AVM09)_L,,,Traced,189,83,37,,96,63,130863463
5813039011,ORN_DL2v_R,,ORN_DL2v,Traced,250,207,1,,5,1,195131006
5813041169,SMP009_R,,SMP009,Traced,695,320,4,5,96,7,650188100
5813041349,(ADL08)_L,,,Traced,143,160,9,18,37,35,154780875
5813045296,LAL165_R,,LAL165,Traced,891,353,98,164,320,92,1467565247
5813050772,PLP032(AVL04)_L,,PLP032,Traced,468,1249,21,44,23,79,1155328270
5813053712,IB017(PDM08)_L,,IB017,Traced,685,836,80,84,40,52,943022967
5813053891,LAL177_R,,LAL177,Traced,961,190,209,159,336,10,690227078
5813053957,PLP228_R,,PLP228,Traced,4155,252,46,113,1,4,1739579304
5813054846,LAL156_R,,LAL156,Traced,2167,143,2,,1324,84,1460473551
5813057630,(AVM09)_L,,,Traced,80,141,3,,6,15,428560950
5813058319,CRE012_R,,CRE012,Traced,4120,938,277,268,938,91,2243348099
5813058320,CRE005_R,,CRE005,Traced,1881,887,36,65,822,176,1495874790
5813060982,PS215_R,,PS215,Traced,413,466,3,20,,3,1211473281
5813061024,VES067_R,,VES067,Traced,1397,358,32,54,400,42,1573727727
5813061260,OA-VPM3(NO2/NO3)_L,,OA-VPM3,Traced,5122,4069,14,8,1,7,3486100136
5813061538,MBON27(y5d)(PVM03)_L,,MBON27,Traced,5898,795,153,40,572,486,1596324019
5813062838,CRE022_L,,CRE022,Traced,5859,1060,204,151,154,140,2547121426
5813066838,LAL102_R,VeL-LC(c),LAL102,Traced,3940,830,12,73,1274,244,1919116434
5813067963,,,,Traced,498,479,1,1,16,8,645733207
5813068769,CRE004_R,,CRE004,Traced,4808,1432,153,126,749,161,4486456977
5813069496,LAL084_R,SpVeL-LSpIp(c)2,LAL084,Traced,5819,35,6,3,2109,17,2057395634
5813076392,PLP187_R,,PLP187,Traced,550,171,1,2,67,77,470687783
5813078340,SIP001_R,aSP14c candidates,SIP001,Traced,370,133,3,4,5,7,395892281
5813078454,H2 LPTC_L,,H2,Traced,463,1191,1,2,18,71,4922653240
5813078739,SIP002_R,aSP14c candidates,SIP002,Traced,396,164,12,11,56,45,441917606
5813080769,CRE031_R,,CRE031,Traced,720,230,23,23,18,23,681827294
5813083779,CRE022_R,,CRE022,Traced,8464,1155,142,136,85,78,2658194530
5813083780,SMP385_R,,SMP385,Traced,6235,2678,203,135,19,1,2659884367
5813087996,LAL087_R,L-L(c)1,LAL087,Traced,458,61,52,59,364,2,330621810
5813088921,LAL175(PVM03)_L,,LAL175,Traced,1111,551,161,56,725,462,807022585
5813101886,(AVM09)_L,,,Traced,230,85,117,,77,70,146592252
5813104472,WED081(AVM22)_L,VeWL-VeX(c),WED081,Traced,745,154,9,14,206,53,731012747
5813105778,LAL100(AVM14)_L,,LAL100,Traced,971,815,72,60,66,62,799850664
5813108247,,,,Traced,237,265,1,,7,4,243687001
5813116551,,,,Traced,117,258,1,,3,3,250056046
5813117385,MBON27(y5d)_R,,MBON27,Traced,8021,668,332,313,175,14,1674077310
5901201676,LAL005_R,,LAL005,Traced,383,120,58,68,63,50,360821541
5901213440,CRE011_R,,CRE011,Traced,19674,2149,35,85,1724,648,5844952800
5901221584,LAL137_R,VeLC-(LC)(c)Sm(b),LAL137,Traced,4244,1427,68,164,2640,172,2323051347
7112622044,LAL137(PVL05)_L,VeLC-(LC)(c)Sm(b),LAL137,Traced,2087,1376,709,96,80,192,1529252938
