id,instance,notes,type,status,inputs (#post),outputs (#pre),LAL(L) #post,LAL(L) #pre,LAL(R) #post,LAL(R) #pre,#voxels
675809900,SMP006_R,aSP14a candidates,SMP006,Traced,673,385,59,103,73,145,713613723
701371011,SMP370_R,,SMP370,Traced,1736,699,73,127,261,316,2101402424
702704906,CRE058_R,,CRE058,Traced,463,147,4,2,17,31,394131167
704785058,SMP008_R,aSP14a candidates,SMP008,Traced,476,316,29,73,45,87,546805348
704816317,,,,Traced,925,1100,2,11,22,41,1390622287
706862579,CRE059_R,,CRE059,Traced,1466,552,45,29,189,22,1186755402
706948318,MBON31(a'1a)(ADM10)_L,,MBON31,Traced,3298,932,105,132,210,242,1535739624
729007988,CL006_R,,CL006,Traced,354,171,54,100,49,67,474418867
729742221,MDN(PDM13)_L,,MDN,Traced,1239,5,30,,727,4,1186707219
729997357,SIP001_R,aSP14c candidates,SIP001,Traced,361,136,11,8,21,23,427515984
730687491,CRE003_b_R,aSP14b candidates,CRE003_b,Traced,401,181,17,16,118,48,446549801
731357364,SIP002_R,aSP14c candidates,SIP002,Traced,407,147,18,10,61,42,411254917
731688775,SIP001_R,aSP14c candidates,SIP001,Traced,413,156,9,14,39,27,446745326
732038716,(ADL08)_L,,,Traced,295,305,22,13,41,40,258018867
732082028,CL006_R,,CL006,Traced,300,196,80,111,72,84,429627083
733399215,CRE089_R,pMP6a candidates,CRE089,Traced,634,393,2,9,25,2,835010108
734599550,CRE076(PDM08)_L,,CRE076,Traced,1844,1309,56,1,8,11,1388838528
735941254,SMP142(ADM08)_L,,SMP142,Traced,1841,1402,12,9,48,59,1598047565
736174181,CRE006_R,,CRE006,Traced,1166,492,5,11,79,47,1201102363
737486877,CRE003_a_R,aSP14b candidates,CRE003_a,Traced,740,247,27,23,153,62,523281706
760094565,PFL2(PB12b)_L1_C5,PB1-4FB1245LAL,PFL2,Traced,2507,428,57,196,74,224,1535167929
760703506,CRE003_b_R,aSP14b candidates,CRE003_b,Traced,502,221,23,31,175,47,498746956
761040902,CRE002_R,aSP14a candidates,CRE002,Traced,756,385,56,136,169,161,625180672
763752608,,,,Traced,139,176,9,19,36,47,152692511
766186252,SMP385(PDM09)_L,,SMP385,Traced,4511,2809,2,,209,174,2600167473
767174553,CRE058_R,,CRE058,Traced,286,141,3,12,11,26,356082675
767473384,OA-VPM4,,OA-VPM4,Traced,2705,2681,4,2,19,27,2704741582
769263962,AVLP477_R,,AVLP477,Traced,3877,898,2,12,12,30,3183304555
769355285,CRE085(PDM13)_L,,CRE085,Traced,489,321,55,14,4,8,653997083
769605178,CRE047_R,,CRE047,Traced,1053,114,70,22,422,61,469273291
770257411,CRE037_L,,CRE037,Traced,596,161,16,12,12,4,530744513
770930321,CRE037_L,,CRE037,Traced,558,150,13,14,8,5,539301387
770952011,CRE038_L,,CRE038,Traced,507,143,20,14,9,14,557020698
792800570,CL006_R,,CL006,Traced,257,165,42,87,53,70,397959432
793439006,(ADL08)_L,,,Traced,245,224,47,49,101,67,191028812
794462286,CRE003_b_R,aSP14b candidates,CRE003_b,Traced,584,285,11,8,104,27,559849976
794963206,,,,Traced,37,159,3,8,6,29,166231138
796146244,,,,Traced,201,230,9,16,23,16,197699992
796978752,LAL040(ADM03)_L,VeLC-LVe(c),LAL040,Traced,3804,1299,2304,126,405,680,2338124058
798892246,CRE058_R,,CRE058,Traced,338,167,6,8,12,38,404837069
799279899,LAL154(PVM03)_L,,LAL154,Traced,1229,794,25,1,10,3,1511191160
799868224,AOTU019_R,AoSiLVe-LVeSpIp(c),AOTU019,Traced,16870,541,66,280,4522,1,8144664705
800303089,PPL108_R,,PPL108,Traced,5875,2272,634,524,646,491,2618373937
800373114,AVLP477(PDM12)_L,,AVLP477,Traced,323,845,3,15,11,53,1534568346
819725372,CL199_R,,CL199,Traced,3265,863,6,26,18,40,2739280146
826511647,,,,Traced,111,137,10,16,38,51,145164742
826857417,(ADL08)_L,,,Traced,241,261,34,40,76,65,207268472
827422560,PLP187_R,,PLP187,Traced,635,203,2,1,87,105,601736428
829939688,CRE058_R,,CRE058,Traced,447,171,5,14,9,34,468137590
830419511,,,,Traced,263,177,2,22,10,30,257876494
831295271,,,,Traced,217,219,9,8,12,7,211982182
850194651,PFL2(PB12b)_L4_C8,PB1-4FB1245LAL,PFL2,Traced,2910,381,59,193,51,176,1049700272
857210366,(ADL08)_L,,,Traced,125,221,39,71,44,70,177317713
858232878,,,,Traced,108,111,8,12,39,35,128643427
858233599,,,,Traced,82,88,1,3,,2,128531041
858928511,(ADL08)_L,,,Traced,130,292,9,29,12,24,230446095
861073717,CRE012(ADM05)_L,,CRE012,Traced,3864,1148,662,63,827,638,1872147154
861237607,AOTU002_b_R,,AOTU002_b,Traced,620,123,56,108,,1,477723415
862597411,AOTU001_R,,AOTU001,Traced,498,125,62,115,58,1,459493749
862787861,CRE037_R,,CRE037,Traced,247,130,3,4,19,10,379708980
863331646,AOTU003_R,,AOTU003,Traced,610,227,9,32,27,71,530325498
