id,instance,notes,type,status,inputs (#post),outputs (#pre),aL(R) #post,aL(R) #pre,#voxels
798533259,KCab-c_R,,KCab-c,Traced,340,135,141,57,191752241
798537392,KCab-c_R,,KCab-c,Traced,424,149,160,57,231762314
798537456,KCab-c_R,,KCab-c,Traced,351,121,140,43,205284509
798537538,KCab-c_R,,KCab-c,Traced,336,124,130,53,114771294
798537580,KCab-c_R,,KCab-c,Traced,264,108,142,57,91379460
798537638,KCab-c_R,,KCab-c,Traced,481,184,170,79,243251027
798537701,KCab-c_R,,KCab-c,Traced,355,132,135,52,255927369
798869986,KCab-s_R,,KCab-s,Traced,572,259,212,125,299310021
798874090,KCab-s_R,,KCab-s,Traced,547,211,202,99,270481060
799215269,KCab-p_R,,KCab-p,Traced,696,262,273,101,325014264
799219795,KCab-p_R,,KCab-p,Traced,661,250,213,89,362078093
799586652,MBON05(y4>y1y2)(AVM07)_L,,MBON05,Traced,27110,1565,6,2,4762453854
799906141,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,618,245,6,1,406524522
800256481,SMP208_R,,SMP208,Traced,768,123,7,2,365245928
815240159,KCab-m_R,,KCab-m,Traced,526,185,239,97,263206085
815585355,KCab-c_R,,KCab-c,Traced,335,130,127,47,212096810
815921891,KCab-c_R,,KCab-c,Traced,371,145,139,56,222563985
815922095,KCab-s_R,,KCab-s,Traced,571,225,229,101,291707344
815926323,KCab-c_R,,KCab-c,Traced,377,160,125,62,216205834
815926332,KCab-m_R,,KCab-m,Traced,486,191,185,89,250111828
815926346,KCab-c_R,,KCab-c,Traced,413,155,142,59,238880089
815930761,KCab-s_R,,KCab-s,Traced,539,233,212,106,307412322
816219578,KCab-c_R,,KCab-c,Traced,312,145,167,73,102015453
816219622,KCab-c_R,,KCab-c,Traced,293,140,135,63,97059583
816219675,KCab-c_R,,KCab-c,Traced,302,125,154,57,100373645
816254592,KCab-c_R,,KCab-c,Traced,486,168,193,76,262225079
816263443,KCab-c_R,,KCab-c,Traced,365,138,144,54,218908691
816962833,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,571,235,2,2,383807289
817299301,KCa'b'-m_R,,KCa'b'-m,Traced,577,227,18,16,436705876
817985849,KCab-s_R,,KCab-s,Traced,547,218,205,94,268976941
817993932,KCab-s_R,,KCab-s,Traced,613,239,256,114,312610139
818637585,KCab-c_R,,KCab-c,Traced,400,156,178,64,222376386
829015629,KCab-m_R,,KCab-m,Traced,508,191,182,79,261858658
829231385,KCab-m_R,,KCab-m,Traced,479,166,185,68,264165155
829231437,,,,Orphan,20,1,20,1,179731
829231457,KCab-m_R,,KCab-m,Traced,536,197,201,85,279628555
829235909,KCab-p_R,,KCab-p,Traced,756,257,185,81,370647687
829568160,KCab-c_R,,KCab-c,Traced,284,115,156,59,90374983
829572252,KCab-c_R,,KCab-c,Traced,413,157,169,71,239394920
829572451,KCab-c_R,,KCab-c,Traced,364,147,142,62,205049129
829572544,KCab-c_R,,KCab-c,Traced,254,125,118,53,99142480
846270628,KCab-c_R,,KCab-c,Traced,364,143,165,63,204481006
846611449,KCab-c_R,,KCab-c,Traced,424,156,127,54,206031249
846611908,KCab-c_R,,KCab-c,Traced,408,138,163,58,212134921
846616006,KCab-c_R,,KCab-c,Traced,457,174,167,68,225761468
846616159,KCab-m_R,,KCab-m,Traced,579,215,224,89,265039869
846620223,KCab-s_R,,KCab-s,Traced,519,211,179,92,282031547
846620287,KCab-m_R,,KCab-m,Traced,536,222,205,100,266159062
846952407,KCab-m_R,,KCab-m,Traced,510,189,188,86,248528153
846952683,KCab-m_R,,KCab-m,Traced,438,160,164,70,231674849
847250148,KCab-c_R,,KCab-c,Traced,341,159,161,78,113297456
847254513,KCab-c_R,,KCab-c,Traced,275,118,148,55,88604088
847254536,KCab-m_R,,KCab-m,Traced,534,199,208,92,162721568
847254566,KCab-c_R,,KCab-c,Traced,293,119,147,54,97411456
847254581,KCab-m_R,,KCab-m,Traced,471,179,175,74,140296031
847293869,KCab-s_R,,KCab-s,Traced,577,243,199,106,297735426
847297982,KCab-m_R,,KCab-m,Traced,520,193,179,84,266924637
847595624,KCab-c_R,,KCab-c,Traced,289,127,128,61,96835137
847989021,KCab-m_R,,KCab-m,Traced,558,197,208,92,316359111
848287126,KCab-c_R,,KCab-c,Traced,351,138,154,58,214889870
