id,instance,notes,type,status,inputs (#post),outputs (#pre),NO #post,NO #pre,gL(L) #post,gL(L) #pre,#voxels
329566174,OA-VPM3(NO2/NO3)_R,,OA-VPM3,Traced,10075,8632,300,198,644,151,6917059458
519046655,FB1H(NO2/3)_L,CRENO23FB1-4,FB1H,Traced,7950,3818,809,341,28,1,3103732460
1352077058,DSKMP1B_R,,DSKMP1B,Traced,2983,560,13,7,10,19,5492683352
1418618235,SIFa(PDM34),,SIFa,Traced,1592,935,1,,19,7,6190229391
5813061260,OA-VPM3(NO2/NO3)_L,,OA-VPM3,Traced,5122,4069,144,95,211,143,3486100136
5813082722,CRE021(ADM06)_L,aSP14e candidates,CRE021,Traced,2268,635,1,,47,5,1084830460
