id,instance,notes,type,status,inputs (#post),outputs (#pre),PB #post,PB #pre,LAL(R) #post,LAL(R) #pre,#voxels
1259097611,PFR_a(PB11a)_L8_C8,PFR_a,PFR_a,Traced,1283,446,53,1,2,7,342984622
1265399790,,,,Traced,96,162,12,4,13,14,769118726
1283600055,,,,Traced,160,107,40,23,5,5,569342974
1292423935,PFL1(PB12a)_L3_C4,PFLC,PFL1,Traced,1166,283,617,1,60,254,1202334420
1381484065,PFL2(PB12b)_L2_C6,PB1-4FB1245LAL,PFL2,Traced,2912,435,560,2,78,234,1437029317
1418618235,SIFa(PDM34),,SIFa,Traced,1592,935,1,1,3,2,6190229391
1419261730,LAL147_R,,LAL147,Traced,1125,309,2,,340,175,876388824
1447576662,EPG(PB08)_L1,,EPG,Traced,5107,676,299,251,159,103,1568187447
1600079770,PFNv(PB05)_L9_C9,PFNv,PFNv,Traced,864,336,237,45,3,3,532651939
5813012006,EPG(PB08)_L7,EPG,EPG,Traced,3883,539,223,197,142,82,1075949177
5813014505,PFNv(PB05)_L7_C7,PFNv,PFNv,Traced,1009,326,246,40,10,4,508396228
5813022281,EPG(PB08)_L4,EPG,EPG,Traced,3272,543,271,211,130,75,1213503168
5813041365,PFL1(PB12a)_L4_C5,PFLC,PFL1,Traced,1254,313,769,4,47,275,1163111797
5813044670,PFNv(PB05)_L8_C7,PFNv,PFNv,Traced,853,335,172,46,8,3,481368357
5813062805,PFR_a(PB11a)_L7_C7,PFR_a,PFR_a,Traced,1191,380,67,1,5,5,333743157
5813123584,ATL022_R,C-SmSiIb,ATL022,Traced,3219,892,1,,57,6,1579376479
