id,instance,notes,type,status,inputs (#post),outputs (#pre),bL(L) #post,bL(L) #pre,NO #post,NO #pre,#voxels
1047676850,CRE008(ADM02)_L,,CRE008,Traced,557,259,1,,,1,552011293
5813061260,OA-VPM3(NO2/NO3)_L,,OA-VPM3,Traced,5122,4069,4,1,144,95,3486100136
