id,instance,notes,type,status,inputs (#post),outputs (#pre),LAL(R) #post,LAL(R) #pre,#voxels
578254032,SMP151_R,,SMP151,Traced,1731,597,40,56,1457232811
579268807,FB1C(NO1/NO3)_R,LALNOmFB1,FB1C,Traced,3282,1356,512,54,1823088730
579575594,LHPV5e3_R,,LHPV5e3,Traced,6596,2163,184,315,3043835720
579946370,SMP009_R,,SMP009,Traced,743,308,82,4,625972361
579946915,,,,Traced,288,286,8,3,296736741
580732172,SMP471(PDM13)_L,,SMP471,Traced,4250,865,207,144,2075693705
581678043,CRE051_R,,CRE051,Traced,1335,185,6,1,433534708
581746661,SMP048(ADM01)_L,,SMP048,Traced,2927,2401,147,418,4038248023
582027783,CRE044_R,,CRE044,Traced,1332,159,463,113,617254604
582372162,,,,Traced,418,690,19,25,776986494
582709537,CRE044_R,,CRE044,Traced,1250,171,428,140,678420295
601557317,PFNv(PB05)_L6_C5,PFNv,PFNv,Traced,560,216,3,2,358469624
603167111,PS166_R,,PS166,Traced,4886,960,108,402,2949297802
603785283,VP1l+VP3_ilPN,VP3 bilateral PN (Stocker et al. Cell Tissue Res 1990),VP1l+VP3_ilPN,Traced,1647,698,1,2,1016746846
604242162,PFNv(PB05)_L2_C1,PFNv,PFNv,Traced,1137,327,10,1,602925629
607212413,LHAV6c1_R,,LHAV6c1,Traced,473,111,25,1,304954019
607221569,SIP003_b_R,,SIP003_b,Traced,660,162,2,1,375284285
607933758,FB5Q_R,SMPCREFB5d,FB5Q,Traced,2289,499,11,1,972638780
609173201,AVLP574_R,,AVLP574,Traced,1355,360,2,1,1486171407
610299911,CRE003_a_R,aSP14b candidates,CRE003_a,Traced,626,233,80,42,616710720
610312734,CRE023_R,,CRE023,Traced,3901,1023,156,15,2864705468
610321522,SMP151_R,,SMP151,Traced,1801,578,45,49,1444829096
610601810,LHCENT14_R,,LHCENT14,Traced,2481,1032,306,4,2051344074
610981584,CRE003_a_R,aSP14b candidates,CRE003_a,Traced,726,323,86,7,665045439
611323175,mALB1_L,,mALB1,Traced,3606,1903,66,2,3507551623
611629428,CRE077_R,,CRE077,Traced,4028,748,31,2,1769946727
611693656,SMP164_R,,SMP164,Traced,2493,804,646,30,2344057409
611694145,AOTU012_R,aSP24 candidates,AOTU012,Traced,3070,786,53,83,1798622975
611810783,,,,Traced,186,231,10,7,219227916
612004584,CRE069_R,,CRE069,Traced,1221,642,11,4,1365924450
612034653,SMP014_R,,SMP014,Traced,2682,781,301,372,1780823728
612307129,SMP110_R,,SMP110,Traced,1030,144,29,4,467727198
612414168,CRE029_a_L,,CRE029_a,Traced,1164,295,16,5,791330474
612703762,CRE052_R,,CRE052,Traced,1198,190,3,3,498092715
612742165,CRE029_b_L,,CRE029_b,Traced,867,276,10,1,674286684
612742229,CRE028_L,,CRE028,Traced,1052,237,61,25,848505865
612742248,MBON25(y1y2)_L,,MBON25,Traced,1427,232,13,4,665934503
612742298,CRE036_L,,CRE036,Traced,592,134,5,10,567524859
613040803,CRE049_R,,CRE049,Traced,2229,750,101,12,1511757943
613044611,SMP075_R,,SMP075,Traced,2408,458,45,1,1142572517
613066879,SMP113_R,,SMP113,Traced,911,191,212,55,368667780
613083298,CRE030_a_L,,CRE030_a,Traced,1067,220,27,7,748302593
613083317,CRE039_L,,CRE039,Traced,1042,176,164,12,511939729
613083359,CRE029_c_L,,CRE029_c,Traced,1255,301,45,5,760445981
613083375,CRE032_L,,CRE032,Traced,918,233,8,14,653637060
613386220,CRE045_R,,CRE045,Traced,960,139,6,6,497385365
613719036,MBON10(B'1)_R,,MBON10,Traced,1254,198,5,1,380870360
614081151,FB5A_R,LALCREFB5,FB5A,Traced,5503,1054,1290,1,2383963952
633148704,KCg-m_R,,KCg-m,Traced,848,237,1,1,360958036
633148859,KCg-m_R,,KCg-m,Traced,828,262,2,1,364698402
634608015,PFR_a(PB11a)_L2_C2,PFR_a,PFR_a,Traced,1817,502,6,7,533161528
634884062,CL206_R,,CL206,Traced,623,159,14,2,880879260
634962055,EPG(PB08)_L4,EPG,EPG,Traced,3515,530,124,72,1313237477
635062078,DP1m_adPN_R,,DP1m_adPN,Traced,13132,5121,9,3,8069451734
635234035,PFL2(PB12b)_R3_C3,PB1-4FB1245LAL,PFL2,Traced,2968,326,56,145,1102000302
635882644,ATL036_R,,ATL036,Traced,1064,294,196,21,793083725
637487760,,,,Traced,461,447,3,1,472817882
637923999,,,,Traced,179,194,8,17,688764466
638964662,IB021_R,CL-SmIb,IB021,Traced,2133,548,424,1,1327324910
639275368,LHPD5f1_R,,LHPD5f1,Traced,2373,803,7,3,1487498470
639585968,LHCENT11_R,,LHCENT11,Traced,3537,1881,490,61,2934178330
639655157,SMP008_R,aSP14a candidates,SMP008,Traced,673,350,45,78,692009440
639974538,CRE093_R,pMP6a candidates; SmCL-Si(b),CRE093,Traced,1198,161,232,7,620816784
639995972,CRE078_R,,CRE078,Traced,2768,565,13,9,1229087097
641157199,,,,Traced,141,128,6,7,234093042
641709938,SMP112_R,,SMP112,Traced,894,283,50,43,442792479
642387775,SIP023_R,,SIP023,Traced,1865,323,107,84,814132802
642504699,LHPV5e3(PDL05)_L,,LHPV5e3,Traced,2296,1632,84,205,1740055280
642509080,SMP007_R,aSP14d candidates,SMP007,Traced,839,395,42,89,800973603
642694410,SMP476_R,,SMP476,Traced,684,227,31,1,739718668
642715622,FB2C_R,SMPCREFB2_1,FB2C,Traced,1675,305,39,1,756531675
642723975,mALB2_L,,mALB2,Traced,1218,958,75,1,1841140320
642728308,VES006_R,,VES006,Traced,5449,82,1001,8,2048898932
642732835,MBON32(y2)_R,,MBON32,Traced,15863,691,89,1,4367730421
643398197,IB011_R,,IB011,Traced,4851,85,9,5,2763697272
643739027,CRE052_R,,CRE052,Traced,1131,192,56,6,430341174
643773259,CRE034_L,,CRE034,Traced,847,213,95,54,546686963
643847447,MBON32(y2)(ADM08)_L,,MBON32,Traced,9197,1062,819,839,3202870430
644113913,SMP139_L,,SMP139,Traced,919,199,1,2,587047514
644118254,CRE030_b_L,,CRE030_b,Traced,920,246,23,35,795100404
644148647,CRE031_R,,CRE031,Traced,756,196,19,13,583473753
644148661,CRE036_R,,CRE036,Traced,338,130,3,11,458497013
644148705,CRE036_R,,CRE036,Traced,290,135,2,5,468734043
644433538,SMP015_R,,SMP015,Traced,1112,557,154,204,1134835911
644450565,CRE005_R,,CRE005,Traced,1857,858,679,146,1442612455
644788121,LAL007_R,,LAL007,Traced,1344,765,756,124,1701061495
645111897,VES061_R,pIP5a candidates,VES061,Traced,728,225,2,1,559361758
664943511,PFGs(PB10)_R1_C1_irreg,PFGs; Tdc2-PB1/2 candidates,PFGs,Traced,2414,444,50,9,1060006550
665314820,EPG(PB08)_L4,EPG,EPG,Traced,3576,546,132,66,1249529709
665479890,ATL001_R,,ATL001,Traced,1280,533,15,65,1661584909
665820084,CL327_R,,CL327,Traced,1910,373,1,5,1407337214
666308023,PFL3(PB12c)_R1_C2_irreg,PB1-7FB1245LAL,PFL3,Traced,2985,423,104,413,1206186971
666312288,PFR_b(PB11b)_L1_C2,PFR_b,PFR_b,Traced,2657,345,2,1,873271854
666572081,IB048_R,CL-AtIb(b)2,IB048,Traced,2773,648,1574,39,1596136841
666575508,SMP382_R,,SMP382,Traced,522,157,58,7,504659836
666994301,PFL3(PB12c)_R2_C1_irreg,PB1-7FB1245LAL,PFL3,Traced,2935,482,96,452,1314789530
667241165,SMP192_R,,SMP192,Traced,1173,486,244,194,1254196663
667266529,CRE108(SCB032)_R,,CRE108,Traced,2538,839,52,128,2527313023
667603691,ATL035_R,,ATL035,Traced,1272,359,364,28,1101689382
667857582,LHPV7c1_R,,LHPV7c1,Traced,2339,1062,17,6,2219154543
668285416,SMP151(ADM10)_L,,SMP151,Traced,320,550,15,18,642080855
668967527,CRE040_R,CL-Sm(c),CRE040,Traced,14008,1750,2619,199,5225476639
669325882,5-HTPMPV03_R,,5-HTPMPV03,Traced,5606,5728,73,89,7535091818
669649730,LAL022_R,C-LSm,LAL022,Traced,2589,481,678,210,1040173512
669666822,SMP019_R,,SMP019,Traced,542,230,67,6,504435973
669670654,SMP554_R,,SMP554,Traced,3011,909,597,3,2183962121
669965108,CRE076_R,,CRE076,Traced,2873,1348,127,41,2190715571
671342033,SMP489_R,,SMP489,Traced,705,286,50,5,864222603
672006007,CRE053_R,,CRE053,Traced,545,182,10,35,410472425
673413730,SMP008_R,aSP14a candidates,SMP008,Traced,465,317,26,75,536357902
673702721,MBON15(a'1)_R,,MBON15,Traced,1249,231,3,1,483565747
673746277,FB4N_R,SMPCREFB4,FB4N,Traced,6909,727,78,2,1954346392
673763861,AOTU016_R,aSP16a candidates,AOTU016,Traced,1685,336,70,108,881149912
673776769,SMP156_R,,SMP156,Traced,5988,578,701,1,2068609640
673863199,CRE041(ADM10)_L,CL-L(c)2,CRE041,Traced,4230,882,658,701,1990756814
674100160,CRE052_R,,CRE052,Traced,1147,222,48,3,443257839
674108802,SMP112_R,,SMP112,Traced,1291,272,37,53,435133471
674420122,SMP377_R,,SMP377,Traced,763,227,1,1,575760462
674446014,LAL030_a_R,,LAL030_a,Traced,1344,276,288,170,470532941
674760695,SMP016_a_R,,SMP016_a,Traced,667,222,25,2,626245373
674807824,CRE029_a_L,,CRE029_a,Traced,1445,320,50,10,836699232
675127699,CRE045_R,,CRE045,Traced,683,139,18,12,502181344
675127915,SMP006_R,aSP14a candidates,SMP006,Traced,835,446,141,193,728467929
675136878,CRE070_R,,CRE070,Traced,2002,703,88,2,1301294761
675144908,CRE028_L,,CRE028,Traced,1537,302,60,26,867131884
675144948,CRE031_L,,CRE031,Traced,654,198,95,19,598509417
675187509,CRE033_R,,CRE033,Traced,698,177,2,5,611705625
675187572,CRE030_a_R,,CRE030_a,Traced,642,213,13,25,668621996
675187643,CRE030_b_R,,CRE030_b,Traced,784,235,15,31,739581338
675490204,PLP245(SCB011)_R,,PLP245,Traced,3869,1092,196,14,2525137021
675767414,CRE078_R,,CRE078,Traced,2466,557,28,24,1239291667
675784199,CRE089_R,pMP6a candidates,CRE089,Traced,726,327,48,3,737120066
675809900,SMP006_R,aSP14a candidates,SMP006,Traced,673,385,73,145,713613723
675822802,CRE007_R,,CRE007,Traced,924,392,35,26,944486742
676133767,LAL030_a_R,,LAL030_a,Traced,928,242,342,198,412522012
676479156,aIPg2_R,,aIPg2,Traced,800,356,2,1,729531552
677182018,FB2B_b_R,LALCREFB2_1; Tdc2 (TA)-ASM candidates,FB2B_b,Traced,1760,554,301,2,1202233671
696362840,EPG(PB08)_L5,EPG,EPG,Traced,3491,536,145,75,1290354899
696682163,EL(EQ5)_L,EBGAs,EL,Traced,4835,1100,179,39,1281064545
696950427,ATL038_R,,ATL038,Traced,1072,382,50,1,972622314
697001770,EPG(PB08)_L2,EPG,EPG,Traced,4160,494,138,61,1220895242
697316795,ATL029_R,CL-AtIb(b)3,ATL029,Traced,2237,455,761,80,989660841
699324804,SIP081_R,,SIP081,Traced,1714,524,164,13,891515346
699976619,SIP003_b_R,,SIP003_b,Traced,274,124,3,2,265974518
699998408,SMP016_a_R,,SMP016_a,Traced,367,166,62,3,497905872
700002191,mALB5_L,,mALB5,Traced,2113,1064,66,100,2343622489
700321894,CRE053_R,,CRE053,Traced,361,179,29,70,447374160
700356592,SMP018_c_R,,SMP018_c,Traced,884,232,2,1,628081118
701345660,LAL182_R,,LAL182,Traced,2401,363,584,24,1610953879
701371011,SMP370_R,,SMP370,Traced,1736,699,261,316,2101402424
702069970,SMP019_R,,SMP019,Traced,512,233,11,4,454235192
702704906,CRE058_R,,CRE058,Traced,463,147,17,31,394131167
703050435,LAL039_R,,LAL039,Traced,757,151,522,82,260434009
703059097,CRE018_R,,CRE018,Traced,1015,235,115,39,387453191
703179848,SMP148(ADM10)_L,,SMP148,Traced,2816,540,416,513,1240925488
703430259,ATL010_R,,ATL010,Traced,313,109,8,22,389268118
703900244,CRE042(ADM10)_L,,CRE042,Traced,5086,1320,681,329,2183958132
704111734,SMP019_R,,SMP019,Traced,623,220,37,7,467834851
704116248,LAL032_R,,LAL032,Traced,851,204,213,85,363551337
704785058,SMP008_R,aSP14a candidates,SMP008,Traced,476,316,45,87,546805348
704816317,,,,Traced,925,1100,22,41,1390622287
705462899,CRE018_R,,CRE018,Traced,739,230,49,25,412325364
705463175,CRE094_R,,CRE094,Traced,636,145,27,1,530901483
705463539,FB5F_R,SMPCREFB5_2,FB5F,Traced,1966,494,25,1,893326621
705471952,SIP022_R,,SIP022,Traced,1983,454,378,138,845676334
705795727,CRE094_R,,CRE094,Traced,1078,189,48,7,599676330
706176085,,,,Traced,680,2465,6,20,1847833188
706499298,CRE085_R,,CRE085,Traced,749,238,60,12,635770736
706508078,SMP112_R,,SMP112,Traced,1448,254,35,89,437401471
706840303,CRE051_R,,CRE051,Traced,1123,187,5,6,468329707
706862579,CRE059_R,,CRE059,Traced,1466,552,189,22,1186755402
706948318,MBON31(a'1a)(ADM10)_L,,MBON31,Traced,3298,932,210,242,1535739624
707509964,CRE044_R,,CRE044,Traced,1142,131,353,84,534985829
707539688,FB5A_R,LALCREFB5,FB5A,Traced,5980,1099,1472,3,2445429216
707854989,aIPg1_R,,aIPg1,Traced,511,385,12,3,627842765
707858790,aIPg1_R,,aIPg1,Traced,707,379,8,3,602850290
707863263,aIPg1_R,,aIPg1,Traced,679,387,16,10,615409642
708187441,SIP024_R,,SIP024,Traced,893,207,24,3,591336140
724531411,KCg-m_R,,KCg-m,Traced,821,250,3,3,364478609
726352774,PFGs(PB10)_L4_C4,PFGs; Tdc2-PB1/2 candidates,PFGs,Traced,2343,553,52,9,1097656982
727276708,ATL039_R,,ATL039,Traced,1258,409,55,4,824344042
727350004,EL(EQ5)_L,EBGAs,EL,Traced,4545,943,175,34,1178553443
727376283,PFR_a(PB11a)_L4_C4,PFR_a,PFR_a,Traced,1578,447,5,13,550647258
727652372,PS113_R,,PS113,Traced,2504,11,104,1,2686384268
728109792,IB023(PDM12)_L,,IB023,Traced,1701,586,103,174,1177611477
728991288,ATL012_R,,ATL012,Traced,1249,635,36,2,1078867526
729007988,CL006_R,,CL006,Traced,354,171,49,67,474418867
729328076,ATL009_R,,ATL009,Traced,349,143,26,49,444693387
729660692,ATL009_R,,ATL009,Traced,376,142,30,84,452368207
729742221,MDN(PDM13)_L,,MDN,Traced,1239,5,727,4,1186707219
729997357,SIP001_R,aSP14c candidates,SIP001,Traced,361,136,21,23,427515984
730005624,SMP016_b_R,,SMP016_b,Traced,616,173,152,3,566163893
730006122,LAL022_R,C-LSm,LAL022,Traced,2493,493,850,232,1126836352
730014166,ATL033_R,,ATL033,Traced,1690,538,333,24,1588162748
730687491,CRE003_b_R,aSP14b candidates,CRE003_b,Traced,401,181,118,48,446549801
730692294,IB049_R,,IB049,Traced,1478,546,583,43,1230436778
731357364,SIP002_R,aSP14c candidates,SIP002,Traced,407,147,61,42,411254917
731688775,SIP001_R,aSP14c candidates,SIP001,Traced,413,156,39,27,446745326
732038716,(ADL08)_L,,,Traced,295,305,41,40,258018867
732077752,PLP216_R,,PLP216,Traced,2877,1119,136,3,2771333549
732082028,CL006_R,,CL006,Traced,300,196,72,84,429627083
733399215,CRE089_R,pMP6a candidates,CRE089,Traced,634,393,25,2,835010108
733458828,SMP163_R,,SMP163,Traced,6932,1726,2789,120,3678936127
733765528,ATL010_R,,ATL010,Traced,356,130,9,46,437174346
734088804,LAL037_R,,LAL037,Traced,752,191,298,68,319479807
734089294,LAL036_R,,LAL036,Traced,1595,185,789,97,356940976
734408687,CRE091_R,pMP6a candidates,CRE091,Traced,737,342,19,3,753496272
734599550,CRE076(PDM08)_L,,CRE076,Traced,1844,1309,8,11,1388838528
734801540,FB2D_R,LALCREFB2_2,FB2D,Traced,3505,606,267,4,1132954060
734814622,,,,Traced,1542,2900,161,251,2946473871
735470654,AVLP563_R,,AVLP563,Traced,3287,876,19,24,2355820571
735488299,LAL022_R,C-LSm,LAL022,Traced,2492,497,1008,202,1085054100
735941254,SMP142(ADM08)_L,,SMP142,Traced,1841,1402,48,59,1598047565
736140238,CRE080_R,pMP6b candidates,CRE080,Traced,1128,245,41,4,854691700
736173896,CRE052_R,,CRE052,Traced,802,217,19,2,365340763
736174181,CRE006_R,,CRE006,Traced,1166,492,79,47,1201102363
736830579,CRE008_R,,CRE008,Traced,822,242,110,29,609687971
737486877,CRE003_a_R,aSP14b candidates,CRE003_a,Traced,740,247,153,62,523281706
737824168,AOTU028_R,,AOTU028,Traced,778,477,40,105,911477574
737832306,AOTU029_R,,AOTU029,Traced,2537,471,368,367,833146481
739572008,CRE039_L,,CRE039,Traced,782,159,154,13,504905684
758419409,EPG(PB08)_L3,EPG,EPG,Traced,4163,589,128,76,1367317453
758977730,SMP382_R,,SMP382,Traced,547,168,63,3,542157242
759681018,SMP016_b_R,,SMP016_b,Traced,584,160,206,6,568927240
760021137,SMP016_b_R,,SMP016_b,Traced,573,151,104,4,513719955
760094565,PFL2(PB12b)_L1_C5,PB1-4FB1245LAL,PFL2,Traced,2507,428,74,224,1535167929
760358472,SMP017_R,,SMP017,Traced,730,140,106,11,510312108
760690116,CRE066_R,,CRE066,Traced,934,533,132,30,937265171
760703506,CRE003_b_R,aSP14b candidates,CRE003_b,Traced,502,221,175,47,498746956
761040902,CRE002_R,aSP14a candidates,CRE002,Traced,756,385,169,161,625180672
761044410,SMP016_a_R,,SMP016_a,Traced,459,216,75,6,546473510
762058745,LAL032_R,,LAL032,Traced,850,173,254,77,331831506
763086729,LAL032_R,,LAL032,Traced,1013,195,211,84,380902924
763116811,SMP057_R,,SMP057,Traced,2800,401,403,2,1308466794
763752608,,,,Traced,139,176,36,47,152692511
764122498,PLP042_a_R,Pl-CSm,PLP042_a,Traced,430,105,7,3,301735005
764727525,AVLP446_R,,AVLP446,Traced,914,517,83,2,1070675797
764817903,SMP111_R,,SMP111,Traced,1134,277,61,54,513493542
765063664,VES080_R,,VES080,Traced,504,837,1,3,1868985949
765504308,SMP111_R,,SMP111,Traced,923,199,65,49,465044642
765810666,LAL037_R,,LAL037,Traced,797,210,508,95,330358795
766186252,SMP385(PDM09)_L,,SMP385,Traced,4511,2809,209,174,2600167473
766493391,CRE058_R,,CRE058,Traced,486,168,25,44,392887778
766864238,FB2C_R,SMPCREFB2_1,FB2C,Traced,1895,218,314,3,507464057
767174553,CRE058_R,,CRE058,Traced,286,141,11,26,356082675
767473384,OA-VPM4,,OA-VPM4,Traced,2705,2681,19,27,2704741582
767541763,SMP174_R,,SMP174,Traced,320,146,83,1,279033075
767903933,SMP273_R,,SMP273,Traced,1311,851,66,3,1725905249
767904550,CRE021_R,aSP14e candidates,CRE021,Traced,3506,794,281,25,2045947305
768590452,aIPg3_R,,aIPg3,Traced,840,318,1,1,628099355
768884949,CRE057_R,,CRE057,Traced,907,211,23,1,340459302
769191110,AOTU021_R,,AOTU021,Traced,722,161,7,13,553591426
769263962,AVLP477_R,,AVLP477,Traced,3877,898,12,30,3183304555
769355285,CRE085(PDM13)_L,,CRE085,Traced,489,321,4,8,653997083
769605178,CRE047_R,,CRE047,Traced,1053,114,422,61,469273291
769924974,CRE086_R,,CRE086,Traced,606,237,141,30,592780486
770257411,CRE037_L,,CRE037,Traced,596,161,12,4,530744513
770930321,CRE037_L,,CRE037,Traced,558,150,8,5,539301387
770952011,CRE038_L,,CRE038,Traced,507,143,9,14,557020698
787563949,LHPV6q1(PDL27)_L,,LHPV6q1,Traced,455,3377,36,305,3381922338
787762461,ExR2(PPM3-EB-DAN/ring)_L,,ExR2,Traced,1972,1113,180,123,1165397767
788427061,FR1(FQ4)_C4_L,,FR1,Traced,1788,260,2,1,549366898
788461444,PFGs(PB10)_L6_C6,PFGs; Tdc2-PB1/2 candidates,PFGs,Traced,2567,391,22,5,992956241
788794171,EPG(PB08)_L6,EPG,EPG,Traced,3207,445,127,65,871873631
789121913,PFR_a(PB11a)_L4_C4,PFR_a,PFR_a,Traced,1476,438,3,7,500493356
789126240,EPG(PB08)_L5,,EPG,Traced,3024,479,140,67,1177122514
789130596,PFL3(PB12c)_L4_C6,PB1-7FB1245LAL,PFL3,Traced,2851,454,122,419,1194392560
789398359,SMP543_R,,SMP543,Traced,4069,269,980,20,2864339175
790405385,SMP386_R,,SMP386,Traced,4093,1063,17,1,2400848305
790434264,WED097_R,,WED097,Traced,324,135,44,16,425514244
