id,instance,notes,type,status,inputs (#post),outputs (#pre),aL(R) #post,aL(R) #pre,a'L(R) #post,a'L(R) #pre,#voxels
924723528,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,635,272,3,,149,83,458805864
939729237,KCab-s_R,,KCab-s,Traced,651,245,216,99,2,1,324312813
939733918,KCa'b'-m_R,,KCa'b'-m,Traced,632,240,27,11,171,80,426089124
940075056,KCab-p_R,,KCab-p,Traced,726,259,220,82,11,1,361940760
940420292,KCa'b'-m_R,,KCa'b'-m,Traced,618,245,7,3,167,88,428622683
974843892,KCg-d_R,,KCg-d,Traced,506,180,6,3,36,8,242807372
1003474104,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,556,258,1,1,116,69,389074673
1003837184,KCg-d_R,,KCg-d,Traced,525,213,2,1,43,17,286756016
1017819398,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,650,256,3,1,180,95,411433282
1047835635,KCa'b'-m_R,,KCa'b'-m,Traced,666,240,27,7,149,82,437209470
1048172314,PPL103(y2a'1)(PDL05)_L,,PPL103,Traced,12116,3488,11,1,2886,850,4211579375
1049549402,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,611,275,1,1,134,81,443024347
1064891781,KCab-p_R,,KCab-p,Traced,741,271,262,96,6,1,389121740
1110937445,KCg-m_R,,KCg-m,Traced,948,280,10,5,4,2,423471140
1111278454,KCg-m_R,,KCg-m,Traced,886,259,13,5,5,2,352966055
1111947403,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,560,258,3,2,116,67,444926933
1127604950,KCg-d_R,,KCg-d,Traced,535,205,4,2,34,20,327937313
1139667240,MBON13(a'2)_R,,MBON13,Traced,9664,1277,204,21,8448,16,2294799280
1141268794,KCg-d_R,,KCg-d,Traced,516,207,5,1,27,16,345733573
1169657925,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,565,226,1,,161,90,411320098
1169661785,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,637,254,4,4,154,84,448903191
1169999059,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,531,228,7,2,145,70,420909311
1170335262,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,565,222,7,5,90,52,393635014
1171280441,KCg-d_R,,KCg-d,Traced,570,204,1,1,28,10,309649081
1171617407,KCg-d_R,,KCg-d,Traced,562,219,1,,28,11,360684260
1171621616,KCg-d_R,,KCg-d,Traced,514,186,6,3,38,15,317127071
1171621682,KCg-d_R,,KCg-d,Traced,642,233,7,2,39,15,370508699
1200351200,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,595,234,5,1,118,68,350624191
1200687913,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,630,238,2,1,165,91,451995760
1201032707,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,604,239,3,5,116,62,404305308
1234809285,KCg-d_R,,KCg-d,Traced,574,253,6,3,28,16,325950292
1261989183,KCab-s_R,,KCab-s,Traced,617,232,234,104,1,1,230223045
1294465669,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,673,249,7,3,161,85,446959185
1327831724,KCa'b'-m_R,,KCa'b'-m,Traced,630,233,35,16,121,63,429239588
1359553384,KCab-s_R,,KCab-s,Traced,599,259,204,108,1,2,330140818
1418618235,SIFa(PDM34),,SIFa,Traced,1592,935,83,23,,1,6190229391
1515418525,KCa'b'-m_R,,KCa'b'-m,Traced,556,205,45,22,117,55,407157814
5812979069,KCg-m_R,,KCg-m,Traced,718,228,6,4,4,3,358488809
5812979121,KCg-t_R,,KCg-t,Traced,614,226,3,2,22,19,325810486
5812979196,KCg-d_R,,KCg-d,Traced,507,220,2,1,30,13,307301397
5812979314,KCg-d_R,,KCg-d,Traced,504,175,7,2,18,8,317334419
5812980209,KCab-m_R,,KCab-m,Traced,544,211,185,82,2,1,263690557
5812980746,SIP087(PDM22)_L,,SIP087,Traced,7549,3221,1,1,3,1,3325948715
5812980931,KCab-s_R,,KCab-s,Traced,673,279,242,102,3,3,312733936
5812980940,KCab-p_R,,KCab-p,Traced,655,260,211,95,1,1,352333297
5812981068,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,659,260,9,5,170,85,420573073
5812981071,KCa'b'-m_R,,KCa'b'-m,Traced,672,225,12,5,180,86,385557469
5812981072,KCa'b'-m_R,,KCa'b'-m,Traced,649,226,20,10,185,76,393185864
5812981160,KCg-m_R,,KCg-m,Traced,911,269,12,7,6,1,407533415
5812981164,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,563,245,8,4,120,64,447193387
5812981264,MBON17(a'3m)_R,,MBON17,Traced,3819,352,14,,3286,8,679893091
5812981274,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,566,235,3,1,177,100,383887653
5812981275,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,607,259,1,,215,126,487373247
5812981277,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,621,239,1,2,146,90,474294817
5812981290,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,580,240,1,1,165,100,451840346
5812981308,KCa'b'-m_R,,KCa'b'-m,Traced,571,190,19,10,155,69,390005539
5812981320,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,629,272,3,1,164,93,446321131
5812981327,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,754,256,2,,235,97,438108998
5812981340,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,636,258,2,3,97,49,446538834
5812981341,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,647,231,3,,148,86,457579684
5812981348,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,618,233,1,,137,66,441656257
5812981361,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,558,214,3,3,159,72,390359463
5812981379,KCab-s_R,,KCab-s,Traced,570,236,213,99,1,1,300101280
5812981399,KCa'b'-m_R,,KCa'b'-m,Traced,720,216,1,1,220,85,416667601
5812981400,KCa'b'-m_R,,KCa'b'-m,Traced,705,247,12,8,179,95,455420889
5812981401,KCa'b'-m_R,,KCa'b'-m,Traced,671,203,6,2,189,78,418827569
5812981543,MBON17-like(a'2a'3)_R,,MBON17-like,Traced,2963,291,17,,2478,8,509506396
5812981563,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,661,224,5,7,132,66,453767469
5812981564,KCa'b'-m_R,,KCa'b'-m,Traced,642,232,7,3,146,72,391061782
5812981570,KCa'b'-m_R,,KCa'b'-m,Traced,642,249,5,2,193,92,449506766
5812981578,KCa'b'-m_R,,KCa'b'-m,Traced,620,237,1,,200,103,399710677
5812981582,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,688,233,14,4,208,86,413897094
5812981590,KCa'b'-m_R,,KCa'b'-m,Traced,622,196,6,7,162,84,404873540
5812981673,KCab-s_R,,KCab-s,Traced,594,236,208,101,2,1,319135563
5812981680,KCab-p_R,,KCab-p,Traced,734,281,248,103,,1,282267054
5812981689,KCa'b'-m_R,,KCa'b'-m,Traced,744,219,6,2,168,82,328939713
5812981796,KCa'b'-m_R,,KCa'b'-m,Traced,665,226,18,10,172,72,478708280
5812981797,KCa'b'-m_R,,KCa'b'-m,Traced,763,234,7,1,210,91,415406453
5812981800,KCa'b'-m_R,,KCa'b'-m,Traced,651,249,28,17,135,68,399866760
5812981816,KCa'b'-m_R,,KCa'b'-m,Traced,620,214,22,10,139,64,402147766
5812981960,KCa'b'-m_R,,KCa'b'-m,Traced,721,226,12,4,196,71,331043517
5812981961,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,637,239,1,1,179,96,464186591
5812981978,KCa'b'-m_R,,KCa'b'-m,Traced,574,237,14,5,162,85,405213419
5812982086,KCa'b'-m_R,,KCa'b'-m,Traced,649,253,1,,168,80,425938168
5812982087,KCa'b'-m_R,,KCa'b'-m,Traced,572,208,7,4,120,63,414845645
5812982088,KCa'b'-m_R,,KCa'b'-m,Traced,684,234,6,3,222,101,399100731
5812982145,KCa'b'-m_R,,KCa'b'-m,Traced,720,245,1,,204,90,417445903
5812982329,KCa'b'-m_R,,KCa'b'-m,Traced,677,234,25,9,181,72,365482537
5812982350,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,555,210,1,,97,64,408201604
5812982397,KCa'b'-m_R,,KCa'b'-m,Traced,603,223,21,9,144,58,419710605
5812982514,KCab-s_R,,KCab-s,Traced,589,237,224,117,1,1,363758686
5812982620,KCg-m_R,,KCg-m,Traced,757,257,2,4,2,3,398451875
5812982692,KCa'b'-m_R,,KCa'b'-m,Traced,591,226,3,3,172,79,295847214
5812982694,KCa'b'-m_R,,KCa'b'-m,Traced,684,207,2,1,180,74,430418695
5812982706,KCa'b'-m_R,,KCa'b'-m,Traced,672,231,7,4,168,67,418473741
5812982725,KCa'b'-m_R,,KCa'b'-m,Traced,635,230,3,1,169,85,409899062
5812982780,KCab-p_R,,KCab-p,Traced,700,235,192,78,12,1,384605451
5812983112,KCa'b'-m_R,,KCa'b'-m,Traced,647,251,1,,186,81,411342672
5812983174,KCa'b'-m_R,,KCa'b'-m,Traced,681,235,21,3,141,73,386511183
5812983451,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,634,262,4,1,200,114,436809854
5812983455,KCab-m_R,,KCab-m,Traced,518,191,208,92,,1,303273292
5812983571,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,579,248,4,1,114,66,294590390
5812983645,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,651,257,7,2,143,82,449532868
5812983646,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,595,256,2,,131,62,453811862
5812983837,KCab-p_R,,KCab-p,Traced,745,255,215,89,,1,352020440
5812983866,KCa'b'-m_R,,KCa'b'-m,Traced,596,208,2,,179,75,415440030
5812983869,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,606,213,6,2,223,116,436690709
5813009620,SMP109_R,,SMP109,Traced,6129,1399,2,,,1,2742026328
5813010617,KCab-p_R,,KCab-p,Traced,675,277,169,87,7,2,391055197
5813019513,PPL105(a'2a2)_R,,PPL105,Traced,7639,1726,2662,731,1956,640,2064191600
5813019607,PPL106(a3)(PDL05)_L,,PPL106,Traced,6476,1564,3696,923,3,5,1814973075
5813019609,KCab-s_R,,KCab-s,Traced,620,266,209,111,3,2,318658265
5813019976,PPL104(a'3)(PDL05)_L,,PPL104,Traced,2138,770,3,1,785,344,869209965
5813020041,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,613,209,2,1,124,66,434014408
5813020057,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,658,256,1,1,225,104,441233004
5813020274,KCab-m_R,,KCab-m,Traced,561,219,231,96,1,1,266628780
5813020828,MBON18(a2sc)_R,,MBON18,Traced,13026,673,12193,63,39,4,1926627703
5813020988,LHMB1_R,,LHMB1,Traced,6859,1312,13,3,795,286,2286240275
5813021033,KCab-p_R,,KCab-p,Traced,804,252,252,92,4,2,410859481
5813021174,KCa'b'-m_R,,KCa'b'-m,Traced,605,262,14,10,167,91,441153613
5813021301,KCab-s_R,,KCab-s,Traced,565,224,219,102,2,1,323412120
5813021642,KCa'b'-m_R,,KCa'b'-m,Traced,665,211,3,1,193,83,373756130
5813021645,KCa'b'-m_R,,KCa'b'-m,Traced,672,235,26,13,152,65,394108433
5813021736,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,605,219,3,,187,86,454869357
5813021766,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,649,240,2,,178,94,394506432
5813021772,KCa'b'-m_R,,KCa'b'-m,Traced,712,230,21,11,143,69,411808930
5813021786,KCa'b'-m_R,,KCa'b'-m,Traced,718,225,1,,204,93,428081193
5813021788,KCab-p_R,,KCab-p,Traced,713,247,223,84,2,1,417804388
5813021805,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,704,267,2,1,163,92,478993126
5813021808,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,591,274,5,2,137,88,455112693
5813021809,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,663,276,2,1,174,91,467946092
5813021832,KCa'b'-m_R,,KCa'b'-m,Traced,655,255,4,4,166,98,405326877
5813021856,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,668,254,1,1,150,82,485815034
5813022037,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,655,236,1,1,134,64,431474709
5813022117,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,659,215,10,4,177,80,434303309
5813022234,MBON30(y1y2y3)_R,,MBON30,Traced,13786,1430,4,2,52,1,2864745122
5813022424,PPL103(y2a'1)_R,,PPL103,Traced,15227,3375,20,4,2837,682,5444071374
5813032811,KCa'b'-m_R,,KCa'b'-m,Traced,616,210,13,6,148,82,388570181
5813032876,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,656,232,1,1,173,91,519684879
5813032943,KCab-p_R,,KCab-p,Traced,734,252,207,82,8,2,339903729
5813033127,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,616,243,4,1,161,89,486240013
5813035613,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,568,252,1,,106,75,463866310
5813047220,KCa'b'-m_R,,KCa'b'-m,Traced,683,245,20,5,134,59,427955175
5813047221,KCa'b'-m_R,,KCa'b'-m,Traced,631,224,37,13,148,59,437993906
5813047790,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,580,209,1,,126,73,431318660
