id,instance,notes,type,status,inputs (#post),outputs (#pre),aL(L) #post,aL(L) #pre,b'L(R) #post,b'L(R) #pre,#voxels
424767514,MBON11(y1pedc>a/B)_R,,MBON11,Traced,27642,1646,27,8,35,37,5265462913
425276848,DPM_L,,DPM,Traced,30007,7088,1,,3,2,6483095365
517518166,MBON11(y1pedc>a/B)(ADM05)_L,,MBON11,Traced,1160,1378,131,51,11,26,1964048244
642702809,CRE050_R,not yet identified MBON candidates,CRE050,Traced,4620,620,2,,28,1,2023774583
1328522741,PAM10(B1)_L,,PAM10,Traced,1027,321,1,,15,7,355086914
