id,instance,notes,type,status,inputs (#post),outputs (#pre),PB #post,PB #pre,aL(R) #post,aL(R) #pre,#voxels
329566174,OA-VPM3(NO2/NO3)_R,,OA-VPM3,Traced,10075,8632,3,3,18,17,6917059458
699031185,SIFa(PDM34),,SIFa,Traced,1080,777,39,18,95,25,5702733325
1418618235,SIFa(PDM34),,SIFa,Traced,1592,935,1,1,83,23,6190229391
