id,instance,notes,type,status,inputs (#post),outputs (#pre),gL(R) #post,gL(R) #pre,PB #post,PB #pre,#voxels
329566174,OA-VPM3(NO2/NO3)_R,,OA-VPM3,Traced,10075,8632,424,316,3,3,6917059458
1265399790,,,,Traced,96,162,2,1,12,4,769118726
1418618235,SIFa(PDM34),,SIFa,Traced,1592,935,77,35,1,1,6190229391
