id,instance,notes,type,status,inputs (#post),outputs (#pre),aL(R) #post,aL(R) #pre,PB #post,PB #pre,#voxels
329566174,OA-VPM3(NO2/NO3)_R,,OA-VPM3,Traced,10075,8632,18,17,3,3,6917059458
699031185,SIFa(PDM34),,SIFa,Traced,1080,777,95,25,39,18,5702733325
1418618235,SIFa(PDM34),,SIFa,Traced,1592,935,83,23,1,1,6190229391
