id,instance,notes,type,status,inputs (#post),outputs (#pre),b'L(R) #post,b'L(R) #pre,b'L(L) #post,b'L(L) #pre,#voxels
513451621,PAM11(a1)_R,,PAM11,Traced,673,180,22,5,16,5,428816755
517207902,PAM05(B'2p)_R,,PAM05,Traced,1380,352,598,233,257,109,459070784
517518166,MBON11(y1pedc>a/B)(ADM05)_L,,MBON11,Traced,1160,1378,11,26,40,71,1964048244
520380132,SMP127_L,,SMP127,Traced,508,457,19,20,30,19,478509017
548549000,KCa'b'-m_R,,KCa'b'-m,Traced,596,209,239,105,36,12,387116321
548553494,KCa'b'-m_R,,KCa'b'-m,Traced,625,234,238,102,61,25,437355377
549610772,PAM05(B'2p)_R,,PAM05,Traced,1427,327,547,215,293,100,423011775
550408954,PAM01_a(y5)_L,,PAM01_a,Traced,1203,163,17,,22,3,305318308
551113395,PAM10(B1)_L,,PAM10,Traced,1695,510,18,8,22,4,503305654
551445253,PAM04_a(B2)_L,,PAM04_a,Traced,1266,271,14,4,27,3,307715800
551790504,PAM04_a(B2)_L,,PAM04_a,Traced,2460,400,12,1,17,3,382607989
551790913,PAM04_a(B2)_L,,PAM04_a,Traced,2194,457,7,3,12,2,403977461
578694777,PAM11(a1)_L,,PAM11,Traced,753,226,21,8,17,9,399312668
580317662,PAM08_c(y4)_R,,PAM08_c,Traced,1866,319,53,21,10,4,417405171
582139830,PAM04_a(B2)_L,,PAM04_a,Traced,1306,281,13,3,22,2,324988292
582148591,PAM10(B1)_L,,PAM10,Traced,1381,418,10,9,4,1,434243909
612638791,PAM04_a(B2)_R,,PAM04_a,Traced,608,136,7,4,2,1,261596710
612738462,MBON03(B'2mp)_L,,MBON03,Traced,17488,1374,15686,131,1078,9,4377863012
613040803,CRE049_R,,CRE049,Traced,2229,750,3,,14,4,1511757943
640630581,CRE058_R,,CRE058,Traced,350,160,3,,1,2,394843136
641688553,CRE042_R,,CRE042,Traced,6850,1277,47,1,16,2,2405591250
642660081,LHAV9a1_b_R,,LHAV9a1_b,Traced,459,219,3,5,1,1,362337911
643501489,PAM02(B'2a)_L,,PAM02,Traced,1213,188,291,55,528,98,299806071
643523134,PAM05(B'2p)_L,,PAM05,Traced,1224,379,337,135,709,231,383554998
643535876,PAM10(B1)_L,,PAM10,Traced,1490,423,8,7,19,3,463952694
644417074,PAM06_b(B'2m)_R,,PAM06_b,Traced,1138,120,648,90,184,21,315506243
644896959,PAM09(B1ped)_L,,PAM09,Traced,710,227,13,6,22,6,275698658
662409505,KCa'b'-m_R,,KCa'b'-m,Traced,590,221,239,106,80,34,409839983
675451588,PAM14(B'1m)_R,,PAM14,Traced,606,207,247,121,115,57,279502184
675468771,PAM13(B'1ap)_R,,PAM13,Traced,775,227,225,109,164,76,318884796
675602461,PAM09(B1ped)_L,,PAM09,Traced,634,210,2,1,19,1,251389374
675763039,PAM06_a(B'2m)_R,,PAM06_a,Traced,1447,402,681,266,304,128,502684880
676612729,PAM04_a(B2)_L,,PAM04_a,Traced,836,225,5,2,11,2,277333760
676616719,PAM04_a(B2)_L,,PAM04_a,Traced,918,207,2,,10,1,220213685
693927941,ALIN1_R,,ALIN1,Traced,1553,406,28,27,22,22,2113783525
702704906,CRE058_R,,CRE058,Traced,463,147,1,3,1,2,394131167
703900244,CRE042(ADM10)_L,,CRE042,Traced,5086,1320,1,3,24,1,2183958132
706819341,PAM13(B'1ap)_R,,PAM13,Traced,754,215,187,99,174,83,296744630
707647321,PAM04_a(B2)_L,,PAM04_a,Traced,650,142,4,1,12,2,188620262
735112319,PAM14(B'1m)_R,,PAM14,Traced,539,174,266,118,71,29,293613873
735600320,PAM06_a(B'2m)_L,,PAM06_a,Traced,1138,357,280,123,642,227,391883055
737167616,PAM02(B'2a)_R,,PAM02,Traced,1376,231,638,155,284,70,360759597
760690116,CRE066_R,,CRE066,Traced,934,533,11,3,14,3,937265171
765457262,PAM06_a(B'2m)_R,,PAM06_a,Traced,1430,310,457,187,288,115,389761769
766298734,PAM11(a1)_L,,PAM11,Traced,293,156,12,5,11,6,271683779
766493391,CRE058_R,,CRE058,Traced,486,168,3,,,1,392887778
766838498,PAM14(B'1m)_R,,PAM14,Traced,635,215,269,123,125,65,314052609
767174553,CRE058_R,,CRE058,Traced,286,141,1,1,3,3,356082675
767494105,KCab-p_R,,KCab-p,Traced,633,218,5,1,11,3,365582357
767671354,PAM14(B'1m)_L,,PAM14,Traced,360,159,150,87,132,53,163956942
769018494,PAM13(B'1ap)_L,,PAM13,Traced,490,184,178,101,145,54,249887631
770692923,PAM05(B'2p)_L,,PAM05,Traced,1080,327,311,120,594,193,363160684
797687628,PAM14(B'1m)_L,,PAM14,Traced,297,107,176,84,23,4,122502582
798027992,PAM06_a(B'2m)_L,,PAM06_a,Traced,759,305,206,116,313,183,370830372
798356481,PAM08_b(y4)_L,,PAM08_b,Traced,1248,244,2,,5,1,337662143
798585556,PAM06_b(B'2m)_L,,PAM06_b,Traced,959,114,172,22,709,89,214518180
798693540,PAM06_a(B'2m)_L,,PAM06_a,Traced,1006,387,354,163,468,207,408399939
799362484,PAM14(B'1m)_L,,PAM14,Traced,561,181,224,106,144,49,236333646
799578347,PAM13(B'1ap)_R,,PAM13,Traced,975,248,302,123,219,97,354640313
799919294,PAM14(B'1m)_R,,PAM14,Traced,544,185,240,113,85,42,305810666
800264315,PAM04_a(B2)_R,,PAM04_a,Traced,1548,268,18,3,24,3,456132824
800622401,PAM13(B'1ap)_R,,PAM13,Traced,766,197,230,101,169,69,280922115
800743420,PAM04_a(B2)_L,,PAM04_a,Traced,546,156,7,3,13,4,135248805
829261936,PAM12(y3)_R,,PAM12,Traced,1336,229,4,2,7,1,440919426
829379400,PAM14(B'1m)_L,,PAM14,Traced,331,124,202,91,47,23,208247526
829939688,CRE058_R,,CRE058,Traced,447,171,2,4,3,2,468137590
830276571,PAM05(B'2p)_R,,PAM05,Traced,1135,314,339,189,257,107,425507826
831321033,LAL110_R,,LAL110,Traced,713,214,1,1,4,1,474498142
831325065,SMP174_R,,SMP174,Traced,208,110,3,,3,1,276467420
834044577,PAM06_b(B'2m)_R,,PAM06_b,Traced,910,139,361,85,309,50,275767269
858725815,PAM03(B2B'2a)_L,,PAM03,Traced,445,109,28,10,143,32,159577026
859765252,PAM06_a(B'2m)_L,,PAM06_a,Traced,935,320,246,114,562,202,324852717
860983686,PAM06_a(B'2m)_R,,PAM06_a,Traced,1220,295,456,185,276,107,370583721
862705904,PAM12(y3)_R,,PAM12,Traced,1178,193,8,1,2,1,402053568
890118683,PAM14(B'1m)_L,,PAM14,Traced,313,159,177,112,81,33,200921181
890787905,,,,Traced,198,155,9,2,1,1,123123672
893149866,PAM12(y3)_L,,PAM12,Traced,966,216,4,2,8,1,258249835
893158121,PAM04_a(B2)_L,,PAM04_a,Traced,220,59,20,7,14,7,104991789
893710296,PAM14(B'1m)_R,,PAM14,Traced,557,170,172,87,106,50,270045664
923027316,PAM14(B'1m)_R,,PAM14,Traced,658,216,259,124,113,62,325934165
923385340,PAM05(B'2p)_R,,PAM05,Traced,1021,323,335,157,263,138,384780795
923726321,PAM04_a(B2)_R,,PAM04_a,Traced,2114,345,10,,9,1,486729507
923869685,PAM06_a(B'2m)_L,,PAM06_a,Traced,969,364,286,142,530,211,422878696
954222134,PAM14(B'1m)_L,,PAM14,Traced,437,170,182,89,143,59,244379748
955464899,PAM12(y3)_R,,PAM12,Traced,1174,183,4,1,6,3,382633721
955591114,PAM14(B'1m)_L,,PAM14,Traced,362,178,187,102,109,48,192486246
984453829,,,,Traced,659,689,6,,12,1,584836699
984799284,CRE060_R,,CRE060,Traced,844,393,2,,6,3,738647628
985131499,MBON22(calyx)(PVL06)_L,,MBON22,Traced,685,760,9,,21,16,977135458
986828383,PAM13(B'1ap)_R,,PAM13,Traced,1117,228,293,125,196,75,389938087
987997896,PAM13(B'1ap)_L,,PAM13,Traced,735,199,172,78,216,70,294789403
1015484487,,,,Traced,623,710,5,3,,1,523595977
1015825657,,,,Traced,168,299,2,,4,2,271480057
1016114585,PAM11(a1)_L,,PAM11,Traced,513,193,26,10,22,6,253818480
1016118449,PAM11(a1)_L,,PAM11,Traced,538,203,12,4,20,8,307010567
1016166622,CRE067_R,,CRE067,Traced,1039,396,3,,5,4,735317516
1016506999,LAL198_R,,LAL198,Traced,2427,780,3,1,3,3,1609357758
1016835041,MBON09(y3B'1)(AVM17)_L,,MBON09,Traced,20281,1291,5817,59,94,1,2083130629
1016839809,PAM06_a(B'2m)_R,,PAM06_a,Traced,1467,301,380,189,253,100,442006674
1017992752,PAM06_a(B'2m)_L,,PAM06_a,Traced,887,365,304,141,528,219,303080957
1043151516,,,,Traced,156,246,4,4,1,3,889810212
1045832508,LAL075(AVM07)_L,L-LC(c)2,LAL075,Traced,1095,596,1,1,1,1,760736824
1047210325,,,,Traced,258,404,2,,3,1,324251843
1047489962,PAM11(a1)_L,,PAM11,Traced,658,200,7,6,11,4,327454873
1048004460,PAM09(B1ped)_L,,PAM09,Traced,743,225,13,4,22,5,233922701
1048172314,PPL103(y2a'1)(PDL05)_L,,PPL103,Traced,12116,3488,300,72,172,24,4211579375
1048207713,PAM09(B1ped)_R,,PAM09,Traced,938,203,25,4,7,3,430816435
1048215779,MBON09(y3B'1)(AVM17)_L,,MBON09,Traced,20255,1451,6260,92,84,6,2226046804
1050585709,PAM03(B2B'2a)_R,,PAM03,Traced,336,80,66,37,22,13,149916255
1077847238,PAM11(a1)_R,,PAM11,Traced,1325,226,7,4,17,4,551823489
1078007730,PAM04_a(B2)_L,,PAM04_a,Traced,2210,396,7,1,18,2,367958807
1078572735,PAM04_a(B2)_R,,PAM04_a,Traced,338,71,7,2,4,1,135784276
1078693835,MBON09(y3B'1)_R,,MBON09,Traced,23111,1297,10,,5210,87,2791162363
1079707882,PAM04_a(B2)_L,,PAM04_a,Traced,289,75,11,3,17,4,96768615
1081086613,PAM12(y3)_L,,PAM12,Traced,656,141,1,1,4,3,283506292
1081767446,PAM05(B'2p)_L,,PAM05,Traced,547,239,123,88,256,135,292571668
1109568718,PAM11(a1)_L,,PAM11,Traced,706,219,5,3,17,5,339562986
1109957857,PAM01_a(y5)_R,,PAM01_a,Traced,1749,157,10,,1,1,437796532
1110298200,PAM02(B'2a)_R,,PAM02,Traced,1403,217,606,148,331,60,326742368
1110972158,PAM10(B1)_R,,PAM10,Traced,2803,504,19,2,6,4,720192159
1139369242,,,,Traced,99,84,8,,1,3,84151706
1139395797,,,,Traced,116,93,14,6,2,2,89822411
1139724251,PAM06_a(B'2m)_L,,PAM06_a,Traced,945,355,298,151,493,198,373161019
1140655376,PAM02(B'2a)_R,,PAM02,Traced,1335,198,475,113,218,36,297452211
1140750808,PAM04_a(B2)_L,,PAM04_a,Traced,1220,221,3,,20,1,258964557
1140996390,PAM04_a(B2)_R,,PAM04_a,Traced,2268,365,19,2,9,4,498035936
1141009503,PAM08_b(y4)_L,,PAM08_b,Traced,475,203,2,1,4,6,128056257
1141328881,PAM04_a(B2)_R,,PAM04_a,Traced,1492,265,25,4,23,5,474678964
1141329053,PAM04_a(B2)_R,,PAM04_a,Traced,1824,278,21,2,8,1,408798680
1141329227,PAM13(B'1ap)_R,,PAM13,Traced,964,211,314,121,170,66,346624547
1141337557,PAM08_d(y4)_R,,PAM08_d,Traced,1707,334,259,103,138,52,427493806
1169989698,PAM05(B'2p)_R,,PAM05,Traced,1698,402,737,254,371,143,482724528
1169989859,PAM05(B'2p)_R,,PAM05,Traced,624,255,203,131,163,86,326669074
1169993905,PAM05(B'2p)_R,,PAM05,Traced,1620,331,629,213,399,111,410286745
1170322501,PAM06_a(B'2m)_R,,PAM06_a,Traced,1190,304,304,183,224,110,419481355
1170348225,PAM06_a(B'2m)_L,,PAM06_a,Traced,1283,435,430,181,657,251,514047086
1170400248,APL fragment?,,,Traced,2026,235,481,47,1453,183,293828523
1170404875,PAM05(B'2p)_R,,PAM05,Traced,682,237,177,126,167,95,319299901
1170412847,,,,Traced,2034,249,142,19,1828,230,280315243
1170413425,PAM06_a(B'2m)_R,,PAM06_a,Traced,1384,411,490,235,378,161,476191448
1171436073,PAM13(B'1ap)_L,,PAM13,Traced,638,221,222,107,259,99,272074555
1171690432,PAM02(B'2a)_R,,PAM02,Traced,1506,171,653,119,317,30,324421746
1171690479,PAM05(B'2p)_R,,PAM05,Traced,1518,294,520,169,279,72,385559301
1171785552,PAM13(B'1ap)_L,,PAM13,Traced,662,221,193,99,276,114,282949058
1172372655,PAM02(B'2a)_R,,PAM02,Traced,1472,209,644,145,392,52,330410034
1172774470,PAM15_a(y5B'2a)_L,,PAM15_a,Traced,1480,187,164,35,395,64,311773637
1173007139,PAM14(B'1m)_R,,PAM14,Traced,569,207,308,153,76,41,260414997
1173011450,PAM13(B'1ap)_L,,PAM13,Traced,535,210,184,95,198,102,170468316
1200687716,PAM06_a(B'2m)_L,,PAM06_a,Traced,833,327,248,110,406,158,318516629
1200743811,KCa'B'_L?,,,Traced,313,124,41,19,266,103,107850485
1200752926,PAM06_a(B'2m)_L,,PAM06_a,Traced,696,254,194,96,348,156,275900597
1200753147,PAM06_b(B'2m)_L,,PAM06_b,Traced,876,119,308,50,481,69,203322497
1200753289,PAM06_a(B'2m)_L,,PAM06_a,Traced,847,264,274,115,426,147,318757506
1202462198,PAM02(B'2a)_L,,PAM02,Traced,1125,202,352,82,570,114,211284785
1203066201,PAM02(B'2a)_R,,PAM02,Traced,1315,198,528,134,360,58,330545885
1203066222,PAM04_a(B2)_R,,PAM04_a,Traced,2490,381,25,1,11,2,515766690
1203066401,PAM04_a(B2)_R,,PAM04_a,Traced,2309,357,9,1,13,1,444720536
1204391417,PAM13(B'1ap)_R,,PAM13,Traced,1004,243,299,141,170,77,366409907
1204547624,PAM12(y3)_L,,PAM12,Traced,828,213,2,2,21,2,296229744
1204875505,PAM12(y3)_L,,PAM12,Traced,864,203,3,,3,1,228273943
1206114100,PAM12(y3)_R,,PAM12,Traced,764,137,1,,,1,308877449
1231299343,PAM11(a1)_R,,PAM11,Traced,1895,315,25,5,15,3,659070629
1231744096,,,,Traced,641,75,206,21,429,54,110174320
1231778487,KCa'B'_L?,,,Traced,336,142,103,41,233,100,126618559
1231778565,KCa'B'_L?,,,Traced,242,108,47,16,194,92,95739169
1232115209,KCa'B'_L?,,,Traced,275,98,80,34,194,64,93548765
1233436396,PAM06_b(B'2m)_R,,PAM06_b,Traced,924,121,409,79,246,37,240450436
1233436426,PAM03(B2B'2a)_R,,PAM03,Traced,703,144,47,16,44,10,239327987
1233501275,PAM13(B'1ap)_L,,PAM13,Traced,530,212,168,87,205,96,239615319
1233505806,PAM02(B'2a)_L,,PAM02,Traced,1339,202,447,87,550,104,294286432
1234481054,PAM01_a(y5)_R,,PAM01_a,Traced,1004,155,12,2,8,2,273212378
1234571727,,,,Traced,824,98,66,6,743,92,112323335
1234731487,PAM14(B'1m)_L,,PAM14,Traced,277,117,190,97,18,2,121961389
1262412229,KCa'B'_L?,,,Traced,279,104,78,29,201,75,85909220
1262424913,KCa'B'_L?,,,Traced,246,103,94,36,151,67,86245460
1262494423,KCa'B'_L,,,Traced,268,113,35,13,232,97,93094745
1262744824,PAM06_b(B'2m)_L,,PAM06_b,Traced,820,97,330,43,385,52,187054242
1263098627,KCa'B'_L?,,,Traced,248,108,60,27,187,80,95574960
1263115934,KCa'B'_L?,,,Traced,310,137,73,38,235,99,109303094
1263150527,KCa'B'_L?,,,Traced,243,99,71,34,170,64,106535146
1263832477,PAM03(B2B'2a)_L,,PAM03,Traced,571,107,30,10,21,7,145351462
1265261328,KCa'B'_L?,,,Traced,238,107,59,27,178,77,94529484
1265265561,KCa'B'_L?,,,Traced,315,128,69,29,243,98,100552842
1266871604,PAM01_a(y5)_R,,PAM01_a,Traced,1750,149,11,,2,2,416278069
1286315478,FB2B_a_L,LALCREFB2_1; Tdc2 (TA)-ASM candidates,FB2B_a,Traced,2212,893,6,3,7,1,905540252
1293451424,KCa'B'_L?,,,Traced,211,97,66,22,141,72,88610144
1293507539,KCa'B'_L?,,,Traced,183,74,41,17,136,57,78579161
1293511727,KCa'B'_L?,,,Traced,257,84,57,18,200,66,90097396
1293516024,KCa'B'_L?,,,Traced,261,110,68,30,187,78,93745473
1293524890,KCa'B'_L?,,,Traced,248,95,112,41,133,50,101623491
1293848435,KCa'B'_L,,,Traced,278,37,58,11,212,26,47542183
1293848553,KCa'B'_L?,,,Traced,245,104,81,38,158,64,93240384
1294534661,,,,Traced,818,107,206,20,602,87,117489620
1295501882,PAM02(B'2a)_R,,PAM02,Traced,1283,199,588,131,298,60,317425488
1295566429,PAM02(B'2a)_L,,PAM02,Traced,1009,218,322,81,560,134,267245995
1296291825,KCa'B'_L?,,,Traced,295,121,82,33,213,88,104421419
1297815807,PAM10(B1)_L,,PAM10,Traced,1604,427,14,4,8,1,472380184
1317712712,FB2B_a_L,LALCREFB2_1; Tdc2 (TA)-ASM candidates,FB2B_a,Traced,2131,874,6,1,12,2,917030170
1324222950,KCa'B'_L?,,,Traced,278,113,75,26,203,85,86541456
1324904932,KCa'B'_L?,,,Traced,302,137,80,46,212,89,102727730
1326264840,LNO3(LAL-NO2bilateral)_R,LNO3,LNO3,Traced,2082,502,6,5,14,18,1389645128
1328513713,PAM10(B1)_L,,PAM10,Traced,1522,456,28,14,19,2,513933742
1328522741,PAM10(B1)_L,,PAM10,Traced,1027,321,15,7,12,3,355086914
1357999210,APL fragment_L,,,Traced,877,104,205,23,663,81,135266925
1387583729,PAM03(B2B'2a)_L,,PAM03,Traced,338,90,10,3,13,3,119268985
1387583807,PAM03(B2B'2a)_R,,PAM03,Traced,538,121,32,10,40,14,193662875
1418351262,PAM04_a(B2)_R,,PAM04_a,Traced,555,137,4,2,2,1,239134628
1418618235,SIFa(PDM34),,SIFa,Traced,1592,935,17,7,8,9,6190229391
1419019956,PAM04_a(B2)_R,,PAM04_a,Traced,1655,255,14,1,10,1,383407340
5812979156,PAM15_b(y5B'2a)_R,,PAM15_b,Traced,1339,152,566,66,177,25,321368178
5812979168,PAM06_b(B'2m)_L,,PAM06_b,Traced,1195,248,339,66,671,179,394753648
5812979170,PAM01_a(y5)_L,,PAM01_a,Traced,1017,133,5,,15,1,259131792
5812979271,PAM06_a(B'2m)_R,,PAM06_a,Traced,1215,314,508,194,343,115,434263984
5812979301,KCa'B'_L?,,,Traced,296,100,82,26,213,74,115296115
5812979558,PAM01_b(y5)_L,,PAM01_b,Traced,906,173,1,,13,1,240183413
5812979693,KCa'B'_L?,,,Traced,375,122,65,25,305,92,107809791
5812980567,PAM09(B1ped)_R,,PAM09,Traced,1252,241,15,5,4,1,431109241
5812980746,SIP087(PDM22)_L,,SIP087,Traced,7549,3221,10,6,26,5,3325948715
5812981363,KCa'B'_L,,,Traced,319,109,64,26,250,81,114946857
5812981641,PAM08_d(y4)_L,,PAM08_d,Traced,1423,333,57,21,186,65,253723732
5812982091,PAM06_b(B'2m)_R,,PAM06_b,Traced,1127,140,623,88,263,51,266987071
5812982118,PAM06_a(B'2m)_R,,PAM06_a,Traced,1274,334,457,211,272,115,428564958
5812982120,PAM05(B'2p)_R,,PAM05,Traced,794,237,253,121,189,92,311663944
5812982727,PAM02(B'2a)_L,,PAM02,Traced,1214,193,405,90,632,101,214337914
5812982779,PAM01_b(y5)_R,,PAM01_b,Traced,1442,163,321,27,47,2,343660367
5812983399,PAM05(B'2p)_L,,PAM05,Traced,1338,327,268,105,683,198,358512014
5812983418,PAM04_a(B2)_L,,PAM04_a,Traced,712,153,6,1,14,3,200836501
5812983533,PAM11(a1)_R,,PAM11,Traced,1022,216,18,8,10,3,502377982
5812983811,CRE066(AVM16)_L,,CRE066,Traced,299,435,9,,4,3,354635105
5812989588,PAM03(B2B'2a)_R,,PAM03,Traced,373,91,76,29,33,18,151824685
5812996052,,,,Traced,609,368,5,9,11,13,688274394
5813012950,,,,Traced,119,90,5,,7,2,93513623
5813021261,PAM11(a1)_L,,PAM11,Traced,395,160,20,6,11,3,248528210
5813021778,KCa'b'-m_R,,KCa'b'-m,Traced,597,227,305,104,32,12,437684352
5813021844,PAM08_c(y4)_L,,PAM08_c,Traced,1573,280,1,2,10,7,241663552
5813022201,PAM06_a(B'2m)_R,,PAM06_a,Traced,1403,306,528,202,284,100,397327304
5813022234,MBON30(y1y2y3)_R,,MBON30,Traced,13786,1430,4,,13,21,2864745122
5813022341,MBON02(B2B'2a)_L,,MBON02,Traced,17937,99,508,,806,4,3410455915
5813022424,PPL103(y2a'1)_R,,PPL103,Traced,15227,3375,443,96,61,13,5444071374
5813022896,MBON21(y4y5)_R,,MBON21,Traced,12515,1168,44,2,3,5,3288021127
5813027518,PAM15_b(y5B'2a)_L,,PAM15_b,Traced,1273,158,18,2,267,29,240799955
5813032813,PAM13(B'1ap)_L,,PAM13,Traced,680,241,245,130,245,100,279564061
5813032997,PAM02(B'2a)_L,,PAM02,Traced,1282,155,369,70,679,63,281021176
5813033215,PAM01_a(y5)_L,,PAM01_a,Traced,1079,170,60,21,74,25,288587422
5813035387,,,,Traced,127,112,1,,14,9,109567886
5813040205,MBON30(y1y2y3)(AVM07)_L,,MBON30,Traced,5829,1215,10,,23,1,1631233720
5813040941,PAM02(B'2a)_L,,PAM02,Traced,1132,136,180,27,432,52,231301005
5813042659,MBON22(calyx)_R,,MBON22,Traced,14118,810,9,6,24,15,3046434158
5813047220,KCa'b'-m_R,,KCa'b'-m,Traced,683,245,265,120,96,32,427955175
5813047784,PAM05(B'2p)_L,,PAM05,Traced,420,225,141,92,236,120,211723090
5813048214,PAM06_b(B'2m)_L,,PAM06_b,Traced,673,113,219,51,397,62,182935102
5813061260,OA-VPM3(NO2/NO3)_L,,OA-VPM3,Traced,5122,4069,12,10,48,36,3486100136
5813061879,PAM14(B'1m)_R,,PAM14,Traced,636,225,262,150,93,51,338596004
5813063280,PAM06_a(B'2m)_R,,PAM06_a,Traced,1358,335,420,186,307,145,467187303
5813069965,PAM05(B'2p)_L,,PAM05,Traced,1498,325,320,97,910,220,378509855
5813069977,PAM08_c(y4)_L,,PAM08_c,Traced,1536,294,2,3,97,24,332652814
5813075824,PAM09(B1ped)_R,,PAM09,Traced,1685,293,13,,12,3,547363626
5813078064,KCa'b'-m_R,,KCa'b'-m,Traced,764,264,333,126,37,14,442358082
5813087625,,,,Traced,951,208,1,3,5,7,126240451
5813087817,PAM12(y3)_R,,PAM12,Traced,1444,227,1,,,2,444049069
5813090947,PAM06_a(B'2m)_L,,PAM06_a,Traced,841,352,302,140,427,203,376448291
5813091420,PAM05(B'2p)_L,,PAM05,Traced,776,320,256,138,366,170,260282398
5813091744,KCab-p_R,,KCab-p,Traced,635,285,12,6,8,2,392247819
5813091758,PAM06_a(B'2m)_L,,PAM06_a,Traced,1097,361,340,143,568,208,369489017
5813093171,PAM04_a(B2)_L,,PAM04_a,Traced,1960,329,2,1,18,2,324522133
5813096699,PAM15_a(y5B'2a)_R,,PAM15_a,Traced,1305,188,194,51,86,17,309670626
5813098776,PAM02(B'2a)_R,,PAM02,Traced,1545,215,703,155,346,51,340231907
5813100896,PAM12(y3)_R,,PAM12,Traced,1041,202,3,,11,3,354860104
5813126042,,,,Traced,165,108,5,,2,1,97518482
5813127030,PAM06_a(B'2m)_R,,PAM06_a,Traced,1411,387,578,264,280,119,487007634
5901200337,,,,Traced,228,89,41,19,184,70,90022580
5901205545,PAM05(B'2p)_L,,PAM05,Traced,649,278,187,112,342,156,260118145
