id,instance,notes,type,status,inputs (#post),outputs (#pre),FB #post,FB #pre,#voxels
788729370,hDeltaG_07_C4,FB235d6vD3FB6v,hDeltaG,Traced,2766,410,2753,409,899461550
789070314,hDeltaK_07_C6c,EBFB34D5FB6,hDeltaK,Traced,812,251,775,251,670925904
789104870,PFNp_b(PB01b)_L3_C2,PFNp_b,PFNp_b,Traced,214,43,21,21,135628687
789121913,PFR_a(PB11a)_L4_C4,PFR_a,PFR_a,Traced,1476,438,1326,389,500493356
789126240,EPG(PB08)_L5,,EPG,Traced,3024,479,8,1,1177122514
789126422,hDeltaA_12_C10,FB4D5FB4,hDeltaA,Traced,3048,406,3048,406,750658021
789130596,PFL3(PB12c)_L4_C6,PB1-7FB1245LAL,PFL3,Traced,2851,454,2124,5,1194392560
789308735,FB2I_b_R,SMPATLFB2; PV5k1 (Dolan et al. eLife 2019),FB2I_b,Traced,1169,543,717,510,1264790071
789445825,vDeltaB_C2,FB1D0FB7_1,vDeltaB,Traced,663,95,652,95,263835695
789765346,hDeltaL_08_C7,FB26D5FB6d,hDeltaL,Traced,2532,376,2523,376,918124442
791457874,(MBDLaxon1),,,Traced,457,257,2,3,683101591
793128475,FC2C(FQ7)_C5_R,FB1d367CRE,FC2C,Traced,1112,115,1073,83,308846809
794622522,FB7L_L,SMPSIPFB7_4,FB7L,Traced,1418,441,1146,438,724420807
794945765,FS1B(FQ9)_C2_R,FB25SMPSMP,FS1B,Traced,627,101,586,1,267933297
794945885,FS1B(FQ9)_C6_R,FB25SMPSMP,FS1B,Traced,646,93,589,1,266666380
794946803,FS1B(FQ9)_C8_R,FB25SMPSMP,FS1B,Traced,558,99,521,1,255687412
795291970,FS4A(AB)(FQ12)_C2_R,FB38ABSMP,FS4A,Traced,325,19,274,7,137435483
796175881,FS3(FQ10)_C2_L,FB1d367SMP,FS3,Traced,876,90,824,24,271148122
797989902,FB5A_L,LALCREFB5,FB5A,Traced,4461,1098,3452,1083,1941985758
798002859,FB5E_L,CRESMPFB5_2,FB5E,Traced,2195,611,1701,572,709706874
816682053,PFNp_a(PB01a)_R6_C5,PFNp_a,PFNp_a,Traced,204,37,3,15,122767020
816682061,PFNp_b(PB01b)_R7_C4,PFNp_b,PFNp_b,Traced,233,51,26,27,150665485
816682110,PFNp_a(PB01a)_R6_C5,PFNp_a,PFNp_a,Traced,151,43,11,22,130083771
817342497,PFNp_b(PB01b)_R7_C4,PFNp_b,PFNp_b,Traced,282,68,46,42,146223200
817346903,PFNd(PB04)_R7_C3,PFNd,PFNd,Traced,1518,311,336,201,624578000
817674780,PFNp_a(PB01a)_R6_C5,PFNp_a,PFNp_a,Traced,199,41,19,21,129206928
817678848,FC2C(FQ7)_C5_R,FB1d367CRE,FC2C,Traced,818,115,781,87,261860028
817683388,PFNp_a(PB01a)_R7_C4,PFNp_a,PFNp_a,Traced,260,85,27,41,168352353
818063189,PFNa(PB03)_R2_C9,PFNa,PFNa,Traced,623,131,37,74,370339132
818119357,PFNp_c(PB01c)_L7_C6,PFNp_c,PFNp_c,Traced,506,117,38,75,274134599
818128117,vDeltaM_C5,FB1vD0FB4,vDeltaM,Traced,168,26,166,26,101635779
818796911,hDeltaB_10_C8,FB34vD5FB34v,hDeltaB,Traced,2530,610,2528,607,967436105
819073675,PFNd(PB04)_R4_C6,,PFNd,Traced,1000,178,179,109,411066455
819138027,PFNp_b(PB01b)_L4_C3,PFNp_b,PFNp_b,Traced,156,43,11,18,134946976
819138035,PFNp_a(PB01a)_L4_C3,PFNp_a,PFNp_a,Traced,189,44,15,27,150272681
819138239,PFNd(PB04)_L4_C3,PFNd,PFNd,Traced,928,178,226,133,365427761
819440815,FR1(FQ4)_C1_L,,FR1,Traced,2297,242,1822,4,497907047
819751391,FC1F(FQ6)_C7_R,FB2CRE,FC1F,Traced,604,150,600,149,291334869
819828716,PFR_b(PB11b)_L4_C5,PFR_b,PFR_b,Traced,1371,323,1032,105,713051764
819828986,EPG(PB08)_L5,EPG,EPG,Traced,3264,513,2,2,1242575632
820144012,EL(EQ5)_L,EBGAs,EL,Traced,4718,975,34,3,1326450645
826659627,FS1B(FQ9)_C7_L,FB25SMPSMP,FS1B,Traced,610,98,549,1,226900771
828027702,FB2C_L,SMPCREFB2_1,FB2C,Traced,1178,264,591,257,457328614
828934059,FB5T_R,CRESMPFB5_6,FB5T,Traced,1116,166,242,159,526185946
829150640,,,,Traced,253,569,2,1,732391637
832016427,FB4F_a_R,CRELALFB4_2,FB4F_a,Traced,1757,377,895,372,805737583
846991524,hDeltaB_02_C2,FB34vD5FB34v,hDeltaB,Traced,2848,688,2848,688,1200828400
847336715,FS3(FQ11)_C4_R,FB1d367SMP,FS3,Traced,179,24,157,1,124279126
847712233,PFNp_b(PB01b)_R6_C5,PFNp_b,PFNp_b,Traced,187,51,26,27,145745444
847712250,PFNp_e(PB01a)_R6_C5,PFNp_e,PFNp_e,Traced,304,53,16,26,174366951
847712342,PFNp_b(PB01b)_R6_C5,PFNp_b,PFNp_b,Traced,192,48,15,20,147420508
848407278,PFNp_b(PB01b)_R5_C6,PFNp_b,PFNp_b,Traced,257,55,19,25,172660861
848480760,vDeltaI_C6,FB1D0FB5,vDeltaI,Traced,569,99,568,99,215034811
848761388,PEG(PB07)_R1,PEG,PEG,Traced,895,89,2,1,521118259
848800043,PFNp_c(PB01c)_L5_C4,PFNp_c,PFNp_c,Traced,489,106,37,55,262799349
848800082,PFNp_c(PB01c)_L5_C4,PFNp_c,PFNp_c,Traced,544,123,39,70,302734668
848817674,PFNa(PB03)_L6_C5,PFNa,PFNa,Traced,475,109,22,68,286421071
