id,instance,notes,type,status,inputs (#post),outputs (#pre),a'L(L) #post,a'L(L) #pre,LAL(L) #post,LAL(L) #pre,#voxels
424918786,PPL107(PDL05)_L,,PPL107,Traced,7622,3353,2,3,92,3,2320900064
644226063,,,,Traced,190,274,1,,51,74,207557491
674882250,CRE011(ADM05)_L,,CRE011,Traced,16768,707,2,,1906,73,2764738281
706948318,MBON31(a'1a)(ADM10)_L,,MBON31,Traced,3298,932,52,,105,132,1535739624
5812980746,SIP087(PDM22)_L,,SIP087,Traced,7549,3221,3,,61,44,3325948715
5813062838,CRE022_L,,CRE022,Traced,5859,1060,4,,204,151,2547121426
