id,instance,notes,type,status,inputs (#post),outputs (#pre),EB #post,EB #pre,BU(L) #post,BU(L) #pre,#voxels
1261764557,ER3a_a(ring)_L,,ER3a_a,Traced,828,213,818,200,,2,307532763
1261764651,ER3m(ring)_L,,ER3m,Traced,863,236,829,225,14,1,375382737
1261773006,ER3a_b(ring)_L,,ER3a_b,Traced,585,259,569,253,,1,306382934
1262105552,ER3m(ring)_L,,ER3m,Traced,866,240,860,233,,1,381132460
1262105601,ER3a_a(ring)_L,,ER3a_a,Traced,666,232,658,221,1,1,304896212
1291780631,ER3m(ring)_L,,ER3m,Traced,957,340,907,326,33,3,467326307
1291780710,ER3m(ring)_L,,ER3m,Traced,980,339,972,331,5,1,434835505
1292113218,ER3d_a(ring)_L,,ER3d_a,Traced,1092,352,1037,338,39,3,483972181
1292445517,ER3d_b(ring)_L,,ER3d_b,Traced,975,291,868,283,85,2,389186608
1292458303,ER3d_b(ring)_L,,ER3d_b,Traced,1010,304,900,297,87,2,429372106
1292458366,ER3d_d(ring)_L,,ER3d_d,Traced,1078,292,998,288,70,1,394513936
1292799346,ER3m(ring)_L,,ER3m,Traced,924,333,901,327,1,2,449128238
1322470509,ER3p_a(ring)_L,,ER3p_a,Traced,888,311,825,308,52,2,483419657
1322470594,ER3p_a(ring)_L,,ER3p_a,Traced,839,301,725,292,100,3,454009178
1322811128,ER3p_b(ring)_L,,ER3p_b,Traced,1031,348,891,335,122,5,432036907
1322811160,ER3p_b(ring)_L,,ER3p_b,Traced,1038,317,902,309,114,2,424647554
1322811232,ER3p_b(ring)_L,,ER3p_b,Traced,973,340,833,330,126,7,453208049
1354951374,,,,Traced,68,78,38,23,4,4,211741494
1416900410,ER4d(ring)_L,,ER4d,Traced,1931,562,1891,553,26,2,783143047
1449247522,ExR2(PPM3-EB-DAN/ring)_R,,ExR2,Traced,2389,1124,1505,598,86,139,1184449527
5812979082,ER2_d(ring)_L,,ER2_d,Traced,1176,428,1087,425,77,1,572310338
5812979459,ER3p_a(ring)_L,,ER3p_a,Traced,944,326,788,315,140,2,496722478
5812979686,ER3d_b(ring)_L,,ER3d_b,Traced,1090,304,1008,295,70,4,405691680
5812987684,ExR7(ring)_L,,ExR7,Traced,2886,822,2589,399,,8,1478126146
5813020587,ER3d_c(ring)_L,,ER3d_c,Traced,1097,301,1005,290,81,5,492947812
5813045050,ER3w_b(ring)_L,,ER3w_b,Traced,902,296,817,290,82,4,460800179
5813060726,ExR5(ring)_R,,ExR5,Traced,2822,985,1331,348,25,31,1931391198
5813080272,ER3d_d(ring)_L,,ER3d_d,Traced,1216,325,1104,316,97,2,460745975
