id,instance,notes,type,status,inputs (#post),outputs (#pre),b'L(L) #post,b'L(L) #pre,NO #post,NO #pre,#voxels
329566174,OA-VPM3(NO2/NO3)_R,,OA-VPM3,Traced,10075,8632,19,14,300,198,6917059458
519046655,FB1H(NO2/3)_L,CRENO23FB1-4,FB1H,Traced,7950,3818,1,,809,341,3103732460
1326264840,LNO3(LAL-NO2bilateral)_R,LNO3,LNO3,Traced,2082,502,14,18,1442,478,1389645128
5813061260,OA-VPM3(NO2/NO3)_L,,OA-VPM3,Traced,5122,4069,48,36,144,95,3486100136
