id,instance,notes,type,status,inputs (#post),outputs (#pre),BU(L) #post,BU(L) #pre,gL(L) #post,gL(L) #pre,#voxels
826663057,,,,Traced,375,596,2,13,1,2,495908932
1011184205,DSKMP1B(PVM02)_L,,DSKMP1B,Traced,473,544,1,,19,20,4703423471
5813061260,OA-VPM3(NO2/NO3)_L,,OA-VPM3,Traced,5122,4069,5,2,211,143,3486100136
