id,instance,notes,type,status,inputs (#post),outputs (#pre),b'L(L) #post,b'L(L) #pre,BU(L) #post,BU(L) #pre,#voxels
329566174,OA-VPM3(NO2/NO3)_R,,OA-VPM3,Traced,10075,8632,19,14,,1,6917059458
826663057,,,,Traced,375,596,2,,2,13,495908932
1262105601,ER3a_a(ring)_L,,ER3a_a,Traced,666,232,1,,1,1,304896212
5812983636,FB5C_L,SMPCREFB5_1,FB5C,Traced,2525,587,1,,,1,671097858
5813022949,FB5L_L,CRESMPFB5_4,FB5L,Traced,2537,769,1,,9,1,1173703683
5813061260,OA-VPM3(NO2/NO3)_L,,OA-VPM3,Traced,5122,4069,48,36,5,2,3486100136
