id,instance,notes,type,status,inputs (#post),outputs (#pre),FB #post,FB #pre,EB #post,EB #pre,#voxels
941132434,EPG(PB08)_R6,EPG,EPG,Traced,3384,384,8,1,3158,222,1033944779
942173776,PEG(PB07)_R4,PEG,PEG,Traced,1155,148,8,1,278,146,661259565
942491983,EPG(PB08)_R6,EPG,EPG,Traced,3582,477,16,1,3256,262,1236585592
942587380,PEG(PB07)_L4,PEG,PEG,Traced,1528,253,6,1,296,136,737594409
948709216,ExR1(ring)_R,,ExR1,Traced,10008,1519,612,82,6369,1328,3591373150
949710555,ExR1(ring)_R,,ExR1,Traced,10306,1447,841,83,6309,1261,3339909507
972555509,PEG(PB07)_R2,PEG,PEG,Traced,1017,137,7,,324,137,565541726
972892437,PEN_a(PB06a)_R2,PEN1,PEN_a(PEN1),Traced,1676,513,1,,768,403,848941665
974239375,PEG(PB07)_R3,PEG,PEG,Traced,1441,144,5,,295,140,654632835
974300015,PEG(PB07)_L3,PEG,PEG,Traced,1396,268,7,1,266,146,785035775
978733459,ExR5(ring)_L,,ExR5,Traced,2994,1148,654,551,1757,457,1935836510
1002507131,PEN_a(PB06a)_R7,PEN1,PEN_a(PEN1),Traced,1917,612,1,,787,462,1065119131
1002507159,EPG(PB08)_R7,EPG,EPG,Traced,4220,545,38,10,3938,313,1316105284
1002848661,PEG(PB07)_R7,PEG,PEG,Traced,1004,139,4,3,259,133,574633074
1002852791,EPG(PB08)_R7,EPG,EPG,Traced,4112,504,28,4,3834,286,1209456657
1003249888,hDeltaK_07_C6a,EBFB34D5FB6,hDeltaK,Traced,886,269,758,247,72,1,658035288
1004014587,PEG(PB07)_L7,PEG,PEG,Traced,935,211,5,2,220,111,413950685
1004017998,EPG(PB08)_L7,EPG,EPG,Traced,3073,414,12,2,2733,187,965411401
1005308608,EL(EQ5)_L,EBGAs,EL,Traced,4381,729,25,3,4088,648,1157310567
1005710800,ExR7(ring)_L,,ExR7,Traced,2301,841,9,13,2088,416,1439854944
1008378448,FB4Y(EB/NO1)_R,EBCREFB45,FB4Y,Traced,6301,1791,2988,1406,1109,298,2716937442
1009043211,hDeltaK_13_C11,EBFB34D5FB6,hDeltaK,Traced,1266,368,1196,367,52,1,759629172
1034219901,EPG(PB08)_R7,EPG,EPG,Traced,4020,435,22,1,3813,256,1185019251
1034220115,EL(EQ5)_R,EBGAs,EL,Traced,4159,922,222,66,3903,849,1099839854
1035045015,EPG(PB08)_L7,EPG,EPG,Traced,4196,549,23,2,3804,252,1027118663
1036637638,ExR3(ring)_R,5-HTPMPD candidates,ExR3,Traced,10576,4817,3598,1723,1217,1160,5331729469
1036753721,EL(EQ5)_L,EBGAs,EL,Traced,4431,918,72,10,4078,805,1219998811
1043825714,ExR5(ring)_R,,ExR5,Traced,3240,1086,695,463,1613,451,2079662476
1044918145,FS1A(FQ9)_C7_R,FB2-6SMPSMP,FS1A,Traced,1155,100,1085,,1,1,281089917
1065409934,PEG(PB07)_L8,PEG,PEG,Traced,923,220,9,2,245,125,434380151
1065410141,EPG(PB08)_L8,EPG,EPG,Traced,3278,406,14,,2937,188,836597415
1066088381,EL(EQ5)_L,EBGAs,EL,Traced,4269,850,106,17,3853,751,1067970589
1100792636,FB4Y(EB/NO1)_L,EBCREFB45,FB4Y,Traced,4658,1763,2947,1316,1255,374,1949749132
1100801075,FB4M(PPM3-FB3/4-NO-DAN)_L,CRENO2FB4_2,FB4M,Traced,2596,2354,2099,2147,,1,1579340978
1105882358,ExR7(ring)_R,,ExR7,Traced,3118,719,1,,2917,406,1375874653
1106180107,ER2_a(ring)_R,,ER2_a,Traced,1422,464,1,,1321,462,972418076
1125964630,PEN_a(PB06a)_R8,PEN1,PEN_a(PEN1),Traced,2100,598,8,,885,461,1146383370
1125964814,EPG(PB08)_R8,EPG,EPG,Traced,3046,352,11,3,2842,184,991536233
1125969082,PEG(PB07)_R9,PEG,PEG,Traced,953,106,2,1,184,96,612853083
1126647624,EPG(PB08)_R8,EPG,EPG,Traced,2943,376,19,2,2696,204,1089813706
1127471692,PEN_a(PB06a)_L8,PEN1,PEN_a(PEN1),Traced,1819,576,2,,853,430,866409069
1127476096,EPG(PB08)_L8,EPG,EPG,Traced,3300,455,17,,3001,211,846890948
1128088594,PEG(PB07)_L1,PEG,PEG,Traced,1029,191,6,1,183,100,586585085
1136273393,PFGs(PB10)_L7_C7,PFGs; Tdc2-PB1/2 candidates,PFGs,Traced,2394,381,2163,359,,1,592330392
1136865339,ExR2(PPM3-EB-DAN/ring)_L,,ExR2,Traced,1873,1129,1,1,1541,677,1198248632
1137219365,ER2_a(ring)_R,,ER2_a,Traced,1349,426,1,1,1239,416,972567243
1137288015,EL(EQ5)_L,EBGAs,EL,Traced,4987,858,8,,4669,775,1233512438
1137590785,SIFa(PDM34),,SIFa,Traced,658,344,39,30,35,21,4308407118
1167567702,ER2_d(ring)_R,,ER2_d,Traced,1254,373,2,,1103,371,876571829
1167965225,EL(EQ5)_R,EBGAs,EL,Traced,4003,873,4,2,3985,857,1203007342
1167982211,ER4d(ring)_L,,ER4d,Traced,1615,487,1,,1603,481,670334136
1167995070,EPG(PB08)_L8,EPG,EPG,Traced,3874,476,20,,3475,234,960598574
1168340507,EL(EQ5)_L,EBGAs,EL,Traced,4541,813,45,3,4204,722,1175399808
1168659995,EPGt(PB09)_R9,EPGt,EPGt,Traced,611,154,3,,182,10,585738930
1168660239,EPGt(PB09)_L9,EPGt,EPGt,Traced,583,157,4,,120,9,369725815
1168664447,EPGt(PB09)_L9,EPGt,EPGt,Traced,610,167,28,5,122,11,390899085
1168664495,EPG(PB08)_L8,EPG,EPG,Traced,3858,468,20,2,3529,240,1000269781
1190171884,PEG(PB07)_L2,PEG,PEG,Traced,1304,225,7,,310,134,718304874
1192152791,EL(EQ5)_R,EBGAs,EL,Traced,4261,825,12,4,4225,812,1162425268
1195606601,PFR_a(PB11a)_L5_C5,PFR_a,PFR_a,Traced,1159,385,991,332,2,2,454288161
1198257581,ER2_a(ring)_R,,ER2_a,Traced,1326,440,1,,1186,436,986089181
1198330286,ExR2(PPM3-EB-DAN/ring)_R,,ExR2,Traced,2590,1152,1,1,1515,652,1472264855
1198330641,ExR4(ring)_L,,ExR4,Traced,4777,1314,1,,4740,1304,1883677564
1198667367,ER2_c(ring)_L,,ER2_c,Traced,1497,512,1,,1392,508,724395978
1198671672,ER2_c(ring)_L,,ER2_c,Traced,1470,471,17,1,1357,468,671245779
1198943369,ER2_d(ring)_R,,ER2_d,Traced,1277,419,3,,1201,416,861525206
1218728570,PEN_b(PB06b)_R9,PEN2,PEN_b(PEN2),Traced,1423,315,10,14,457,206,706646004
1218732640,PEN_a(PB06a)_R9,PEN1,PEN_a(PEN1),Traced,1946,563,1,,805,385,1008550189
1219069439,EPGt(PB09)_R9,EPGt,EPGt,Traced,790,170,98,12,163,4,571937645
1220576923,PEN_a(PB06a)_L9,,PEN_a(PEN1),Traced,1833,643,1,1,899,466,883794470
1220584946,PEN_b(PB06b)_L9,PEN2,PEN_b(PEN2),Traced,1349,320,3,11,482,202,524380567
1225601395,hDeltaI_05_C4,FB2345D5FB45v,hDeltaI,Traced,1506,132,1482,127,10,5,372121784
1225640135,FB4L(PPM3-FB3/4-DAN)_R,LALSIPFB4,FB4L,Traced,1738,612,916,552,4,2,1746881001
1228683492,ExR8(ring)_L,,ExR8,Traced,1853,7,26,1,1335,5,639551659
1255297788,FB2B_a_R,LALCREFB2_1; Tdc2 (TA)-ASM candidates,FB2B_a,Traced,2256,831,1850,822,4,1,1011197699
1259377221,ER6(ring)_L,,ER6,Traced,430,293,1,,429,292,311337622
1259377325,ER6(ring)_L,,ER6,Traced,450,315,1,,445,313,306607875
1259386264,ExR7(ring)_R,,ExR7,Traced,2526,785,7,3,2311,438,1412316280
1259718093,ExR8(ring)_R,,ExR8,Traced,1863,475,2,1,1276,5,1170924542
1260327246,ER3p_b(ring)_R,,ER3p_b,Traced,926,308,4,,805,294,609806834
1260422110,ER2_b(ring)_L,,ER2_b,Traced,1127,365,1,,1077,363,509412854
1260754053,ER3w_a(ring)_R,,ER3w_a,Traced,1010,312,1,,912,311,805523804
1261000309,ER4d(ring)_R,,ER4d,Traced,2133,571,1,,2006,557,1276005185
1261427885,ER3d_b(ring)_R,,ER3d_b,Traced,1010,278,4,1,885,268,596231811
1261432076,ER3d_b(ring)_L,,ER3d_b,Traced,1092,294,1,,973,287,395209851
1261768859,ER3d_b(ring)_R,,ER3d_b,Traced,1110,314,1,,962,299,624560735
1261768880,ER3d_b(ring)_R,,ER3d_b,Traced,1151,314,1,,978,310,568507214
1261773414,ER3d_b(ring)_R,,ER3d_b,Traced,1051,319,2,,911,305,609683025
1291366237,ER3p_b(ring)_R,,ER3p_b,Traced,1070,326,6,,892,313,661036009
1292882359,EL(EQ5)_R,EBGAs,EL,Traced,3977,685,1,1,3966,680,1041443302
1318109929,PEN_b(PB06b)_L7,PEN2,PEN_b(PEN2),Traced,1781,438,7,19,792,301,839952860
1321140852,EL(EQ5)_R,EBGAs,EL,Traced,3982,769,33,8,3927,754,1082336887
1322470509,ER3p_a(ring)_L,,ER3p_a,Traced,888,311,3,,825,308,483419657
1322811128,ER3p_b(ring)_L,,ER3p_b,Traced,1031,348,2,,891,335,432036907
1323156554,ER3p_b(ring)_R,,ER3p_b,Traced,1065,335,6,2,903,323,611348841
1324209745,FB3B(EB)_L,EBCREFB3,FB3B,Traced,696,244,368,202,220,41,346714067
1353544607,PEN_b(PB06b)_L8,PEN2,PEN_b(PEN2),Traced,1807,490,4,23,691,318,619565622
1380495496,PEN_a(PB06a)_L6,PEN1,PEN_a(PEN1),Traced,1285,367,3,,553,275,467834236
1418618235,SIFa(PDM34),,SIFa,Traced,1592,935,131,64,57,34,6190229391
1447253749,EL(EQ5)_R,EBGAs,EL,Traced,3970,668,16,1,3953,661,1208330340
1447576662,EPG(PB08)_L1,,EPG,Traced,5107,676,22,,4615,321,1568187447
1478732596,,,,Traced,34,37,4,6,23,11,63289660
1508369047,EL(EQ5)_R,EBGAs,EL,Traced,4309,796,92,15,4196,771,1112317868
1600083889,PEN_b(PB06b)_L9,PEN2,PEN_b(PEN2),Traced,1513,328,5,9,535,215,535483990
1601715638,ExR8(ring)_R,,ExR8,Traced,1685,441,20,,931,3,1111869658
1601771527,PEN_b(PB06b)_R9,PEN2,PEN_b(PEN2),Traced,1585,330,2,11,596,235,695171696
1631450739,PEN_b(PB06b)_L5,PEN2,PEN_b(PEN2),Traced,1969,454,7,10,659,325,883989562
5812979686,ER3d_b(ring)_L,,ER3d_b,Traced,1090,304,1,,1008,295,405691680
5812987684,ExR7(ring)_L,,ExR7,Traced,2886,822,3,,2589,399,1478126146
5813012006,EPG(PB08)_L7,EPG,EPG,Traced,3883,539,11,2,3503,255,1075949177
5813014873,EPG(PB08)_R1,EPG,EPG,Traced,4099,507,20,1,3775,268,1255365813
5813014882,PEG(PB07)_R5,PEG,PEG,Traced,1147,143,4,2,273,140,613166421
5813022281,EPG(PB08)_L4,EPG,EPG,Traced,3272,543,22,,2836,253,1213503168
5813022925,FB4L(PPM3-FB3/4-DAN)_L,LALSIPFB4,FB4L,Traced,987,561,954,543,10,1,1147606193
5813027016,FB4Y(EB/NO1)_R,EBCREFB45,FB4Y,Traced,6508,1720,3007,1327,1047,304,2846693400
5813027103,EPG(PB08)_R5,EPG,EPG,Traced,3574,491,10,3,3286,259,1188874706
5813038173,FB2I_a_L,SMPATLFB2,FB2I_a,Traced,1459,622,1174,590,,1,887590704
5813040233,EPG(PB08)_R8,EPG,EPG,Traced,3384,433,5,,3118,246,1239795168
5813041180,FB4L(PPM3-FB3/4-DAN)_R,LALSIPFB4,FB4L,Traced,1595,546,772,482,9,5,1501021625
5813047626,hDeltaK_03_C3,EBFB34D5FB6,hDeltaK,Traced,1385,282,1309,278,60,1,742773766
5813055913,FB1C(NO1/NO3)_R,LALNOmFB1,FB1C,Traced,2965,1290,1051,891,108,56,1798572771
5813056953,PEN_a(PB06a)_R4,PEN1,PEN_a(PEN1),Traced,1497,424,1,,657,315,766389254
5813057274,FB4Y(EB/NO1)_L,EBCREFB45,FB4Y,Traced,5089,2001,3695,1599,1033,320,2082213746
5813057963,FB3B(EB)_R,EBCREFB3,FB3B,Traced,838,222,198,122,424,94,521205033
5813059834,PEG(PB07)_R8,PEG,PEG,Traced,1060,99,9,1,169,92,598312740
5813060726,ExR5(ring)_R,,ExR5,Traced,2822,985,622,485,1331,348,1931391198
5813061251,EPG(PB08)_R8,EPG,EPG,Traced,2853,373,19,3,2649,206,1102701348
5813061260,OA-VPM3(NO2/NO3)_L,,OA-VPM3,Traced,5122,4069,3071,1745,,1,3486100136
5813077544,EPG(PB08)_R1,EPG,EPG,Traced,5176,601,25,,4842,360,1546927969
5813077556,ER2_b(ring)_R,,ER2_b,Traced,1131,324,1,,1027,322,743357121
5813080838,EPG(PB08)_R3,EPG,EPG,Traced,4198,552,7,1,3831,267,1248939309
5813088939,FB6P_L,SMPCREFB6_1,FB6P,Traced,1862,285,1372,249,152,33,600756468
