id,instance,notes,type,status,inputs (#post),outputs (#pre),BU(L) #post,BU(L) #pre,FB #post,FB #pre,#voxels
946641212,FB6D_R,SMPFB6,FB6D,Traced,3680,1403,10,2,2577,1231,3164479350
946658448,FB6L_R,FB6_2,FB6L,Traced,1373,204,3,,1358,202,458549894
946978006,FB6F_L,SMPSIPFB6_3,FB6F,Traced,1540,830,1,,1007,808,1500709624
947664053,FB1I_L,SMPSIPFB1d7,FB1I,Traced,1828,404,1,,1789,401,636458995
948346519,FB8H_L,SMPSLPFB8,FB8H,Traced,857,358,4,,481,350,632747528
948363764,FB8C_R,SMPFB8; Tdc2-PB1/2 candidates,FB8C,Traced,1327,276,3,,860,251,858653949
948376859,FB6L_L,FB6_2,FB6L,Traced,972,112,6,,957,111,315082393
948709216,ExR1(ring)_R,,ExR1,Traced,10008,1519,505,16,612,82,3591373150
949045811,FB8B_R,PLPSLPFB8,FB8B,Traced,1347,267,5,1,708,249,1167033698
949710555,ExR1(ring)_R,,ExR1,Traced,10306,1447,607,12,841,83,3339909507
977335062,FB5B_L,SMPSIPFB5d_1,FB5B,Traced,672,183,2,2,535,180,507248890
977339122,FB5L_R,CRESMPFB5_4,FB5L,Traced,2779,749,7,3,1930,692,1724906752
977710985,AOTU046(PDM21)_L,,AOTU046,Traced,1349,602,112,172,105,29,1622607507
978051730,AOTU046(PDM21)_L,,AOTU046,Traced,1404,620,161,191,2,2,1632341703
978336888,AOTU046_R,,AOTU046,Traced,1958,713,164,186,115,27,1774175847
978366493,FB6O_R,SIPSMPFB6_4,FB6O,Traced,1898,486,1,,1689,480,1132041523
978673646,FB6M_R,WEDLALFB6,FB6M,Traced,1171,353,10,2,355,116,1224788672
978733459,ExR5(ring)_L,,ExR5,Traced,2994,1148,8,7,654,551,1935836510
979052812,FB7E_L,SMPSIPFB7_2,FB7E,Traced,844,230,2,2,564,210,418112500
980391580,FB8A_R,SLPSMPFB8_1,FB8A,Traced,635,187,4,2,362,182,481411729
980737209,FB5S_R,FB5d6v,FB5S,Traced,1336,160,5,,1326,159,380762992
1003249888,hDeltaK_07_C6a,EBFB34D5FB6,hDeltaK,Traced,886,269,54,21,758,247,658035288
1009708586,FB6K_L,SMPSIPFB6_6,FB6K,Traced,1251,409,2,1,1156,406,1057438942
1012475364,FB5S_L,FB5d6v,FB5S,Traced,1447,231,3,,1435,230,437779177
1036637638,ExR3(ring)_R,5-HTPMPD candidates,ExR3,Traced,10576,4817,143,276,3598,1723,5331729469
1039068185,FB5O_L,SMPCREFB5_5,FB5O,Traced,1930,574,1,1,1411,530,632536517
1039400328,FB5AA_L,SMPCREFB5_10,FB5AA,Traced,2247,498,1,,1794,432,611874258
1039404729,hDeltaH_07_C4,FB2d4D3FB5,hDeltaH,Traced,3241,386,5,,3234,386,834142623
1043825714,ExR5(ring)_R,,ExR5,Traced,3240,1086,22,23,695,463,2079662476
1070107554,FB5R_L,FB5,FB5R,Traced,1668,253,1,1,1659,249,455764069
1070810640,FB5S_R,FB5d6v,FB5S,Traced,1647,255,1,,1644,254,494264216
1071121755,FB6W_R,CRESMPFB6_2,FB6W,Traced,1817,503,2,,1235,477,869158137
1072533704,FC2C(FQ7)_C8_R,FB1d367CRE,FC2C,Traced,1304,144,1,,1264,107,322482431
1074165128,,,,Traced,169,336,1,3,1,1,356049608
1076185604,FC2C(FQ7)_C9_L,FB1d367CRE,FC2C,Traced,959,138,3,,912,96,284621817
1100792636,FB4Y(EB/NO1)_L,EBCREFB45,FB4Y,Traced,4658,1763,1,,2947,1316,1949749132
1103576992,FS4A(AB)(FQ12)_C8_R,FB38ABSMP,FS4A,Traced,301,55,1,,226,4,174907035
1104824502,vDeltaA_a(AB)_C0,AF,vDeltaA_a,Traced,401,86,12,2,214,63,164456913
1104841576,vDeltaB_C0,FB1D0FB7_1,vDeltaB,Traced,347,88,5,,324,88,223605020
1105955480,FB6A_L,SMPSIPFB6_1,FB6A,Traced,3645,2209,19,7,3243,2046,3018310913
1131836229,FB4C(NO2)_L,CRENO2FB4_1,FB4C,Traced,4730,917,6,2,2441,620,1390563331
1135294306,FC2C(FQ7)_C9_R,FB1d367CRE,FC2C,Traced,974,128,4,,932,95,276156197
1135518161,vDeltaA_b_C0,FB1D0FB8,vDeltaA_b,Traced,182,83,4,3,162,78,177730173
1135872491,vDeltaA_b_C0,FB1D0FB8,vDeltaA_b,Traced,267,82,2,,261,82,184004352
1136204852,PFGs(PB10)_R9_C1,PFGs; Tdc2-PB1/2 candidates,PFGs,Traced,2154,464,1,,2003,452,971124055
1136865339,ExR2(PPM3-EB-DAN/ring)_L,,ExR2,Traced,1873,1129,46,81,1,1,1198248632
1159123802,PFR_b(PB11b)_L1_C9_irreg,,PFR_b,Traced,1666,219,1,,1345,111,639370086
1163212068,FB3E_L,SMPLALFB3,FB3E,Traced,812,312,1,,582,256,514265267
1166674437,FC2C(FQ7)_C9_L,FB1d367CRE,FC2C,Traced,847,134,2,,796,100,175162270
1167706312,,,,Assign,3,2,1,,2,2,759524
1168387674,FB1B_L,SMPSLPFB1d,FB1B,Traced,952,265,1,,549,256,421526260
1198049989,FC2C(FQ7)_C9_R,FB1d367CRE,FC2C,Traced,1073,142,1,,1020,102,304289885
1198330286,ExR2(PPM3-EB-DAN/ring)_R,,ExR2,Traced,2590,1152,73,117,1,1,1472264855
1198373874,vDeltaD_C9,FB1D0FB6,vDeltaD,Traced,823,114,2,,820,114,264752956
1198671672,ER2_c(ring)_L,,ER2_c,Traced,1470,471,92,2,17,1,671245779
1198749960,PFGs(PB10)_L1_C9_irreg,PFGs; Tdc2-PB1/2 candidates,PFGs,Traced,2064,406,96,30,1754,349,961787424
1199081704,,,,Orphan,8,2,1,,7,2,1362842
1199082254,FS4A(FQ12)_C9_L,FB138SMP,FS4A,Traced,202,51,2,,152,5,102030504
