id,instance,notes,type,status,inputs (#post),outputs (#pre),gL(L) #post,gL(L) #pre,BU(L) #post,BU(L) #pre,#voxels
329566174,OA-VPM3(NO2/NO3)_R,,OA-VPM3,Traced,10075,8632,644,151,,1,6917059458
826663057,,,,Traced,375,596,1,2,2,13,495908932
5812983636,FB5C_L,SMPCREFB5_1,FB5C,Traced,2525,587,3,,,1,671097858
5813047616,FB5I_L,SMPCREFB5_3,FB5I,Traced,3894,1248,6,,,1,1687433748
5813061260,OA-VPM3(NO2/NO3)_L,,OA-VPM3,Traced,5122,4069,211,143,5,2,3486100136
