id,instance,notes,type,status,inputs (#post),outputs (#pre),PB #post,PB #pre,BU(L) #post,BU(L) #pre,#voxels
329566174,OA-VPM3(NO2/NO3)_R,,OA-VPM3,Traced,10075,8632,3,3,,1,6917059458
1036330791,PFR_a(PB11a)_R2_C8,PFR_a,PFR_a,Traced,1492,390,48,1,,1,440621040
1036637638,ExR3(ring)_R,5-HTPMPD candidates,ExR3,Traced,10576,4817,3,,143,276,5331729469
1128092885,PFL1(PB12a)_L1_C8_irreg,PFLC,PFL1,Traced,1313,20,510,2,,1,960402109
1198749960,PFGs(PB10)_L1_C9_irreg,PFGs; Tdc2-PB1/2 candidates,PFGs,Traced,2064,406,199,21,96,30,961787424
1322522242,PFR_a(PB11a)_L1_C9_irreg,,PFR_a,Traced,1321,421,34,,8,2,428674792
