id,instance,notes,type,status,inputs (#post),outputs (#pre),gL(L) #post,gL(L) #pre,b'L(R) #post,b'L(R) #pre,#voxels
5812979156,PAM15_b(y5B'2a)_R,,PAM15_b,Traced,1339,152,53,9,566,66,321368178
5812979502,PAM01_a(y5)_L,,PAM01_a,Traced,1315,139,735,92,3,1,291541065
5812981381,PPL102(y1)(PDL05)_L,,PPL102,Traced,9198,2830,38,2,2,2,3349981626
5812981641,PAM08_d(y4)_L,,PAM08_d,Traced,1423,333,742,168,57,21,253723732
5812982120,PAM05(B'2p)_R,,PAM05,Traced,794,237,2,2,253,121,311663944
5812982779,PAM01_b(y5)_R,,PAM01_b,Traced,1442,163,186,34,321,27,343660367
5812983399,PAM05(B'2p)_L,,PAM05,Traced,1338,327,46,10,268,105,358512014
5813020996,SMP384(PDM09)_L,,SMP384,Traced,4802,2862,3,8,3,2,2685199565
5813021844,PAM08_c(y4)_L,,PAM08_c,Traced,1573,280,905,184,1,2,241663552
5813022424,PPL103(y2a'1)_R,,PPL103,Traced,15227,3375,1423,464,443,96,5444071374
5813022896,MBON21(y4y5)_R,,MBON21,Traced,12515,1168,82,18,44,2,3288021127
5813027518,PAM15_b(y5B'2a)_L,,PAM15_b,Traced,1273,158,661,94,18,2,240799955
5813032813,PAM13(B'1ap)_L,,PAM13,Traced,680,241,3,,245,130,279564061
5813032997,PAM02(B'2a)_L,,PAM02,Traced,1282,155,54,10,369,70,281021176
5813033215,PAM01_a(y5)_L,,PAM01_a,Traced,1079,170,473,97,60,21,288587422
5813040941,PAM02(B'2a)_L,,PAM02,Traced,1132,136,318,49,180,27,231301005
5813042659,MBON22(calyx)_R,,MBON22,Traced,14118,810,49,4,9,6,3046434158
5813047784,PAM05(B'2p)_L,,PAM05,Traced,420,225,2,,141,92,211723090
5813058048,MBON29(y4y5)_R,,MBON29,Traced,8512,761,443,21,14,1,2345461437
5813061260,OA-VPM3(NO2/NO3)_L,,OA-VPM3,Traced,5122,4069,211,143,12,10,3486100136
5813069977,PAM08_c(y4)_L,,PAM08_c,Traced,1536,294,936,183,2,3,332652814
5813096699,PAM15_a(y5B'2a)_R,,PAM15_a,Traced,1305,188,229,35,194,51,309670626
5813098776,PAM02(B'2a)_R,,PAM02,Traced,1545,215,7,2,703,155,340231907
