id,instance,notes,type,status,inputs (#post),outputs (#pre),a'L(L) #post,a'L(L) #pre,b'L(R) #post,b'L(R) #pre,#voxels
268731005,SMP146(ADM10)_L,,SMP146,Traced,3566,962,1,,19,53,1973521252
299082033,LHPV5e1(PDL05)_L,,LHPV5e1,Traced,4201,1313,22,1,1,1,1486830838
424767514,MBON11(y1pedc>a/B)_R,,MBON11,Traced,27642,1646,1,2,35,37,5265462913
425276848,DPM_L,,DPM,Traced,30007,7088,1,,3,2,6483095365
517518166,MBON11(y1pedc>a/B)(ADM05)_L,,MBON11,Traced,1160,1378,3,2,11,26,1964048244
640471815,,,,Traced,334,97,1,,,1,180815877
642702809,CRE050_R,not yet identified MBON candidates,CRE050,Traced,4620,620,14,1,28,1,2023774583
5812980746,SIP087(PDM22)_L,,SIP087,Traced,7549,3221,3,,10,6,3325948715
