id,instance,notes,type,status,inputs (#post),outputs (#pre),BU(R) #post,BU(R) #pre,gL(L) #post,gL(L) #pre,#voxels
329566174,OA-VPM3(NO2/NO3)_R,,OA-VPM3,Traced,10075,8632,2,9,644,151,6917059458
393766777,PPL101(y1pedc)_R,,PPL101,Traced,16276,2197,3,3,5,1,5117109108
613040803,CRE049_R,,CRE049,Traced,2229,750,1,1,6,5,1511757943
706862579,CRE059_R,,CRE059,Traced,1466,552,1,,3,1,1186755402
760690116,CRE066_R,,CRE066,Traced,934,533,1,,3,4,937265171
984799284,CRE060_R,,CRE060,Traced,844,393,2,,67,34,738647628
1110640084,CRE067_R,,CRE067,Traced,1342,370,3,,25,11,763267727
1326813363,PAM08_a(y4)_R,,PAM08_a,Traced,916,164,3,,114,25,354276543
1418618235,SIFa(PDM34),,SIFa,Traced,1592,935,3,10,19,7,6190229391
