id,instance,notes,type,status,inputs (#post),outputs (#pre),gL(R) #post,gL(R) #pre,BU(L) #post,BU(L) #pre,#voxels
329566174,OA-VPM3(NO2/NO3)_R,,OA-VPM3,Traced,10075,8632,424,316,,1,6917059458
423770604,FB5I_R,SMPCREFB5_3,FB5I,Traced,4793,1230,2,,2,1,2357223448
488922181,SMP048_R,,SMP048,Traced,5146,2705,2,1,2,1,5638174363
977710985,AOTU046(PDM21)_L,,AOTU046,Traced,1349,602,1,,112,172,1622607507
5813061260,OA-VPM3(NO2/NO3)_L,,OA-VPM3,Traced,5122,4069,84,55,5,2,3486100136
