id,instance,notes,type,status,inputs (#post),outputs (#pre),NO #post,NO #pre,b'L(L) #post,b'L(L) #pre,#voxels
329566174,OA-VPM3(NO2/NO3)_R,,OA-VPM3,Traced,10075,8632,300,198,19,14,6917059458
1326264840,LNO3(LAL-NO2bilateral)_R,LNO3,LNO3,Traced,2082,502,1442,478,14,18,1389645128
1418618235,SIFa(PDM34),,SIFa,Traced,1592,935,1,,8,9,6190229391
5813061260,OA-VPM3(NO2/NO3)_L,,OA-VPM3,Traced,5122,4069,144,95,48,36,3486100136
