id,instance,notes,type,status,inputs (#post),outputs (#pre),a'L(L) #post,a'L(L) #pre,a'L(R) #post,a'L(R) #pre,#voxels
424767514,MBON11(y1pedc>a/B)_R,,MBON11,Traced,27642,1646,1,2,33,31,5265462913
517514142,PPL104(a'3)_R,,PPL104,Traced,5012,1563,82,36,2108,892,1948744287
517518166,MBON11(y1pedc>a/B)(ADM05)_L,,MBON11,Traced,1160,1378,3,2,14,20,1964048244
642516892,PPL105(a'2a2)(PDL05)_L,,PPL105,Traced,4363,1434,372,121,693,291,1095641228
725701350,LHPV10d1(PDM09)_L,,LHPV10d1,Traced,3093,1663,2,,2,3,1890321865
5812980746,SIP087(PDM22)_L,,SIP087,Traced,7549,3221,3,,3,1,3325948715
5813019513,PPL105(a'2a2)_R,,PPL105,Traced,7639,1726,82,32,1956,640,2064191600
5813019607,PPL106(a3)(PDL05)_L,,PPL106,Traced,6476,1564,3,4,3,5,1814973075
5813019976,PPL104(a'3)(PDL05)_L,,PPL104,Traced,2138,770,30,15,785,344,869209965
