id,instance,notes,type,status,inputs (#post),outputs (#pre),b'L(L) #post,b'L(L) #pre,BU(R) #post,BU(R) #pre,#voxels
329566174,OA-VPM3(NO2/NO3)_R,,OA-VPM3,Traced,10075,8632,19,14,2,9,6917059458
484130600,SMP145_R,,SMP145,Traced,3609,2264,2,1,,1,2489431605
613040803,CRE049_R,,CRE049,Traced,2229,750,14,4,1,1,1511757943
675136878,CRE070_R,,CRE070,Traced,2002,703,1,,,2,1301294761
1418618235,SIFa(PDM34),,SIFa,Traced,1592,935,8,9,3,10,6190229391
