id,instance,notes,type,status,inputs (#post),outputs (#pre),b'L(R) #post,b'L(R) #pre,aL(R) #post,aL(R) #pre,#voxels
5813021809,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,663,276,327,161,2,1,467946092
5813021832,KCa'b'-m_R,,KCa'b'-m,Traced,655,255,300,112,4,4,405326877
5813021856,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,668,254,346,154,1,1,485815034
5813022037,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,655,236,365,150,1,1,431474709
5813022117,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,659,215,332,124,10,4,434303309
5813022234,MBON30(y1y2y3)_R,,MBON30,Traced,13786,1430,4,,4,2,2864745122
5813022424,PPL103(y2a'1)_R,,PPL103,Traced,15227,3375,443,96,20,4,5444071374
5813032811,KCa'b'-m_R,,KCa'b'-m,Traced,616,210,311,94,13,6,388570181
5813032876,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,656,232,349,124,1,1,519684879
5813032900,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,692,249,321,126,,3,435011106
5813032943,KCab-p_R,,KCab-p,Traced,734,252,4,2,207,82,339903729
5813033127,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,616,243,341,135,4,1,486240013
5813047220,KCa'b'-m_R,,KCa'b'-m,Traced,683,245,265,120,20,5,427955175
5813047221,KCa'b'-m_R,,KCa'b'-m,Traced,631,224,308,121,37,13,437993906
5813050765,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,702,265,337,142,8,4,452964728
5813055914,KCab-s_R,,KCab-s,Traced,650,235,1,1,260,115,322349102
5813056299,KCa'b'-m_R,,KCa'b'-m,Traced,714,228,322,110,20,5,424133459
5813056300,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,692,271,345,143,2,2,436927867
5813056307,KCa'b'-m_R,,KCa'b'-m,Traced,641,242,308,107,14,5,441207882
5813056309,KCg-m_R,,KCg-m,Traced,825,283,25,8,2,3,395923682
5813056313,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,653,200,321,102,5,1,403944266
5813056372,KCa'b'-m_R,,KCa'b'-m,Traced,651,228,281,110,25,7,396399147
5813056414,KCg-m_R,,KCg-m,Traced,673,211,29,8,1,1,349509259
5813057239,KCa'b'-m_R,,KCa'b'-m,Traced,724,228,359,103,4,3,405376444
5813057942,KCa'b'-m_R,,KCa'b'-m,Traced,759,278,412,162,,2,450117799
5813057956,KCg-m_R,,KCg-m,Traced,772,230,2,,1,1,356908730
5813060643,KCab-p_R,,KCab-p,Traced,681,264,7,2,178,80,369871738
5813060776,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,652,229,284,121,2,1,333533652
5813061879,PAM14(B'1m)_R,,PAM14,Traced,636,225,262,150,2,2,338596004
5813063140,KCa'b'-m_R,,KCa'b'-m,Traced,581,199,294,101,21,14,391939830
5813063229,KCab-s_R,,KCab-s,Traced,685,277,4,,219,115,347967311
5813063527,KCa'b'-m_R,,KCa'b'-m,Traced,634,267,300,145,2,3,436486264
5813067858,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,593,225,311,124,19,11,440340877
5813068687,KCa'b'-m_R,,KCa'b'-m,Traced,653,228,323,107,5,3,400089032
5813068690,KCa'b'-m_R,,KCa'b'-m,Traced,698,233,315,116,19,7,402291796
5813068752,KCa'b'-m_R,,KCa'b'-m,Traced,692,252,318,142,6,3,429764535
5813069385,KCa'b'-m_R,,KCa'b'-m,Traced,605,229,331,116,3,2,364741205
5813070672,KCg-m_R,,KCg-m,Traced,719,237,21,3,2,1,398858277
5813075824,PAM09(B1ped)_R,,PAM09,Traced,1685,293,13,,338,83,547363626
5813077579,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,619,235,308,127,2,1,446715176
5813077583,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,661,230,337,124,5,3,453604666
5813078053,KCab-s_R,,KCab-s,Traced,691,238,1,,258,115,268635703
5813078064,KCa'b'-m_R,,KCa'b'-m,Traced,764,264,333,126,5,2,442358082
5813078323,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,509,224,276,117,1,1,472655195
5813078499,KCa'b'-m_R,,KCa'b'-m,Traced,634,218,287,94,11,6,373028028
5813091744,KCab-p_R,,KCab-p,Traced,635,285,12,6,148,80,392247819
5813092931,KCab-p_R,,KCab-p,Traced,767,244,24,6,195,77,375350336
