id,instance,notes,type,status,inputs (#post),outputs (#pre),NO #post,NO #pre,BU(R) #post,BU(R) #pre,#voxels
329566174,OA-VPM3(NO2/NO3)_R,,OA-VPM3,Traced,10075,8632,300,198,2,9,6917059458
579268807,FB1C(NO1/NO3)_R,LALNOmFB1,FB1C,Traced,3282,1356,403,177,9,3,1823088730
1224941044,FB2A(PPM3-FB2-NO-DAN)_R,NOaLALFB2,FB2A,Traced,2613,1170,150,33,,1,1272001412
1418618235,SIFa(PDM34),,SIFa,Traced,1592,935,1,,3,10,6190229391
5813055913,FB1C(NO1/NO3)_R,LALNOmFB1,FB1C,Traced,2965,1290,449,170,,1,1798572771
