id,instance,notes,type,status,inputs (#post),outputs (#pre),a'L(R) #post,a'L(R) #pre,FB #post,FB #pre,#voxels
328213227,FB8F_a_R,SIPSLPFB8,FB8F_a,Traced,911,184,2,,247,60,614822175
329566174,OA-VPM3(NO2/NO3)_R,,OA-VPM3,Traced,10075,8632,14,13,3576,2111,6917059458
579268807,FB1C(NO1/NO3)_R,LALNOmFB1,FB1C,Traced,3282,1356,3,,1101,873,1823088730
699031185,SIFa(PDM34),,SIFa,Traced,1080,777,2,1,39,38,5702733325
977710985,AOTU046(PDM21)_L,,AOTU046,Traced,1349,602,1,,105,29,1622607507
5813047763,FB5AB_R,SIPCREFB5d,FB5AB,Traced,6973,1035,2,,2118,987,2699423831
5813061260,OA-VPM3(NO2/NO3)_L,,OA-VPM3,Traced,5122,4069,9,10,3071,1745,3486100136
5813062858,FB1H(NO2/3)_R,CRENO23FB1-4,FB1H,Traced,9598,3733,1,,3717,2821,3621432113
