id,instance,notes,type,status,inputs (#post),outputs (#pre),PB #post,PB #pre,FB #post,FB #pre,#voxels
1127471202,PFNd(PB04)_L8_C7,,PFNd,Traced,1051,258,252,1,185,145,350288881
1127808629,PFNp_b(PB01b)_L8_C7,PFNp_b,PFNp_b,Traced,140,47,17,,33,25,121365609
1128088594,PEG(PB07)_L1,PEG,PEG,Traced,1029,191,677,1,6,1,586585085
1128092885,PFL1(PB12a)_L1_C8_irreg,PFLC,PFL1,Traced,1313,20,510,2,798,16,960402109
1128434325,PFR_a(PB11a)_L2_C2,PFR_a,PFR_a,Traced,1828,556,50,,1701,511,579257577
1128495875,PFNd(PB04)_L8_C7,,PFNd,Traced,973,275,215,,204,165,352459296
1129456907,PFNp_a(PB01a)_L2_C1,PFNp_a,PFNp_a,Traced,132,40,36,,7,13,130305771
1129849756,hDeltaJ_12_C10,FB1234D5FB45,hDeltaJ,Traced,782,201,1,,776,201,330016731
1133566834,PFR_a(PB11a)_R3_C7,PFR_a,PFR_a,Traced,1379,356,103,,1274,352,484929565
1133890586,PFGs(PB10)_L5_C5,PFGs; Tdc2-PB1/2 candidates,PFGs,Traced,2149,393,172,14,1903,364,1020071695
1134253374,PFL3(PB12c)_R1_C7,PB1-7FB1245LAL,PFL3,Traced,2066,2,237,,1826,2,610434384
1135902716,FC1B(FQ6)_C3_R,FB2CRE,FC1B,Traced,867,156,1,,859,152,281391905
1135902770,FC1A(FQ6)_C3_R,FB2CRE,FC1A,Traced,778,169,1,,765,158,317552201
1135907207,PFR_b(PB11b)_R6_C3,PFR_b,PFR_b,Traced,2556,229,235,21,2245,129,704924127
1136204852,PFGs(PB10)_R9_C1,PFGs; Tdc2-PB1/2 candidates,PFGs,Traced,2154,464,142,10,2003,452,971124055
1136273393,PFGs(PB10)_L7_C7,PFGs; Tdc2-PB1/2 candidates,PFGs,Traced,2394,381,186,6,2163,359,592330392
1137590785,SIFa(PDM34),,SIFa,Traced,658,344,20,11,39,30,4308407118
1155302782,PFNm_a(PB02a)_R8_C3,PFNm_a,PFNm_a,Traced,546,119,116,2,43,63,319944629
1155652503,PFNa(PB03)_R9_C1,PFNa,PFNa,Traced,597,134,251,1,36,85,412774414
1156663078,PFNm_b(PB02b)_R8_C3,PFNm_b,PFNm_b,Traced,517,99,124,,83,62,246283752
1156999846,PFNp_a(PB01a)_R8_C3,PFNp_a,PFNp_a,Traced,175,52,69,,12,27,148449235
1157000178,PFNp_e(PB01a)_R8_C3,PFNp_e,PFNp_e,Traced,348,79,148,7,32,37,183649556
