id,instance,notes,type,status,inputs (#post),outputs (#pre),gL(R) #post,gL(R) #pre,NO #post,NO #pre,#voxels
329566174,OA-VPM3(NO2/NO3)_R,,OA-VPM3,Traced,10075,8632,424,316,300,198,6917059458
579268807,FB1C(NO1/NO3)_R,LALNOmFB1,FB1C,Traced,3282,1356,40,1,403,177,1823088730
1225290633,FB4C(NO2)_R,CRENO2FB4_1,FB4C,Traced,6802,976,4,,1040,170,2367341468
1352077058,DSKMP1B_R,,DSKMP1B,Traced,2983,560,7,16,13,7,5492683352
5813027016,FB4Y(EB/NO1)_R,EBCREFB45,FB4Y,Traced,6508,1720,4,,449,62,2846693400
5813055913,FB1C(NO1/NO3)_R,LALNOmFB1,FB1C,Traced,2965,1290,16,1,449,170,1798572771
5813061260,OA-VPM3(NO2/NO3)_L,,OA-VPM3,Traced,5122,4069,84,55,144,95,3486100136
5813062858,FB1H(NO2/3)_R,CRENO23FB1-4,FB1H,Traced,9598,3733,55,1,770,331,3621432113
