id,instance,notes,type,status,inputs (#post),outputs (#pre),gL(R) #post,gL(R) #pre,#voxels
508939914,KCg-m_R,,KCg-m,Traced,749,223,454,195,347937765
508940291,KCg-m_R,,KCg-m,Traced,753,225,461,184,331568878
508949033,KCg-m_R,,KCg-m,Traced,894,267,527,236,355692977
509013752,KCg-m_R,,KCg-m,Traced,832,237,495,193,390785099
509264220,KCg-m_R,,KCg-m,Traced,885,274,524,222,401446385
509695478,KCg-m_R,,KCg-m,Traced,707,211,423,167,341380321
509700197,KCg-m_R,,KCg-m,Traced,762,219,439,175,354508934
517518166,MBON11(y1pedc>a/B)(ADM05)_L,,MBON11,Traced,1160,1378,73,84,1964048244
517838849,SMP031_R,,SMP031,Traced,1439,244,149,1,684539663
517847127,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,651,261,18,10,454494825
517850316,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,594,227,4,1,410906156
517858947,KCab-p_R,,KCab-p,Traced,674,269,5,3,390763882
518212987,KCa'b'-m_R,,KCa'b'-m,Traced,659,232,5,4,449871654
518217691,Leaves Body,,,Traced,913,938,125,44,1000837714
518528152,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,650,280,13,9,406965578
518558825,CRE107(SCB016)_R,,CRE107,Traced,5223,1080,14,7,3738265959
518864844,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,708,282,31,11,477341060
518869381,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,636,290,18,15,487559505
518869459,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,557,242,10,5,418664355
518930199,MBON35(y2)_R,,MBON35,Traced,21335,1746,3848,9,3839917924
519206240,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,568,271,8,6,435315429
519210172,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,586,253,11,9,405713307
519214622,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,659,259,26,12,446204773
519214895,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,642,256,7,2,455019134
519279166,CRE027_L,,CRE027,Traced,2134,327,23,6,973318320
519564501,KCab-s_R,,KCab-s,Traced,496,193,2,1,245598444
520380132,SMP127_L,,SMP127,Traced,508,457,2,1,478509017
538602138,KCg-m_R,,KCg-m,Traced,776,209,466,174,349773684
538951958,KCg-m_R,,KCg-m,Traced,804,252,435,212,361517430
539949478,KCg-m_R,,KCg-m,Traced,755,224,486,188,394528302
539949536,KCg-m_R,,KCg-m,Traced,795,263,496,220,395071442
539975118,KCg-m_R,,KCg-m,Traced,811,241,467,204,337698659
539975122,KC(incomplete?),,,Traced,671,213,208,81,394579982
539983731,KCg-m_R,,KCg-m,Traced,925,248,550,201,396433929
540389646,KCg-m_R,,KCg-m,Traced,845,252,534,194,398420703
540389734,KCg-m_R,,KCg-m,Traced,771,259,470,204,378955754
540730639,KCg-m_R,,KCg-m,Traced,738,234,440,186,366129174
540730657,KCg-m_R,,KCg-m,Traced,771,227,482,186,323581339
540730738,KCg-m_R,,KCg-m,Traced,802,237,506,203,336683334
547552266,MBON33(y2y3)_R,,MBON33,Traced,6746,711,2086,48,2406294739
548549395,KCa'b'-m_R,,KCa'b'-m,Traced,692,269,2,2,437425024
548552875,KCa'b'-m_R,,KCa'b'-m,Traced,687,247,12,8,429727313
548885313,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,634,260,11,6,392539188
549226277,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,603,272,4,2,387491401
549597974,SMP142_R,,SMP142,Traced,3235,2217,33,20,2511194126
549899821,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,590,254,7,5,438957339
549904227,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,569,272,5,4,459101009
549904387,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,654,291,17,11,489427720
549908737,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,687,227,11,7,433385122
549955973,PAM01_a(y5)_R,,PAM01_a,Traced,1461,152,710,103,341998412
550245056,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,542,242,4,5,424536592
550408954,PAM01_a(y5)_L,,PAM01_a,Traced,1203,163,330,44,305318308
550426732,CRE107(SCB016)_L,,CRE107,Traced,3948,1079,33,7,2914412525
550599514,KCab-s_R,,KCab-s,Traced,599,207,1,1,274655094
551043841,CRE033_L,,CRE033,Traced,754,252,1,6,706368295
551751981,CRE005(ADM01)_L,,CRE005,Traced,1148,861,2,7,1064093786
552101431,CRE005(ADM01)_L,,CRE005,Traced,1035,827,12,4,979623989
569650323,KCg-m_R,,KCg-m,Traced,684,242,426,201,363842001
569999973,KCg-m_R,,KCg-m,Traced,844,267,450,212,385110226
570327880,KCg-m_R,,KCg-m,Traced,799,260,482,213,378831648
570336412,KCg-m_R,,KCg-m,Traced,851,229,494,189,357725613
570336487,KCg-m_R,,KCg-m,Traced,771,244,478,210,351799858
570643102,KCg-m_R,,KCg-m,Traced,698,237,427,196,368605360
570643109,KCg-m_R,,KCg-m,Traced,643,218,403,189,386559019
570643135,KCg-m_R,,KCg-m,Traced,738,240,463,211,386751318
570643193,KCg-m_R,,KCg-m,Traced,813,245,485,205,423154254
570647526,KCg-m_R,,KCg-m,Traced,784,240,513,206,414850977
570742510,KCg-m_R,,KCg-m,Traced,823,274,517,224,410798272
570742527,KCg-m_R,,KCg-m,Traced,725,265,480,204,378231757
570742599,KCg-m_R,,KCg-m,Traced,800,259,523,209,409027498
570997147,KCg-m_R,,KCg-m,Traced,708,217,399,177,318612372
571424323,KCg-m_R,,KCg-m,Traced,757,246,457,193,366167151
