id,instance,notes,type,status,inputs (#post),outputs (#pre),BU(R) #post,BU(R) #pre,bL(R) #post,bL(R) #pre,#voxels
329566174,OA-VPM3(NO2/NO3)_R,,OA-VPM3,Traced,10075,8632,2,9,6,8,6917059458
1136865339,ExR2(PPM3-EB-DAN/ring)_L,,ExR2,Traced,1873,1129,87,211,,1,1198248632
1418618235,SIFa(PDM34),,SIFa,Traced,1592,935,3,10,48,28,6190229391
