id,instance,notes,type,status,inputs (#post),outputs (#pre),EB #post,EB #pre,LAL(R) #post,LAL(R) #pre,#voxels
1168664495,EPG(PB08)_L8,EPG,EPG,Traced,3858,468,3529,240,131,81,1000269781
1169260589,ER3a_c(ring)_R,,ER3a_c,Traced,954,253,739,239,151,8,581712518
1190171884,PEG(PB07)_L2,PEG,PEG,Traced,1304,225,310,134,143,90,718304874
1195606601,PFR_a(PB11a)_L5_C5,PFR_a,PFR_a,Traced,1159,385,2,2,4,9,454288161
1198330286,ExR2(PPM3-EB-DAN/ring)_R,,ExR2,Traced,2590,1152,1515,652,804,144,1472264855
1199677638,PEG(PB07)_L9,PEG,PEG,Traced,824,197,147,91,149,99,435112897
1224590555,FB3C_R,LALSMPFB3,FB3C,Traced,720,182,17,,90,1,588548829
1225640135,FB4L(PPM3-FB3/4-DAN)_R,LALSIPFB4,FB4L,Traced,1738,612,4,2,247,15,1746881001
1231066662,ER5(ring)_R,,ER5,Traced,961,610,885,601,,2,1170428657
1231675708,ER3a_b(ring)_R,,ER3a_b,Traced,855,241,689,240,124,1,542446051
1259386264,ExR7(ring)_R,,ExR7,Traced,2526,785,2311,438,92,177,1412316280
1259718093,ExR8(ring)_R,,ExR8,Traced,1863,475,1276,5,41,90,1170924542
1261760414,ER3a_d(ring)_R,,ER3a_d,Traced,764,246,644,225,57,2,472529807
1261768644,ER3a_c(ring)_R,,ER3a_c,Traced,995,277,851,272,129,2,603498874
1261773286,ER3a_d(ring)_R,,ER3a_d,Traced,752,248,641,239,17,1,462734560
1262101350,ER3a_d(ring)_R,,ER3a_d,Traced,798,258,675,248,84,6,494934893
1262105575,ER3a_a(ring)_R,,ER3a_a,Traced,762,195,650,190,28,1,457061603
1262105630,ER3m(ring)_R,,ER3m,Traced,949,246,873,234,,1,590452474
1262105637,ER3m(ring)_R,,ER3m,Traced,923,255,838,242,15,1,614666631
1262114188,ER3m(ring)_R,,ER3m,Traced,1174,293,1042,278,4,4,671179407
1291094620,ER1_b(ring)_R,,ER1_b,Traced,771,240,599,225,148,6,512738543
1291099014,ER1_b(ring)_R,,ER1_b,Traced,796,211,544,200,246,10,484445372
1291435551,ER1_a(ring)_R,,ER1_a,Traced,633,214,402,209,144,3,443295583
1291435693,ER1_b(ring)_R,,ER1_b,Traced,821,242,587,232,227,9,512500871
1291435776,ER3p_a(ring)_R,,ER3p_a,Traced,824,289,724,280,,1,694712883
1291780675,ER3m(ring)_R,,ER3m,Traced,968,295,869,287,2,2,616393513
1292803650,ER3m(ring)_R,,ER3m,Traced,1017,336,909,309,2,1,660582381
1292807819,ER3m(ring)_R,,ER3m,Traced,1018,282,936,266,8,3,601265310
1292816565,ER3m(ring)_R,,ER3m,Traced,1029,333,901,311,1,1,680157635
1294082002,ER1_b(ring)_R,,ER1_b,Traced,793,250,507,242,169,5,516623909
1322129610,ER1_b(ring)_R,,ER1_b,Traced,778,218,548,209,226,7,452235801
1322129781,ER1_a(ring)_R,,ER1_a,Traced,560,178,378,174,178,4,406611685
1322133858,ER1_a(ring)_R,,ER1_a,Traced,567,200,330,195,230,3,392635236
1322137688,ER1_b(ring)_R,,ER1_b,Traced,754,199,478,193,195,3,429097545
1322138079,ER1_b(ring)_R,,ER1_b,Traced,669,216,477,202,178,9,455746964
1322466938,ER1_a(ring)_R,,ER1_a,Traced,714,215,412,211,298,1,447031577
1322470462,ER1_a(ring)_R,,ER1_a,Traced,631,212,401,210,227,1,459913953
1324145475,ER4d(ring)_R,,ER4d,Traced,1999,555,1876,536,2,1,1148479791
1324430237,ER6(ring)_R,,ER6,Traced,2216,550,487,314,1644,201,1016271341
1326264840,LNO3(LAL-NO2bilateral)_R,LNO3,LNO3,Traced,2082,502,1,,594,1,1389645128
1354951374,,,,Traced,68,78,38,23,3,7,211741494
1355806197,ER1_a(ring)_R,,ER1_a,Traced,599,203,351,197,242,3,432332703
1386577828,,,,Traced,73,58,62,19,,2,241189567
1418618235,SIFa(PDM34),,SIFa,Traced,1592,935,57,34,3,2,6190229391
1447576662,EPG(PB08)_L1,,EPG,Traced,5107,676,4615,321,159,103,1568187447
1449247522,ExR2(PPM3-EB-DAN/ring)_R,,ExR2,Traced,2389,1124,1505,598,550,132,1184449527
1601715638,ExR8(ring)_R,,ExR8,Traced,1685,441,931,3,30,56,1111869658
1730608428,ExR4(ring)_R,,ExR4,Traced,8268,1288,5133,1250,2938,34,3333716175
1879095788,,,,Traced,128,234,1,,11,43,361603980
