id,instance,notes,type,status,inputs (#post),outputs (#pre),gL(R) #post,gL(R) #pre,b'L(R) #post,b'L(R) #pre,#voxels
579592279,KCa'b'-m_R,,KCa'b'-m,Traced,661,247,3,2,329,136,293023586
579592619,KCa'b'-m_R,,KCa'b'-m,Traced,696,239,17,10,348,136,417324948
579928928,KCa'b'-m_R,,KCa'b'-m,Traced,574,233,9,7,306,125,391955328
580317662,PAM08_c(y4)_R,,PAM08_c,Traced,1866,319,909,198,53,21,417405171
580934661,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,657,275,11,8,357,171,452235552
580947602,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,631,253,10,17,345,155,470261330
601725442,KC(incomplete?),,,Traced,611,242,113,66,64,34,428233069
602459213,KCg-m_R,,KCg-m,Traced,755,246,455,193,,1,399181449
611300533,KCa'b'-m_R,,KCa'b'-m,Traced,598,260,4,3,356,151,427745414
611305085,KCa'b'-m_R,,KCa'b'-m,Traced,667,246,10,8,343,131,406286707
611974080,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,646,279,11,5,320,153,443217358
612323667,KCa'b'-m_R,,KCa'b'-m,Traced,706,224,2,1,324,103,405985069
612371421,MBON01(y5B'2a)_R,,MBON01,Traced,32544,2208,25325,10,5319,7,6839504360
612638791,PAM04_a(B2)_R,,PAM04_a,Traced,608,136,2,3,7,4,261596710
612738462,MBON03(B'2mp)_L,,MBON03,Traced,17488,1374,22,6,15686,131,4377863012
613079053,MBON04(B'2mp_bilateral)_L,,MBON04,Traced,17615,1600,2201,6,7040,6,3379363451
613083375,CRE032_L,,CRE032,Traced,918,233,339,17,18,1,653637060
613847777,PAM01_a(y5)_L,,PAM01_a,Traced,1284,133,310,36,9,1,321942494
630748479,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,601,250,28,19,303,134,456227034
632069728,KCg-m_R,,KCg-m,Traced,739,228,484,191,1,1,351703812
632086737,KCg-d_R,,KCg-d,Traced,543,215,375,171,1,1,328980177
632397510,KCg-m_R,,KCg-m,Traced,825,261,522,213,3,2,389975733
632808044,KCg-m_R,,KCg-m,Traced,821,239,439,186,1,2,391614106
633144545,KCg-m_R,,KCg-m,Traced,723,227,441,175,1,1,339522438
633148704,KCg-m_R,,KCg-m,Traced,848,237,508,199,5,3,360958036
637540087,SLP242_R,,SLP242,Traced,520,271,1,,3,2,448759211
641653381,KCa'b'-m_R,,KCa'b'-m,Traced,692,251,3,2,346,139,424988147
641688553,CRE042_R,,CRE042,Traced,6850,1277,40,,47,1,2405591250
642680969,KCab-p_R,,KCab-p,Traced,699,264,1,,11,3,398461486
642702809,CRE050_R,not yet identified MBON candidates,CRE050,Traced,4620,620,100,2,28,1,2023774583
643501489,PAM02(B'2a)_L,,PAM02,Traced,1213,188,61,12,291,55,299806071
644417074,PAM06_b(B'2m)_R,,PAM06_b,Traced,1138,120,92,8,648,90,315506243
645090294,PAM04_a(B2)_R,,PAM04_a,Traced,693,142,1,,12,2,279472747
661080007,KCa'b'-m_R,,KCa'b'-m,Traced,638,222,3,3,297,125,388134264
661399477,KCg-m_R,,KCg-m,Traced,730,211,433,178,3,1,314265132
661430106,KCg-m_R,,KCg-m,Traced,853,271,534,228,,1,381271323
662081902,KCg-m_R,,KCg-m,Traced,826,254,519,212,,1,277067482
662107551,KCg-m_R,,KCg-m,Traced,747,238,443,185,3,1,322816525
662409582,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,626,255,11,4,315,133,426186749
662452625,KCg-m_R,,KCg-m,Traced,855,287,537,221,4,2,420547401
662461539,KCg-m_R,,KCg-m,Traced,793,285,437,200,14,8,406055113
663134970,KCg-m_R,,KCg-m,Traced,784,259,468,196,5,1,392525010
672352543,MBON10(B'1)_R,,MBON10,Traced,1347,214,1,,437,4,437971929
674393414,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,650,238,8,5,336,130,436340617
674738872,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,596,264,9,8,318,145,452846628
675136878,CRE070_R,,CRE070,Traced,2002,703,5,,5,1,1301294761
675468771,PAM13(B'1ap)_R,,PAM13,Traced,775,227,1,,225,109,318884796
675602461,PAM09(B1ped)_L,,PAM09,Traced,634,210,17,5,2,1,251389374
692093440,KCg-m_R,,KCg-m,Traced,686,219,430,178,1,1,346662705
693500652,KCg-m_R,,KCg-m,Traced,780,262,466,205,,1,348457193
704409534,KCab-p_R,,KCab-p,Traced,685,243,3,1,4,1,354049999
704466265,MBON12(y2a'1)_R,,MBON12,Traced,9126,1132,4912,38,306,1,1733289825
706819341,PAM13(B'1ap)_R,,PAM13,Traced,754,215,1,1,187,99,296744630
723508068,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,570,217,26,18,355,144,372966329
724142845,KCg-m_R,,KCg-m,Traced,734,247,427,189,30,17,371756429
724531411,KCg-m_R,,KCg-m,Traced,821,250,518,212,6,1,364478609
724867606,KCg-m_R,,KCg-m,Traced,711,237,385,176,36,18,337287330
735112319,PAM14(B'1m)_R,,PAM14,Traced,539,174,1,,266,118,293613873
736117977,KCa'b'-m_R,,KCa'b'-m,Traced,635,252,3,3,334,145,435548368
737149820,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,652,243,5,4,260,113,442032641
737149964,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,712,263,5,6,415,174,505631206
737150041,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,603,272,3,2,309,163,430026335
737491062,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,628,267,12,5,341,158,433911426
753847960,KCg-m_R,,KCg-m,Traced,777,234,474,197,2,1,328116484
754525744,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,603,244,10,7,295,123,440292610
