id,instance,notes,type,status,inputs (#post),outputs (#pre),LAL(R) #post,LAL(R) #pre,aL(L) #post,aL(L) #pre,#voxels
1386512867,MBON05(y4>y1y2)_R,,MBON05,Traced,20098,1073,20,4,,1,3823216871
5813061512,MBON06(B1>a)_R,,MBON06,Traced,12107,496,11,,289,106,2038784377
