id,instance,notes,type,status,inputs (#post),outputs (#pre),BU(R) #post,BU(R) #pre,NO #post,NO #pre,#voxels
329566174,OA-VPM3(NO2/NO3)_R,,OA-VPM3,Traced,10075,8632,2,9,300,198,6917059458
579268807,FB1C(NO1/NO3)_R,LALNOmFB1,FB1C,Traced,3282,1356,9,3,403,177,1823088730
1106857669,FB4B(NO2)_R,NO2LALFB4,FB4B,Traced,4239,862,3,,713,74,2142474039
1131827390,FB4M(PPM3-FB3/4-NO-DAN)_R,CRENO2FB4_2,FB4M,Traced,4431,2614,3,,244,121,2860197903
1224595273,FB2A(PPM3-FB2-NO-DAN)_R,NOaLALFB2,FB2A,Traced,2359,1059,5,,169,52,1211327177
1268568859,LCNOp(LAL-NO3p)_R,LCNp,LCNOp,Traced,4090,394,13,,994,394,1446214118
1448575109,LNO2(LAL-NO2a)_R,,LNO2,Traced,8560,939,2,,2695,931,3621306261
